                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6245,                 6.4222,                 4.3237,                      0,                      0,                      0,                      0,                 2.5191,                 4.8552,                 4.1704,             0.00054244,             0.00054244,             0.00054244
                      2,                 2.5436,                 5.5582,                 3.6631,                  1e-05,                0.00325,                  1e-05,                      0,                 2.5747,                 5.3449,                 4.4709,              0.0010959,              0.0010959,              0.0010959
                      3,                 2.2437,                 4.7138,                 3.0856,                0.01846,                0.04422,                0.00346,                0.00122,                 2.4189,                 9.4449,                 4.0608,              0.0016472,              0.0016472,              0.0016472
                      4,                 2.1872,                 3.8548,                 2.9379,                0.28946,                0.20938,                0.16054,                0.05492,                  2.135,                 3.5504,                 2.9918,              0.0016571,              0.0016571,              0.0016571
                      5,                 2.1156,                 3.3246,                 2.8367,                0.21126,                0.14763,                0.08269,                   0.03,                  2.104,                 11.782,                 2.9037,              0.0016538,              0.0016538,              0.0016538
                      6,                 2.0198,                 2.9912,                 2.7651,                0.35011,                0.22568,                 0.2086,                0.08937,                 2.0085,                 2.8311,                 2.7818,              0.0016505,              0.0016505,              0.0016505
                      7,                 1.9793,                 2.5928,                 2.6796,                0.27958,                0.47585,                0.25981,                0.13277,                 1.8547,                 2.1935,                 2.6175,              0.0016472,              0.0016472,              0.0016472
                      8,                 1.8575,                 2.2812,                 2.6083,                0.33678,                0.49388,                0.31716,                0.15962,                 1.7806,                 2.7963,                 2.5835,              0.0016439,              0.0016439,              0.0016439
                      9,                 1.8013,                 2.1355,                 2.4851,                0.36971,                0.44417,                0.31272,                0.16311,                 1.8483,                 2.2102,                 2.5532,              0.0016406,              0.0016406,              0.0016406
                     10,                  1.696,                 2.0065,                 2.4072,                0.39343,                0.42322,                 0.3252,                 0.1789,                 1.7875,                 2.2413,                 2.6018,              0.0016373,              0.0016373,              0.0016373
                     11,                 1.6521,                  1.975,                 2.3416,                0.40913,                0.56934,                0.40562,                0.24432,                 1.5743,                 1.8833,                 2.3125,               0.001634,               0.001634,               0.001634
                     12,                  1.503,                 1.7913,                 2.1918,                0.42997,                0.60281,                0.43553,                0.26741,                 1.4865,                 1.7718,                 2.1854,              0.0016307,              0.0016307,              0.0016307
                     13,                 1.4609,                 1.6805,                 2.1002,                 0.4629,                0.58132,                0.42154,                0.23628,                 1.5601,                 1.8018,                 2.2578,              0.0016274,              0.0016274,              0.0016274
                     14,                 1.4242,                 1.6565,                 2.0238,                0.43475,                0.76176,                0.45522,                0.28957,                 1.4238,                 1.8756,                 2.1241,              0.0016241,              0.0016241,              0.0016241
                     15,                 1.3349,                 1.6238,                  1.991,                0.43066,                0.72921,                 0.4436,                0.26878,                   1.44,                  1.703,                 2.0359,              0.0016208,              0.0016208,              0.0016208
                     16,                 1.3784,                 1.6046,                 2.0063,                0.42026,                0.65551,                0.42439,                0.26249,                 1.3822,                 1.6727,                 2.0369,              0.0016175,              0.0016175,              0.0016175
                     17,                 1.2814,                 1.5687,                 1.8885,                0.44805,                0.65659,                0.45137,                0.29619,                 1.2757,                 1.7649,                 1.8783,              0.0016142,              0.0016142,              0.0016142
                     18,                 1.2231,                   1.51,                 1.8252,                0.41317,                0.67561,                0.41596,                0.25959,                 1.3624,                 1.6541,                 1.9597,              0.0016109,              0.0016109,              0.0016109
                     19,                 1.2904,                 1.4864,                 1.8574,                0.44167,                0.77083,                0.47172,                 0.3218,                 1.2682,                 1.5924,                  1.893,              0.0016076,              0.0016076,              0.0016076
                     20,                 1.2485,                 1.4963,                 1.8128,                0.42116,                0.78642,                0.43788,                0.29166,                 1.2591,                 1.5414,                 1.8179,              0.0016043,              0.0016043,              0.0016043
                     21,                  1.203,                 1.4635,                 1.7671,                0.45562,                0.66054,                0.45978,                0.30771,                 1.1977,                  1.695,                 1.7843,               0.001601,               0.001601,               0.001601
                     22,                 1.2062,                 1.4676,                 1.7641,                0.43665,                0.59404,                0.40509,                0.25844,                 1.4114,                 1.7715,                 2.0256,              0.0015977,              0.0015977,              0.0015977
                     23,                 1.2079,                 1.4179,                 1.7398,                0.45011,                0.74295,                0.46667,                 0.3128,                 1.2533,                 1.5188,                 1.8154,              0.0015944,              0.0015944,              0.0015944
                     24,                 1.1829,                 1.4339,                 1.6895,                0.41194,                0.60554,                0.43415,                0.28627,                 1.2884,                 1.7611,                 1.8916,              0.0015911,              0.0015911,              0.0015911
                     25,                 1.1908,                 1.3855,                 1.7088,                0.42648,                0.62263,                0.43771,                0.29495,                 1.2193,                 1.5314,                 1.7233,              0.0015878,              0.0015878,              0.0015878
                     26,                 1.1612,                 1.4064,                 1.6735,                0.44592,                0.77414,                0.44807,                0.30085,                 1.2388,                 1.4952,                 1.7891,              0.0015845,              0.0015845,              0.0015845
                     27,                 1.1445,                 1.3792,                 1.6565,                0.44586,                0.73321,                0.45924,                0.30513,                 1.2298,                 1.6296,                 1.7924,              0.0015812,              0.0015812,              0.0015812
                     28,                 1.1199,                 1.3524,                 1.6312,                 0.4526,                0.70016,                0.45162,                0.31133,                  1.175,                 1.4846,                 1.6453,              0.0015779,              0.0015779,              0.0015779
                     29,                 1.0834,                 1.3463,                 1.6157,                0.46458,                0.68673,                0.45066,                0.31246,                 1.1841,                 1.4328,                 1.7081,              0.0015746,              0.0015746,              0.0015746
                     30,                 1.1027,                 1.3219,                  1.635,                  0.451,                0.79418,                0.47662,                0.32711,                 1.1962,                 1.3915,                 1.6989,              0.0015713,              0.0015713,              0.0015713
                     31,                 1.0873,                 1.2842,                 1.6058,                0.44194,                0.78691,                0.46128,                0.31889,                 1.2157,                 1.3981,                 1.7509,               0.001568,               0.001568,               0.001568
                     32,                 1.0699,                 1.2695,                 1.5833,                0.45989,                0.79191,                0.47016,                0.31324,                 1.2327,                 1.3828,                 1.7237,              0.0015647,              0.0015647,              0.0015647
                     33,                  1.096,                 1.2882,                 1.5959,                0.43403,                 0.7347,                0.45227,                0.30968,                 1.1884,                 1.4422,                 1.7228,              0.0015614,              0.0015614,              0.0015614
                     34,                 1.0524,                 1.2595,                 1.5507,                0.44438,                0.72746,                0.46774,                0.30562,                 1.2442,                 1.5234,                 1.7468,              0.0015581,              0.0015581,              0.0015581
                     35,                 1.0547,                 1.2788,                  1.567,                0.45857,                0.77845,                 0.4783,                0.33038,                 1.1059,                 1.4304,                 1.6154,              0.0015548,              0.0015548,              0.0015548
                     36,                 1.0407,                 1.2438,                 1.5238,                0.46686,                0.78723,                0.48216,                0.33112,                 1.1335,                 1.3588,                 1.6382,              0.0015515,              0.0015515,              0.0015515
                     37,                 1.0439,                 1.2279,                 1.5202,                0.46478,                0.70588,                0.44729,                0.30466,                 1.2369,                  1.576,                 1.7834,              0.0015482,              0.0015482,              0.0015482
                     38,                 1.0715,                 1.2283,                 1.5653,                0.42459,                 0.7367,                0.45319,                0.31537,                 1.1762,                 1.3945,                 1.7111,              0.0015449,              0.0015449,              0.0015449
                     39,                 1.0391,                 1.2178,                 1.5328,                0.42402,                0.70473,                0.43662,                0.28252,                 1.2565,                 1.5045,                 1.7034,              0.0015416,              0.0015416,              0.0015416
                     40,                 1.0097,                 1.2063,                  1.471,                0.43568,                0.76392,                0.47707,                0.33775,                 1.0779,                 1.3406,                 1.5776,              0.0015383,              0.0015383,              0.0015383
                     41,                  1.016,                 1.2005,                 1.4965,                0.47202,                 0.7633,                0.47388,                0.32522,                 1.1707,                  1.345,                 1.6409,               0.001535,               0.001535,               0.001535
                     42,                 1.0066,                 1.2105,                 1.5073,                0.44723,                0.78448,                0.46522,                0.31905,                 1.1328,                 1.3286,                 1.6386,              0.0015317,              0.0015317,              0.0015317
                     43,                 1.0067,                 1.2187,                 1.5151,                0.46022,                0.77533,                0.48369,                0.31692,                  1.231,                 1.3476,                 1.6978,              0.0015284,              0.0015284,              0.0015284
                     44,                0.99834,                 1.1933,                 1.5101,                0.43728,                0.72895,                0.43548,                 0.2951,                 1.2053,                 1.4531,                 1.7319,              0.0015251,              0.0015251,              0.0015251
                     45,                0.99961,                 1.1569,                 1.4922,                0.44748,                0.78963,                0.48005,                0.33737,                 1.1036,                 1.3382,                 1.6055,              0.0015218,              0.0015218,              0.0015218
                     46,                0.99477,                 1.1637,                 1.4792,                0.46582,                 0.7387,                0.47782,                0.33717,                 1.1377,                 1.3089,                 1.6744,              0.0015185,              0.0015185,              0.0015185
                     47,                0.99316,                   1.17,                 1.4974,                0.42357,                0.76269,                0.46384,                0.30808,                 1.1925,                 1.4135,                 1.6919,              0.0015152,              0.0015152,              0.0015152
                     48,                 0.9997,                 1.1481,                 1.4982,                0.44211,                0.83113,                 0.4683,                0.32254,                 1.1416,                 1.3125,                 1.6293,              0.0015119,              0.0015119,              0.0015119
                     49,                0.95303,                 1.1573,                 1.4444,                0.43845,                0.81072,                0.46993,                   0.33,                 1.1233,                 1.3728,                 1.6158,              0.0015086,              0.0015086,              0.0015086
                     50,                0.97901,                 1.1643,                 1.4692,                0.44511,                0.79447,                0.46764,                0.32639,                  1.122,                   1.34,                 1.6725,              0.0015053,              0.0015053,              0.0015053
                     51,                0.99316,                 1.1452,                 1.4946,                0.45045,                0.82139,                0.49261,                 0.3391,                 1.1402,                 1.2649,                 1.6551,               0.001502,               0.001502,               0.001502
                     52,                 1.0331,                 1.1693,                 1.5156,                0.43756,                0.77564,                0.46255,                0.32273,                 1.1129,                 1.3892,                 1.6362,              0.0014987,              0.0014987,              0.0014987
                     53,                0.94983,                 1.1263,                 1.4229,                0.43045,                0.81564,                0.45993,                0.29524,                 1.2248,                 1.3532,                 1.7223,              0.0014954,              0.0014954,              0.0014954
                     54,                0.96177,                 1.1539,                 1.4485,                0.44911,                0.74868,                0.46719,                0.32578,                 1.1545,                 1.3529,                 1.6589,              0.0014921,              0.0014921,              0.0014921
                     55,                 0.9406,                 1.1253,                 1.4271,                0.46167,                0.81889,                0.48154,                0.33664,                 1.1017,                 1.2467,                 1.5972,              0.0014888,              0.0014888,              0.0014888
                     56,                  0.951,                 1.1167,                 1.4537,                0.46968,                0.78841,                0.45911,                0.31939,                 1.1193,                 1.3169,                 1.6383,              0.0014855,              0.0014855,              0.0014855
                     57,                0.95618,                  1.129,                 1.4585,                0.45302,                0.85561,                0.48888,                 0.3434,                 1.0895,                 1.2244,                 1.6092,              0.0014822,              0.0014822,              0.0014822
                     58,                0.93048,                 1.1253,                  1.433,                  0.454,                0.81102,                0.46553,                0.33014,                 1.0717,                  1.234,                 1.5836,              0.0014789,              0.0014789,              0.0014789
                     59,                0.93388,                 1.1078,                 1.4109,                0.43863,                0.82451,                0.47304,                0.32501,                 1.0974,                 1.2822,                 1.6056,              0.0014756,              0.0014756,              0.0014756
                     60,                0.94857,                 1.1172,                 1.4234,                0.44984,                0.82037,                0.47819,                0.32632,                 1.1777,                 1.2861,                  1.682,              0.0014723,              0.0014723,              0.0014723
                     61,                0.92344,                 1.1305,                 1.4129,                0.43271,                0.79941,                 0.4598,                0.32975,                 1.0839,                  1.269,                 1.5697,               0.001469,               0.001469,               0.001469
                     62,                0.95448,                 1.1236,                 1.4339,                0.39317,                0.63411,                0.38757,                0.27282,                 1.1563,                 1.5012,                 1.6581,              0.0014657,              0.0014657,              0.0014657
                     63,                0.94816,                 1.1253,                 1.4173,                0.45118,                0.82941,                0.48798,                0.32575,                 1.1476,                 1.2756,                 1.6193,              0.0014624,              0.0014624,              0.0014624
                     64,                 0.9314,                 1.1213,                 1.3931,                0.43074,                0.74281,                0.43682,                0.30699,                 1.1373,                  1.436,                  1.621,              0.0014591,              0.0014591,              0.0014591
                     65,                0.92483,                  1.091,                 1.4047,                0.45421,                0.81889,                0.47923,                0.33603,                 1.0988,                 1.2261,                  1.566,              0.0014558,              0.0014558,              0.0014558
                     66,                0.94137,                 1.1267,                 1.4089,                0.45661,                0.79738,                0.46312,                0.32866,                 1.0601,                  1.335,                 1.5641,              0.0014525,              0.0014525,              0.0014525
                     67,                0.91866,                 1.0679,                 1.3958,                0.42984,                0.87685,                  0.475,                0.33099,                 1.0697,                 1.2771,                 1.5782,              0.0014492,              0.0014492,              0.0014492
                     68,                0.88166,                  1.093,                 1.3816,                0.41778,                0.77057,                0.45844,                0.31104,                 1.1591,                 1.2618,                 1.6278,              0.0014459,              0.0014459,              0.0014459
                     69,                0.90755,                 1.0814,                 1.3905,                0.43092,                0.77967,                0.46469,                0.32214,                 1.1181,                 1.2518,                 1.6349,              0.0014426,              0.0014426,              0.0014426
                     70,                0.91924,                 1.0683,                 1.3884,                0.43342,                0.83954,                0.47489,                0.31048,                 1.1554,                 1.2819,                 1.5981,              0.0014393,              0.0014393,              0.0014393
                     71,                0.89032,                 1.1137,                 1.3639,                0.44799,                 0.7999,                0.47657,                0.32944,                 1.1136,                  1.211,                 1.6258,               0.001436,               0.001436,               0.001436
                     72,                0.94482,                 1.0961,                 1.4198,                0.40467,                0.59281,                 0.3926,                0.23165,                 1.4697,                 1.7152,                 1.9827,              0.0014327,              0.0014327,              0.0014327
                     73,                0.89773,                  1.069,                 1.3729,                0.45044,                0.82064,                0.46442,                0.32813,                 1.1229,                 1.2607,                 1.6098,              0.0014294,              0.0014294,              0.0014294
                     74,                 0.8619,                 1.0684,                 1.3618,                0.44735,                0.83361,                 0.4678,                0.33736,                 1.0624,                 1.2459,                  1.586,              0.0014261,              0.0014261,              0.0014261
                     75,                0.90801,                 1.0609,                 1.3764,                0.43855,                0.75069,                0.45584,                0.32018,                 1.0758,                 1.2421,                 1.5692,              0.0014228,              0.0014228,              0.0014228
                     76,                0.86748,                 1.0381,                 1.3461,                0.44684,                0.82889,                0.46062,                0.32654,                  1.068,                 1.2047,                 1.5469,              0.0014195,              0.0014195,              0.0014195
                     77,                0.88454,                 1.0499,                 1.3793,                0.45931,                0.79691,                0.47831,                0.34527,                 1.0777,                 1.2281,                 1.6266,              0.0014161,              0.0014161,              0.0014161
                     78,                0.86602,                  1.044,                 1.3564,                 0.4503,                0.79766,                 0.4843,                0.34018,                 1.0516,                 1.1812,                 1.5659,              0.0014128,              0.0014128,              0.0014128
                     79,                 0.8657,                 1.0312,                 1.3489,                0.44791,                0.87035,                0.47117,                0.33543,                  1.049,                  1.226,                 1.5736,              0.0014095,              0.0014095,              0.0014095
                     80,                0.86735,                 1.0318,                 1.3684,                0.46249,                0.86185,                 0.4742,                0.32963,                 1.1363,                 1.2042,                  1.634,              0.0014062,              0.0014062,              0.0014062
                     81,                0.87402,                 1.0508,                 1.3659,                0.42542,                0.71974,                0.42058,                0.28816,                 1.1678,                 1.3874,                 1.6729,              0.0014029,              0.0014029,              0.0014029
                     82,                0.87493,                 1.0466,                 1.3505,                0.44742,                0.83039,                0.46959,                0.34003,                  1.069,                 1.2887,                 1.5634,              0.0013996,              0.0013996,              0.0013996
                     83,                0.87638,                 1.0506,                 1.3278,                0.44689,                0.86436,                0.48307,                0.34445,                 1.0681,                 1.1795,                 1.5611,              0.0013963,              0.0013963,              0.0013963
                     84,                0.88082,                 1.0298,                 1.3452,                0.45473,                 0.8059,                0.48745,                0.34035,                 1.1093,                 1.2008,                 1.5961,               0.001393,               0.001393,               0.001393
                     85,                 0.8462,                 1.0191,                 1.3217,                0.42889,                0.87665,                0.47477,                0.33538,                 1.0617,                 1.1809,                  1.549,              0.0013897,              0.0013897,              0.0013897
                     86,                0.85758,                 1.0314,                 1.3434,                0.44075,                0.82214,                0.47866,                0.34579,                 1.0667,                 1.1999,                 1.5899,              0.0013864,              0.0013864,              0.0013864
                     87,                0.83171,                 1.0251,                 1.2949,                0.44295,                0.84662,                0.47875,                0.34341,                 1.0959,                 1.2225,                 1.6167,              0.0013831,              0.0013831,              0.0013831
                     88,                0.85014,                 1.0051,                 1.3451,                0.46622,                0.83438,                0.49926,                0.35541,                 1.0712,                 1.1682,                 1.5878,              0.0013798,              0.0013798,              0.0013798
                     89,                0.83145,                 1.0004,                 1.3124,                   0.45,                0.82538,                0.47473,                0.33475,                 1.0638,                 1.2479,                 1.5389,              0.0013765,              0.0013765,              0.0013765
                     90,                0.84814,                 1.0092,                 1.3342,                0.43065,                0.85162,                0.47004,                0.31476,                 1.1639,                 1.2484,                 1.6699,              0.0013732,              0.0013732,              0.0013732
                     91,                0.86633,                 1.0195,                 1.3287,                0.44541,                0.83449,                0.46459,                0.32533,                  1.067,                 1.1951,                 1.5849,              0.0013699,              0.0013699,              0.0013699
                     92,                0.85093,                 1.0245,                 1.3394,                0.45602,                0.83695,                 0.4884,                0.33993,                 1.0707,                 1.1917,                  1.567,              0.0013666,              0.0013666,              0.0013666
                     93,                0.82711,                 1.0056,                 1.3128,                0.42155,                0.83289,                0.45545,                0.31928,                 1.0845,                 1.2821,                 1.6272,              0.0013633,              0.0013633,              0.0013633
                     94,                0.83616,                 1.0029,                 1.3149,                0.43993,                0.86136,                0.46316,                 0.3337,                 1.0501,                 1.2052,                 1.5314,                0.00136,                0.00136,                0.00136
                     95,                0.83713,                 1.0258,                  1.314,                0.42548,                0.73421,                0.43839,                0.29233,                 1.2177,                 1.3407,                 1.6781,              0.0013567,              0.0013567,              0.0013567
                     96,                0.82424,                0.99805,                 1.2882,                0.42903,                0.84873,                0.45987,                0.32429,                  1.064,                 1.2109,                  1.553,              0.0013534,              0.0013534,              0.0013534
                     97,                0.82135,                0.99808,                 1.2886,                0.44883,                0.81521,                0.47653,                0.33455,                 1.0796,                 1.2278,                 1.5938,              0.0013501,              0.0013501,              0.0013501
                     98,                0.81466,                 1.0044,                 1.2906,                0.43502,                0.82924,                 0.4932,                0.34439,                 1.1032,                 1.2442,                 1.5763,              0.0013468,              0.0013468,              0.0013468
                     99,                0.81868,                0.99787,                 1.3027,                0.44467,                0.82714,                0.46311,                0.31669,                 1.1254,                 1.2074,                 1.6636,              0.0013435,              0.0013435,              0.0013435
                    100,                0.80136,                0.99999,                 1.2769,                0.44025,                0.84263,                0.46411,                0.33407,                 1.0648,                 1.2497,                  1.581,              0.0013402,              0.0013402,              0.0013402
