                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6223,                 6.4553,                  4.405,                      0,                      0,                      0,                      0,                  2.525,                 5.3755,                 4.1583,             0.00054244,             0.00054244,             0.00054244
                      2,                 2.6051,                 5.7415,                 3.8428,                      0,                      0,                      0,                      0,                 2.5135,                 5.0575,                 4.2277,              0.0010959,              0.0010959,              0.0010959
                      3,                 2.3208,                 4.7519,                 3.0842,                0.07741,                 0.0662,                0.01675,                0.00557,                 2.3744,                 6.7246,                 3.8152,              0.0016472,              0.0016472,              0.0016472
                      4,                 2.1754,                 4.0733,                 2.7993,                0.20974,                0.20085,                0.11374,                0.04242,                  2.153,                 5.6558,                 3.0427,              0.0016571,              0.0016571,              0.0016571
                      5,                 2.0464,                 3.6781,                 2.5573,                0.27022,                0.30829,                0.18589,                 0.0794,                 2.0096,                 3.2976,                 2.7422,              0.0016538,              0.0016538,              0.0016538
                      6,                 1.9043,                 3.2168,                 2.4444,                0.23293,                0.24683,                0.15488,                0.08411,                 1.9349,                 3.3819,                 2.5006,              0.0016505,              0.0016505,              0.0016505
                      7,                  1.819,                 2.8151,                 2.3252,                0.37497,                0.47891,                0.30444,                0.14248,                 1.9055,                 2.7136,                  2.466,              0.0016472,              0.0016472,              0.0016472
                      8,                 1.6891,                 2.5277,                 2.2023,                  0.294,                0.32277,                0.21298,                0.10363,                  1.731,                  2.683,                 2.1894,              0.0016439,              0.0016439,              0.0016439
                      9,                 1.6446,                 2.3197,                 2.1137,                0.35638,                0.49897,                0.33268,                0.18728,                 1.6777,                 2.2923,                 2.1351,              0.0016406,              0.0016406,              0.0016406
                     10,                 1.5678,                  2.169,                 1.9866,                0.41199,                0.56908,                 0.3899,                0.20776,                 1.6803,                 2.0067,                 2.1076,              0.0016373,              0.0016373,              0.0016373
                     11,                 1.5402,                 2.0686,                 1.9759,                 0.4248,                 0.4944,                0.36065,                0.19652,                  1.634,                  2.393,                 2.1595,               0.001634,               0.001634,               0.001634
                     12,                 1.5003,                 1.9713,                 1.9054,                0.42277,                 0.6334,                0.38814,                0.23484,                 1.5009,                 2.0302,                 1.8766,              0.0016307,              0.0016307,              0.0016307
                     13,                  1.414,                 1.8383,                 1.7876,                0.42378,                0.51076,                0.37452,                0.21155,                 1.6175,                 2.1031,                 2.0341,              0.0016274,              0.0016274,              0.0016274
                     14,                 1.4034,                 1.8253,                 1.7882,                0.42752,                0.76329,                0.44953,                0.27736,                 1.4324,                 1.7021,                 1.8142,              0.0016241,              0.0016241,              0.0016241
                     15,                 1.3169,                 1.7538,                 1.6852,                 0.4441,                0.59957,                0.43148,                0.26882,                 1.3539,                 1.8137,                 1.7638,              0.0016208,              0.0016208,              0.0016208
                     16,                 1.3633,                 1.7249,                 1.7313,                0.43011,                0.69973,                0.43916,                0.28932,                 1.3037,                 1.9217,                 1.7483,              0.0016175,              0.0016175,              0.0016175
                     17,                 1.2708,                 1.6603,                 1.6477,                0.46105,                0.73185,                0.45287,                0.30028,                 1.2604,                 1.5654,                 1.6132,              0.0016142,              0.0016142,              0.0016142
                     18,                 1.2293,                 1.5753,                 1.6032,                0.43444,                0.66892,                0.43733,                0.26582,                 1.3716,                 1.6939,                 1.7777,              0.0016109,              0.0016109,              0.0016109
                     19,                 1.2949,                 1.5638,                 1.6125,                0.45493,                0.76567,                0.47327,                0.29366,                 1.2771,                 1.5911,                 1.5955,              0.0016076,              0.0016076,              0.0016076
                     20,                 1.1934,                 1.5264,                 1.5577,                0.46297,                0.69648,                0.46088,                0.31705,                 1.2433,                 1.5255,                 1.6093,              0.0016043,              0.0016043,              0.0016043
                     21,                 1.2193,                  1.512,                 1.5684,                0.41327,                 0.6037,                0.38417,                 0.2529,                 1.2554,                 1.7236,                 1.5843,               0.001601,               0.001601,               0.001601
                     22,                 1.2147,                 1.5298,                 1.5483,                0.43682,                0.75045,                0.46254,                0.29826,                 1.2591,                 1.5112,                 1.5577,              0.0015977,              0.0015977,              0.0015977
                     23,                 1.2375,                 1.4396,                 1.5623,                0.44696,                0.74672,                0.46724,                0.30204,                  1.273,                 1.5399,                   1.62,              0.0015944,              0.0015944,              0.0015944
                     24,                 1.1707,                 1.4453,                  1.509,                0.44142,                0.75119,                0.45398,                0.29706,                 1.2329,                 1.5206,                  1.549,              0.0015911,              0.0015911,              0.0015911
                     25,                 1.1633,                 1.4281,                 1.4881,                0.45596,                0.77392,                0.46724,                0.30295,                 1.2237,                 1.4828,                 1.5518,              0.0015878,              0.0015878,              0.0015878
                     26,                 1.1554,                 1.4378,                 1.4983,                0.43955,                0.66626,                0.43957,                0.27563,                 1.3484,                  1.674,                 1.6432,              0.0015845,              0.0015845,              0.0015845
                     27,                 1.1483,                 1.4062,                 1.4623,                0.43028,                0.75769,                0.45894,                0.30354,                 1.2409,                 1.5181,                 1.5587,              0.0015812,              0.0015812,              0.0015812
                     28,                 1.0999,                 1.3566,                 1.4361,                0.44046,                0.76859,                0.47936,                0.32602,                 1.2435,                 1.4869,                 1.5494,              0.0015779,              0.0015779,              0.0015779
                     29,                  1.118,                 1.3693,                 1.4581,                0.44745,                0.83113,                 0.4704,                0.32763,                 1.1664,                  1.424,                 1.5201,              0.0015746,              0.0015746,              0.0015746
                     30,                 1.1043,                 1.3717,                 1.4437,                0.44251,                0.78108,                 0.4709,                0.32795,                 1.1454,                 1.4504,                 1.4762,              0.0015713,              0.0015713,              0.0015713
                     31,                 1.1029,                 1.3381,                 1.4278,                0.44048,                0.80237,                0.46845,                0.31067,                 1.2565,                 1.4458,                 1.5686,               0.001568,               0.001568,               0.001568
                     32,                 1.0815,                 1.2865,                  1.388,                0.45313,                0.79288,                0.48445,                0.31674,                 1.1979,                 1.3652,                 1.4951,              0.0015647,              0.0015647,              0.0015647
                     33,                 1.1014,                 1.2936,                 1.4005,                0.43261,                0.78792,                0.48008,                0.32642,                  1.192,                 1.3687,                 1.4837,              0.0015614,              0.0015614,              0.0015614
                     34,                 1.0825,                 1.2806,                 1.3988,                 0.4613,                 0.7784,                0.47646,                0.31783,                 1.2287,                 1.4944,                 1.5429,              0.0015581,              0.0015581,              0.0015581
                     35,                 1.0565,                 1.2841,                 1.3969,                0.45847,                0.76587,                0.46905,                0.32065,                 1.1358,                 1.4638,                 1.4338,              0.0015548,              0.0015548,              0.0015548
                     36,                 1.0475,                 1.2899,                 1.3905,                0.45284,                0.77772,                0.47393,                0.31952,                  1.176,                 1.3754,                 1.4939,              0.0015515,              0.0015515,              0.0015515
                     37,                 1.0587,                 1.2545,                 1.3631,                0.45103,                0.75777,                0.46733,                0.32029,                 1.1618,                 1.3657,                 1.4555,              0.0015482,              0.0015482,              0.0015482
                     38,                   1.05,                 1.2333,                 1.3754,                0.45198,                0.78104,                0.48107,                0.33393,                 1.1286,                 1.3558,                 1.4543,              0.0015449,              0.0015449,              0.0015449
                     39,                 1.0429,                 1.2509,                 1.3811,                0.45465,                0.76589,                0.47495,                0.32361,                 1.2227,                 1.3417,                 1.5311,              0.0015416,              0.0015416,              0.0015416
                     40,                  1.049,                 1.2553,                  1.357,                0.45023,                0.71346,                0.46006,                0.32101,                 1.1283,                 1.3387,                 1.4194,              0.0015383,              0.0015383,              0.0015383
                     41,                 1.0493,                 1.2477,                 1.3601,                0.42298,                0.78616,                0.48959,                0.33662,                 1.1183,                 1.3219,                 1.3999,               0.001535,               0.001535,               0.001535
                     42,                 1.0496,                 1.2431,                 1.3463,                0.45959,                0.73697,                0.47264,                0.32357,                 1.1411,                 1.3679,                 1.4133,              0.0015317,              0.0015317,              0.0015317
                     43,                 1.0202,                 1.2001,                 1.3323,                0.44916,                0.79683,                0.48657,                0.34634,                 1.0825,                 1.3446,                 1.3802,              0.0015284,              0.0015284,              0.0015284
                     44,                 1.0028,                   1.22,                 1.3154,                0.44491,                0.82194,                0.48122,                0.33282,                 1.1368,                 1.4461,                 1.4606,              0.0015251,              0.0015251,              0.0015251
                     45,                 1.0119,                 1.1997,                 1.3317,                0.46131,                0.72473,                0.45152,                  0.304,                  1.124,                  1.351,                 1.4186,              0.0015218,              0.0015218,              0.0015218
                     46,                 1.0181,                 1.2069,                 1.3206,                0.43752,                0.78068,                 0.4646,                 0.3264,                 1.1136,                 1.3576,                 1.4307,              0.0015185,              0.0015185,              0.0015185
                     47,                 1.0109,                 1.1799,                  1.309,                0.44806,                 0.8074,                0.49845,                0.33174,                 1.2314,                 1.3114,                 1.5267,              0.0015152,              0.0015152,              0.0015152
                     48,                  1.021,                 1.1959,                 1.3192,                0.45964,                0.77243,                0.46685,                0.32121,                 1.1495,                 1.3693,                 1.4478,              0.0015119,              0.0015119,              0.0015119
                     49,                0.98907,                 1.1763,                 1.2992,                0.44623,                0.83587,                0.47611,                0.34125,                 1.1019,                 1.2672,                 1.3827,              0.0015086,              0.0015086,              0.0015086
                     50,                0.99027,                 1.1717,                 1.2854,                0.45274,                0.81889,                0.47268,                0.34301,                 1.0572,                 1.3615,                 1.3834,              0.0015053,              0.0015053,              0.0015053
                     51,                0.99978,                 1.1778,                 1.3212,                0.43423,                0.81919,                0.48038,                 0.3262,                 1.1845,                  1.365,                  1.476,               0.001502,               0.001502,               0.001502
                     52,                0.96707,                 1.1576,                 1.2789,                0.45189,                 0.8174,                0.47526,                 0.3311,                 1.0834,                 1.3177,                 1.3849,              0.0014987,              0.0014987,              0.0014987
                     53,                0.94498,                 1.1562,                  1.255,                0.44195,                0.81876,                0.49348,                0.35189,                 1.0624,                 1.3492,                  1.366,              0.0014954,              0.0014954,              0.0014954
                     54,                0.96331,                 1.1584,                 1.2818,                0.44872,                0.77183,                 0.4786,                0.33064,                 1.0896,                 1.2869,                 1.3979,              0.0014921,              0.0014921,              0.0014921
                     55,                0.95825,                 1.1346,                 1.2803,                0.44481,                0.82399,                0.48281,                0.33606,                 1.0929,                 1.3087,                 1.4119,              0.0014888,              0.0014888,              0.0014888
                     56,                 0.9668,                 1.1506,                 1.2915,                 0.4392,                0.77422,                0.45952,                0.30191,                 1.2511,                 1.4062,                  1.561,              0.0014855,              0.0014855,              0.0014855
                     57,                0.96083,                 1.1447,                 1.2894,                0.46018,                0.76817,                0.47169,                0.32055,                 1.1459,                 1.2809,                 1.4213,              0.0014822,              0.0014822,              0.0014822
                     58,                0.96397,                  1.151,                 1.2614,                0.43703,                0.80124,                0.45975,                0.31722,                 1.1276,                 1.2905,                  1.421,              0.0014789,              0.0014789,              0.0014789
                     59,                0.94474,                 1.1194,                 1.2623,                 0.4473,                0.80915,                0.47048,                   0.32,                  1.154,                 1.3011,                 1.4134,              0.0014756,              0.0014756,              0.0014756
                     60,                0.94027,                 1.1441,                 1.2503,                0.44661,                0.78471,                0.48081,                0.32882,                 1.1888,                 1.3614,                 1.4789,              0.0014723,              0.0014723,              0.0014723
                     61,                0.95353,                 1.1242,                 1.2483,                0.45508,                0.80665,                0.47335,                0.32294,                 1.1454,                 1.2798,                 1.4232,               0.001469,               0.001469,               0.001469
                     62,                0.98316,                 1.1309,                 1.2948,                0.43705,                0.83188,                 0.4761,                0.33019,                  1.131,                 1.3228,                 1.4517,              0.0014657,              0.0014657,              0.0014657
                     63,                 0.9577,                 1.1225,                 1.2725,                0.44273,                0.86015,                0.51352,                0.36094,                 1.0887,                 1.2487,                 1.3943,              0.0014624,              0.0014624,              0.0014624
                     64,                0.93755,                 1.1084,                 1.2399,                0.45495,                  0.833,                0.47254,                0.33081,                 1.0763,                 1.2536,                 1.3757,              0.0014591,              0.0014591,              0.0014591
                     65,                0.95911,                   1.11,                 1.2661,                0.44574,                0.82389,                0.48143,                 0.3389,                 1.1132,                 1.2732,                 1.3881,              0.0014558,              0.0014558,              0.0014558
                     66,                0.95418,                 1.1487,                 1.2766,                  0.462,                0.81739,                0.49225,                0.33135,                 1.1468,                 1.2995,                 1.4494,              0.0014525,              0.0014525,              0.0014525
                     67,                0.92816,                 1.1015,                 1.2392,                0.44186,                0.78292,                0.45849,                0.31645,                 1.1414,                 1.3934,                 1.4475,              0.0014492,              0.0014492,              0.0014492
                     68,                0.89355,                 1.1138,                 1.2314,                0.45013,                0.83877,                0.49469,                0.34135,                  1.087,                 1.2553,                 1.3905,              0.0014459,              0.0014459,              0.0014459
                     69,                0.92368,                 1.1122,                 1.2422,                0.44756,                0.84587,                0.47379,                0.33507,                 1.0855,                 1.2285,                 1.3772,              0.0014426,              0.0014426,              0.0014426
                     70,                0.91719,                 1.0995,                 1.2148,                0.44144,                0.83438,                0.47761,                0.32715,                 1.1184,                 1.2633,                 1.3941,              0.0014393,              0.0014393,              0.0014393
                     71,                0.91692,                 1.0991,                 1.2502,                0.43061,                 0.8009,                0.46547,                0.32291,                 1.1003,                 1.2543,                 1.3744,               0.001436,               0.001436,               0.001436
                     72,                0.92226,                 1.0838,                 1.2263,                0.46606,                0.82714,                0.47765,                0.33389,                 1.1302,                 1.2382,                 1.4102,              0.0014327,              0.0014327,              0.0014327
                     73,                0.89557,                 1.0715,                 1.2087,                0.45614,                0.83763,                0.46866,                0.32545,                 1.1332,                  1.266,                 1.4059,              0.0014294,              0.0014294,              0.0014294
                     74,                0.89068,                 1.0574,                 1.2098,                0.45057,                0.86115,                0.48839,                0.33781,                 1.0923,                 1.2366,                 1.3795,              0.0014261,              0.0014261,              0.0014261
                     75,                0.91626,                 1.0738,                  1.229,                0.44725,                0.85487,                0.48434,                0.34535,                 1.0713,                 1.2468,                 1.3748,              0.0014228,              0.0014228,              0.0014228
                     76,                0.89233,                 1.0622,                 1.2047,                0.45315,                0.85636,                0.48098,                0.34481,                 1.0659,                 1.1923,                 1.3747,              0.0014195,              0.0014195,              0.0014195
                     77,                0.87387,                  1.049,                 1.1929,                0.44749,                0.83512,                0.47108,                0.33298,                  1.089,                 1.2485,                 1.3958,              0.0014161,              0.0014161,              0.0014161
                     78,                0.87172,                 1.0618,                 1.1964,                0.43618,                0.81785,                0.47153,                0.31819,                 1.1564,                 1.2211,                 1.4373,              0.0014128,              0.0014128,              0.0014128
                     79,                 0.8897,                 1.0467,                 1.2125,                0.44971,                0.85013,                0.47354,                0.31925,                 1.1907,                  1.294,                 1.4709,              0.0014095,              0.0014095,              0.0014095
                     80,                0.88182,                 1.0713,                 1.2034,                0.44753,                0.86278,                0.49261,                0.35022,                 1.0842,                 1.2288,                 1.4014,              0.0014062,              0.0014062,              0.0014062
                     81,                0.88514,                 1.0581,                  1.203,                0.43433,                0.83364,                0.45942,                0.30952,                 1.1881,                 1.2776,                 1.4429,              0.0014029,              0.0014029,              0.0014029
                     82,                0.89359,                 1.0688,                 1.2035,                0.45812,                0.82788,                0.48439,                0.34417,                 1.0691,                 1.2072,                 1.3778,              0.0013996,              0.0013996,              0.0013996
                     83,                0.90282,                 1.0697,                  1.228,                0.44842,                0.84145,                0.47695,                0.32892,                 1.0773,                 1.2356,                 1.3734,              0.0013963,              0.0013963,              0.0013963
                     84,                0.90784,                 1.0527,                 1.2222,                0.45857,                0.81665,                0.48198,                0.33546,                 1.1404,                 1.2091,                 1.4159,               0.001393,               0.001393,               0.001393
                     85,                0.86901,                 1.0389,                 1.2085,                0.46757,                0.82492,                0.48476,                0.34233,                 1.0661,                 1.1828,                 1.3677,              0.0013897,              0.0013897,              0.0013897
                     86,                0.86849,                 1.0366,                 1.1806,                0.44567,                0.83188,                0.45588,                0.31762,                 1.1375,                 1.2301,                  1.439,              0.0013864,              0.0013864,              0.0013864
                     87,                0.86147,                 1.0356,                 1.1837,                0.45712,                 0.8524,                0.46772,                0.32627,                 1.0984,                 1.2068,                 1.3989,              0.0013831,              0.0013831,              0.0013831
                     88,                0.85784,                 1.0284,                 1.1907,                0.46188,                0.83539,                0.48732,                0.34542,                 1.0832,                 1.1663,                 1.4055,              0.0013798,              0.0013798,              0.0013798
                     89,                0.84536,                 1.0179,                 1.1602,                0.44649,                0.81494,                0.48233,                0.34309,                 1.0601,                 1.1623,                 1.3581,              0.0013765,              0.0013765,              0.0013765
                     90,                0.85256,                 1.0348,                  1.187,                0.43957,                0.83039,                0.46477,                0.31736,                 1.1233,                 1.2295,                 1.4068,              0.0013732,              0.0013732,              0.0013732
                     91,                0.85858,                 1.0316,                 1.1862,                0.46276,                0.79116,                0.47328,                0.33208,                 1.0891,                 1.2418,                 1.4268,              0.0013699,              0.0013699,              0.0013699
                     92,                 0.8281,                 1.0113,                 1.1695,                0.44428,                 0.7984,                0.48449,                0.34347,                 1.0971,                 1.2272,                 1.4014,              0.0013666,              0.0013666,              0.0013666
                     93,                0.83093,                 1.0109,                  1.169,                0.44588,                0.84234,                0.47656,                 0.3321,                 1.1069,                 1.1984,                  1.411,              0.0013633,              0.0013633,              0.0013633
                     94,                0.83715,                  1.005,                 1.1693,                0.45313,                0.82639,                0.48204,                0.32885,                 1.0841,                 1.2597,                 1.3935,                0.00136,                0.00136,                0.00136
                     95,                0.81434,                 1.0116,                 1.1552,                0.43448,                0.83438,                0.45235,                0.31407,                 1.0919,                 1.2356,                 1.3977,              0.0013567,              0.0013567,              0.0013567
                     96,                0.85041,                 1.0154,                 1.1649,                 0.4416,                0.85987,                0.45972,                0.32701,                 1.0332,                  1.223,                 1.3343,              0.0013534,              0.0013534,              0.0013534
                     97,                0.83182,                 1.0171,                  1.163,                0.46056,                0.80353,                0.48428,                0.32861,                 1.1406,                 1.2214,                  1.478,              0.0013501,              0.0013501,              0.0013501
                     98,                0.82012,                 1.0153,                 1.1432,                0.44407,                0.86735,                0.47212,                0.32945,                 1.1022,                 1.2088,                 1.4194,              0.0013468,              0.0013468,              0.0013468
                     99,                 0.8116,                0.98735,                 1.1375,                0.43733,                0.79212,                0.44911,                0.30847,                 1.1655,                 1.2374,                  1.443,              0.0013435,              0.0013435,              0.0013435
                    100,                0.82766,                 1.0065,                 1.1466,                0.43852,                0.86061,                0.47841,                0.32926,                 1.1094,                  1.257,                 1.4086,              0.0013402,              0.0013402,              0.0013402
