                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.6753,                 39.069,                 8.8565,                  1e-05,                0.00043,                      0,                      0,                 7.4238,                 29.726,                 8.5516,              0.0033197,              0.0033197,              0.0033197
                      2,                 6.6737,                 19.799,                 8.0032,                0.17854,                0.20408,                0.10601,                0.03689,                 4.9114,                 11.991,                 6.7997,              0.0066399,              0.0066399,              0.0066399
                      3,                 4.3102,                  6.796,                 5.2176,                0.40384,                0.39608,                0.33873,                0.18148,                 3.2999,                 4.2406,                 4.2091,              0.0099468,              0.0099468,              0.0099468
                      4,                 3.4795,                  4.157,                 4.1156,                0.43309,                 0.5086,                0.43058,                0.24903,                 3.1452,                 3.3604,                 3.8008,              0.0099406,              0.0099406,              0.0099406
                      5,                 3.0365,                  3.182,                 3.6471,                0.53502,                0.57631,                0.56969,                0.37335,                 2.5171,                 3.0649,                 3.3471,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.7667,                 2.6835,                 3.3493,                0.57892,                0.59802,                0.60394,                0.42084,                 2.3339,                 2.5941,                 3.1472,               0.009901,               0.009901,               0.009901
                      7,                 2.6366,                 2.3875,                 3.2469,                0.65027,                0.63328,                0.67932,                0.46444,                 2.4226,                 2.1582,                 3.1509,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.5147,                 2.2538,                 3.1133,                0.61468,                0.67966,                0.67824,                0.47265,                 2.2589,                 2.0288,                 3.0383,              0.0098614,              0.0098614,              0.0098614
                      9,                  2.405,                 2.1202,                 2.9802,                0.63574,                0.69175,                0.71256,                0.50255,                 2.1857,                 1.9593,                 2.9333,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.3453,                 1.9742,                 2.9526,                0.59767,                0.65262,                0.66556,                0.42981,                  2.639,                 2.1792,                 3.2967,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.3056,                 1.8519,                 2.9209,                0.65442,                0.71023,                0.72908,                0.52614,                 2.1026,                 1.8649,                 2.8664,               0.009802,               0.009802,               0.009802
                     12,                 2.2657,                 1.8224,                 2.8732,                0.70241,                 0.6767,                0.75789,                0.54753,                 2.1071,                 1.8857,                 2.8822,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.2119,                 1.7373,                 2.8402,                0.63379,                0.62597,                0.67259,                0.48748,                 2.1781,                 2.2787,                 2.9158,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.1925,                 1.7131,                 2.8204,                0.69624,                0.71148,                 0.7631,                0.53874,                 2.1449,                 1.8827,                 2.9104,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.1567,                   1.66,                 2.7704,                0.71856,                0.76225,                0.81635,                0.59825,                  2.057,                 1.5774,                 2.8072,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.1403,                 1.6403,                 2.7666,                0.65664,                0.71539,                0.73546,                0.51047,                 2.2504,                 1.9532,                 3.0067,               0.009703,               0.009703,               0.009703
                     17,                 2.0984,                 1.5837,                 2.7354,                0.74614,                0.76311,                 0.8258,                0.60121,                 2.0367,                 1.5417,                 2.7831,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.1035,                  1.607,                 2.7492,                0.72933,                0.75416,                0.81654,                0.59622,                 2.0308,                 1.5754,                  2.816,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.0858,                 1.5635,                 2.7406,                0.71495,                0.74726,                0.80039,                0.55847,                  2.227,                 1.6688,                 2.9448,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.0522,                 1.4922,                 2.6974,                 0.7269,                0.72399,                0.80002,                0.56751,                 2.1831,                 1.6476,                 2.8728,              0.0096238,              0.0096238,              0.0096238
