                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9564,                 7.1172,                 4.2779,                0.00075,                0.06277,                0.00045,                0.00011,                 2.7346,                 5.7792,                 4.1391,              0.0033197,              0.0033197,              0.0033197
                      2,                 2.6023,                 4.9005,                 3.5913,                0.31808,                0.27902,                0.23307,                0.09243,                 2.1177,                 5.7582,                 3.1586,              0.0066399,              0.0066399,              0.0066399
                      3,                 1.9735,                 2.8155,                 2.7332,                0.51597,                0.58942,                0.53792,                 0.2935,                 1.5704,                 2.4022,                 2.3824,              0.0099468,              0.0099468,              0.0099468
                      4,                 1.6345,                 1.9828,                 2.2799,                0.62387,                0.62611,                 0.6669,                0.37156,                 1.5211,                 1.5517,                 2.1211,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4205,                  1.577,                 2.0109,                0.67857,                0.69905,                0.73338,                0.45443,                 1.3134,                  1.791,                 1.9041,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.3002,                  1.379,                 1.8547,                0.67683,                0.70593,                 0.7411,                0.48953,                 1.2077,                 1.4014,                 1.8282,               0.009901,               0.009901,               0.009901
                      7,                 1.2621,                 1.2542,                 1.8178,                0.70597,                0.74463,                0.79229,                 0.5362,                 1.1435,                 1.1068,                 1.7041,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.1933,                 1.1525,                 1.7272,                0.63532,                0.73475,                0.70997,                0.45993,                 1.2314,                 1.2567,                 1.8518,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.1506,                 1.0849,                 1.6709,                0.63994,                 0.6877,                0.69805,                 0.4559,                 1.2035,                 1.2297,                  1.794,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.1172,                 1.0097,                 1.6314,                0.67705,                0.71926,                 0.7438,                0.47015,                 1.2663,                 1.1467,                 1.8926,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.1017,                0.96307,                 1.6135,                0.70174,                0.76913,                0.81724,                0.60382,                0.99787,                0.91967,                 1.5447,               0.009802,               0.009802,               0.009802
                     12,                 1.0845,                0.94219,                 1.5818,                0.72792,                 0.7419,                0.80072,                0.55861,                 1.0542,                 1.0087,                  1.613,              0.0097822,              0.0097822,              0.0097822
