                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9611,                 7.1779,                 4.2526,                0.00094,                0.07954,                0.00058,                0.00016,                 2.7784,                    5.7,                 4.1155,              0.0033197,              0.0033197,              0.0033197
                      2,                 2.6014,                 5.0288,                 3.6086,                0.35579,                0.33194,                0.29125,                0.10994,                 2.2696,                 4.4996,                   3.43,              0.0066399,              0.0066399,              0.0066399
                      3,                 1.9649,                 2.8922,                 2.7101,                0.53005,                0.54213,                0.54127,                 0.2669,                 1.6916,                  4.909,                 2.3277,              0.0099468,              0.0099468,              0.0099468
                      4,                 1.6183,                 2.0332,                 2.2399,                0.56461,                0.60619,                0.61723,                0.38019,                 1.3584,                 1.5996,                 2.0082,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4296,                 1.5531,                 1.9902,                0.62842,                0.67971,                0.69622,                0.45303,                 1.2142,                 1.4186,                 1.8165,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.3029,                 1.3899,                 1.8365,                0.65476,                0.75365,                0.77206,                0.53158,                 1.1301,                 1.1712,                 1.7127,               0.009901,               0.009901,               0.009901
                      7,                 1.2416,                 1.2452,                 1.7816,                0.67593,                 0.7601,                0.75536,                0.52389,                 1.1121,                 1.1201,                 1.6742,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.1881,                 1.1694,                 1.6974,                0.64371,                 0.6724,                0.69127,                0.46372,                  1.166,                 1.2723,                 1.7397,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.1471,                 1.0938,                 1.6414,                0.68963,                0.74703,                0.77981,                0.53743,                 1.0877,                 1.1214,                 1.6423,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.1121,                 1.0219,                 1.6101,                0.68442,                0.68831,                0.74278,                0.49845,                 1.2066,                 1.1551,                 1.7692,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.0983,                0.98621,                 1.5932,                0.70878,                 0.7442,                0.80273,                0.57942,                  1.048,                0.95706,                 1.5958,               0.009802,               0.009802,               0.009802
                     12,                 1.0858,                 0.9589,                 1.5659,                0.74216,                0.78934,                0.84185,                0.61008,                 1.0092,                0.89049,                 1.5256,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.0665,                0.91868,                 1.5519,                0.71995,                0.78362,                 0.8189,                0.59163,                 1.0286,                0.90665,                 1.5592,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.0427,                0.90786,                 1.5289,                0.77773,                0.78676,                0.87051,                 0.6375,                0.98746,                 0.8835,                 1.4908,              0.0097426,              0.0097426,              0.0097426
