                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.5201,                 22.458,                 7.9138,                0.21942,                0.24463,                0.13374,                0.04632,                 4.6485,                 8.7983,                 6.1477,              0.0033197,              0.0033197,              0.0033197
                      2,                 4.2847,                 6.9452,                 5.1631,                0.34628,                0.36457,                0.29381,                0.12258,                 3.7204,                 4.3744,                 4.8457,              0.0066399,              0.0066399,              0.0066399
                      3,                 3.5623,                 4.7153,                 4.2674,                0.43399,                0.43579,                0.41606,                0.21965,                 3.2803,                 6.3016,                 4.1474,              0.0099468,              0.0099468,              0.0099468
                      4,                 3.2098,                 3.6342,                 3.8313,                0.53409,                0.55395,                0.55904,                0.32819,                 2.9824,                 3.0662,                 3.6875,              0.0099406,              0.0099406,              0.0099406
                      5,                  2.908,                 2.9754,                  3.517,                0.54725,                0.57162,                0.58158,                0.36891,                 2.7329,                 3.3971,                 3.4807,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.6701,                 2.6962,                 3.2829,                0.57051,                0.62191,                0.61499,                0.41997,                 2.3718,                 2.5526,                 3.2076,               0.009901,               0.009901,               0.009901
                      7,                 2.5949,                 2.4426,                 3.2202,                0.58606,                0.65737,                 0.6328,                0.43365,                 2.4182,                 2.3415,                 3.1567,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.4847,                 2.2759,                 3.0864,                0.63907,                0.67446,                0.69186,                0.46485,                 2.3669,                 2.1006,                 3.1207,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.4206,                  2.133,                  2.996,                 0.6366,                0.66208,                 0.7103,                0.49002,                 2.2487,                 2.0419,                 3.0053,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.3576,                 2.0055,                  2.957,                0.60201,                 0.5675,                0.60605,                0.37312,                 2.5953,                 3.6161,                  3.246,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.3093,                 1.9559,                 2.9165,                0.61238,                0.63929,                0.64925,                0.46623,                 2.1998,                 2.2292,                 2.9404,               0.009802,               0.009802,               0.009802
                     12,                 2.2848,                  1.878,                 2.8852,                0.60805,                0.67111,                0.68055,                0.42796,                 2.6713,                 2.3928,                 3.2997,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.2454,                 1.8009,                 2.8721,                0.69893,                0.70664,                0.76538,                0.55567,                 2.1352,                 1.8975,                  2.887,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.2087,                 1.7505,                 2.8255,                0.65372,                0.73776,                0.76024,                0.51367,                 2.3246,                 2.0205,                 3.0269,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.1836,                 1.7743,                 2.7919,                0.54635,                0.42519,                0.46813,                0.31979,                 2.8931,                 4.6988,                 3.5965,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.1537,                 1.7011,                 2.7837,                0.73235,                0.76612,                0.82818,                0.61636,                 1.9997,                  1.551,                 2.7473,               0.009703,               0.009703,               0.009703
                     17,                 2.1476,                 1.6141,                 2.7657,                0.73767,                0.75678,                0.81691,                 0.5917,                 2.0428,                 1.6934,                 2.7909,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.1262,                 1.6306,                 2.7705,                0.76279,                 0.7687,                0.83515,                0.62434,                 1.9644,                 1.5082,                 2.7489,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.1033,                 1.6093,                 2.7439,                0.71175,                0.75193,                0.80135,                 0.5492,                  2.293,                  1.768,                 2.9834,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.0741,                 1.5291,                 2.7157,                0.77265,                0.75838,                0.83705,                0.62445,                  1.975,                 1.5798,                 2.7455,              0.0096238,              0.0096238,              0.0096238
                     21,                 2.0486,                 1.5377,                 2.7082,                0.77843,                0.77644,                0.85396,                0.63227,                 1.9082,                 1.4455,                 2.6793,               0.009604,               0.009604,               0.009604
                     22,                 2.0481,                 1.5274,                 2.6764,                0.72481,                0.79152,                0.83626,                0.60995,                 1.9444,                 1.6837,                 2.7085,              0.0095842,              0.0095842,              0.0095842
                     23,                 2.0504,                 1.4967,                 2.7039,                0.77426,                0.80009,                0.86303,                0.64844,                 1.9214,                 1.4209,                 2.7059,              0.0095644,              0.0095644,              0.0095644
                     24,                 2.0432,                 1.4726,                 2.6815,                0.75286,                0.80412,                0.85618,                0.64375,                 1.8968,                 1.4535,                 2.6568,              0.0095446,              0.0095446,              0.0095446
