                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9389,                 7.3398,                 4.3471,                0.00039,                 0.0331,                 0.0002,                  4e-05,                 2.7652,                 10.671,                 7.3431,              0.0033197,              0.0033197,              0.0033197
                      2,                 2.8929,                 6.3972,                  4.119,                0.17069,                0.19991,                0.09827,                0.03004,                  2.492,                 4.8151,                 3.8076,              0.0066399,              0.0066399,              0.0066399
                      3,                 2.2883,                 4.0202,                  3.184,                 0.3194,                0.29579,                0.22482,                0.10193,                 1.9353,                 2.7694,                 2.8235,              0.0099468,              0.0099468,              0.0099468
                      4,                 1.8444,                 2.6497,                 2.6147,                0.62599,                0.54041,                0.59875,                0.29587,                  1.705,                 3.9154,                 2.5345,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5984,                 1.8587,                 2.2738,                 0.6636,                0.68186,                0.71652,                0.44177,                 1.3606,                 1.4827,                  2.034,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.4004,                 1.5523,                 2.0224,                0.65753,                0.69518,                0.71353,                0.47027,                 1.2513,                 1.2672,                 1.9023,               0.009901,               0.009901,               0.009901
                      7,                 1.3248,                 1.3351,                  1.926,                0.68979,                0.71699,                0.77217,                0.50397,                 1.2583,                 1.1876,                 1.8521,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.2454,                 1.2584,                 1.8301,                0.70659,                 0.7299,                0.77366,                0.52195,                 1.1741,                 1.1044,                 1.8409,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.2034,                 1.1621,                 1.7719,                0.61402,                0.74334,                  0.727,                0.50604,                 1.0841,                 1.1699,                 1.7136,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.1534,                 1.0749,                 1.7164,                0.69101,                0.78203,                0.81546,                0.57113,                 1.0966,                0.97986,                 1.6785,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.1364,                 1.0262,                 1.6989,                0.71437,                0.69046,                0.78157,                0.55705,                 1.0643,                 1.0301,                 1.6265,               0.009802,               0.009802,               0.009802
                     12,                 1.1122,                 1.0004,                 1.6603,                0.63608,                0.65477,                0.66897,                0.42836,                 1.3566,                  1.424,                 2.0154,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.0871,                0.95837,                 1.6402,                0.78082,                 0.7719,                0.85888,                0.62873,                 1.0133,                0.90412,                 1.5756,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.0748,                0.95191,                 1.6063,                0.73609,                0.77429,                0.82871,                0.58981,                 1.0308,                0.97008,                 1.6283,              0.0097426,              0.0097426,              0.0097426
                     15,                  1.064,                0.92015,                   1.58,                0.74114,                0.77343,                0.83593,                0.60772,                 1.0048,                0.88844,                 1.5974,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.0501,                0.89984,                 1.5772,                0.75717,                0.76612,                0.83655,                0.61647,                 1.0164,                0.88084,                 1.5521,               0.009703,               0.009703,               0.009703
                     17,                 1.0255,                0.87395,                 1.5496,                 0.6189,                0.68487,                0.67567,                0.44708,                 1.2633,                 1.2874,                 1.8901,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0376,                0.87305,                 1.5617,                0.71644,                0.81686,                 0.8359,                 0.6211,                0.97831,                0.85742,                 1.5383,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0208,                0.84994,                 1.5416,                0.76948,                0.81801,                0.86484,                0.59508,                 1.1086,                0.84683,                 1.6926,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.0091,                0.83097,                 1.5339,                0.77878,                0.76096,                0.84975,                0.62971,                0.96474,                0.83884,                 1.5112,              0.0096238,              0.0096238,              0.0096238
                     21,                 0.9939,                0.81392,                 1.5083,                0.77222,                0.79321,                0.85234,                0.61832,                0.98849,                0.84511,                 1.5581,               0.009604,               0.009604,               0.009604
                     22,                0.98725,                0.80592,                  1.492,                0.76553,                0.83921,                0.87872,                0.64641,                0.94847,                0.84152,                 1.4815,              0.0095842,              0.0095842,              0.0095842
                     23,                0.99482,                0.81321,                 1.5146,                 0.7643,                0.81943,                0.86413,                 0.6411,                 0.9603,                0.81848,                 1.5333,              0.0095644,              0.0095644,              0.0095644
                     24,                0.97645,                0.79232,                 1.4875,                0.79877,                0.83278,                0.89518,                0.67893,                0.92244,                0.74005,                 1.4592,              0.0095446,              0.0095446,              0.0095446
                     25,                0.96127,                0.76149,                 1.4781,                0.79945,                0.84996,                0.89968,                0.67838,                0.93758,                0.72438,                 1.4769,              0.0095248,              0.0095248,              0.0095248
                     26,                0.95245,                 0.7603,                 1.4616,                0.77838,                0.78203,                0.85552,                0.62733,                0.99633,                0.84403,                 1.5546,               0.009505,               0.009505,               0.009505
                     27,                0.96339,                0.76204,                 1.4654,                0.83157,                 0.8172,                0.90374,                0.68062,                 0.9421,                0.72068,                 1.4756,              0.0094852,              0.0094852,              0.0094852
                     28,                 0.9471,                0.74222,                 1.4491,                0.80134,                0.82722,                0.89205,                0.65791,                0.96784,                0.76309,                 1.4999,              0.0094654,              0.0094654,              0.0094654
                     29,                0.95218,                0.73277,                 1.4493,                0.81243,                0.85684,                0.91063,                0.68785,                0.91097,                0.69123,                  1.441,              0.0094456,              0.0094456,              0.0094456
                     30,                0.93296,                0.73224,                 1.4393,                0.83177,                0.82287,                0.90403,                0.69448,                0.91122,                0.70816,                   1.44,              0.0094258,              0.0094258,              0.0094258
                     31,                0.93215,                 0.7175,                 1.4288,                0.84595,                0.86409,                 0.9214,                0.71073,                0.89081,                0.66592,                 1.4114,               0.009406,               0.009406,               0.009406
                     32,                0.93017,                0.71465,                 1.4284,                0.81054,                0.87016,                  0.911,                0.69317,                0.89452,                  0.694,                 1.4233,              0.0093862,              0.0093862,              0.0093862
                     33,                0.92652,                0.71679,                 1.4208,                0.84534,                0.86285,                0.92326,                0.70649,                0.89592,                0.67183,                 1.4246,              0.0093664,              0.0093664,              0.0093664
