                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.5803,                 33.361,                 8.6482,                  1e-05,                0.00043,                      0,                      0,                 7.4068,                 16.018,                  8.071,              0.0033197,              0.0033197,              0.0033197
                      2,                   5.39,                 11.454,                 6.7044,                0.25201,                  0.291,                 0.1749,                0.06837,                 4.2309,                 6.2215,                 5.4892,              0.0066399,              0.0066399,              0.0066399
                      3,                 3.8696,                 5.7454,                 4.7282,                0.43718,                 0.3736,                0.37061,                0.17951,                  3.491,                 4.1631,                 4.3582,              0.0099468,              0.0099468,              0.0099468
                      4,                 3.3579,                 4.0838,                 4.0233,                0.43847,                0.45529,                0.41661,                0.25916,                 2.8328,                 3.4404,                 3.6162,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.9712,                 3.2253,                 3.6065,                0.55583,                0.57051,                0.58329,                0.38815,                 2.5195,                 2.7394,                 3.3549,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.7508,                 2.8202,                 3.3482,                0.58642,                0.61694,                0.62673,                 0.4232,                  2.472,                 2.3856,                 3.2436,               0.009901,               0.009901,               0.009901
                      7,                 2.6618,                 2.5017,                   3.26,                0.59731,                0.64574,                 0.6565,                0.45185,                 2.3555,                 2.2241,                 3.1223,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.5399,                 2.3738,                 3.1195,                0.60496,                0.64875,                0.65893,                0.45281,                 2.2393,                 2.2728,                 3.0356,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.4268,                 2.2393,                 3.0014,                0.66789,                0.68831,                0.72733,                0.50417,                 2.2454,                 1.9427,                 2.9781,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.3744,                 2.0806,                 2.9827,                0.66121,                0.66294,                0.71045,                0.49524,                 2.3083,                 2.0247,                 3.0525,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.3366,                  1.983,                 2.9348,                 0.6571,                0.69089,                0.71728,                0.50583,                 2.1911,                 2.0562,                 2.9436,               0.009802,               0.009802,               0.009802
                     12,                 2.3095,                 1.9312,                 2.9084,                0.64601,                0.68229,                0.71648,                0.48375,                 2.3966,                 2.0221,                 3.0909,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.2648,                 1.8809,                 2.8816,                0.60597,                0.63538,                0.65266,                0.45812,                 2.3337,                 2.3308,                 3.0353,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.2311,                 1.8465,                 2.8482,                0.54847,                0.45099,                0.48249,                 0.3237,                 2.6662,                 4.1605,                  3.375,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.1981,                 1.7603,                  2.799,                0.71068,                 0.7141,                0.77312,                0.55352,                 2.1747,                 1.8281,                 2.9261,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.1716,                 1.7232,                 2.7937,                 0.6873,                0.73216,                0.77447,                0.57073,                 2.0489,                  1.765,                 2.8061,               0.009703,               0.009703,               0.009703
                     17,                 2.1428,                 1.6417,                 2.7653,                0.68411,                0.69175,                0.74476,                0.55247,                 2.0712,                 1.8785,                 2.8388,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.1393,                 1.6594,                   2.77,                0.75425,                0.75193,                0.82564,                0.60316,                 2.0412,                  1.577,                 2.7982,              0.0096634,              0.0096634,              0.0096634
