                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.5732,                 30.897,                 8.5717,                0.00156,                0.13113,                0.00198,                0.00065,                 5.9607,                 12.073,                 7.7564,              0.0033197,              0.0033197,              0.0033197
                      2,                 5.0304,                 8.8282,                 6.0281,                0.31128,                0.33491,                0.24889,                0.10544,                 3.9972,                 5.5284,                 5.0485,              0.0066399,              0.0066399,              0.0066399
                      3,                 3.8114,                 5.1158,                 4.5366,                0.49506,                0.32416,                 0.3819,                0.21981,                 3.1972,                 3.8319,                 4.0092,              0.0099468,              0.0099468,              0.0099468
                      4,                 3.2757,                 3.7463,                  3.907,                0.49505,                0.53052,                0.49093,                0.30007,                 2.8217,                 3.9974,                 3.7045,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.9813,                  2.985,                 3.5664,                0.55518,                0.61049,                 0.6037,                0.40223,                 2.4627,                 3.2112,                 3.2915,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.7166,                 2.6178,                 3.3093,                0.59567,                0.61995,                0.63934,                0.42745,                 2.4238,                 2.6854,                 3.1932,               0.009901,               0.009901,               0.009901
                      7,                 2.6283,                 2.4052,                 3.2239,                0.62182,                0.67455,                0.66885,                0.44278,                 2.5039,                  2.171,                 3.2135,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.5093,                 2.2809,                 3.1041,                0.59803,                0.67369,                0.67426,                 0.4521,                 2.3596,                 2.1219,                 3.1315,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.4315,                 2.1528,                 2.9921,                0.61048,                0.70507,                0.70508,                0.48627,                 2.1951,                 2.1592,                  2.968,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.3723,                  2.004,                 2.9738,                0.67075,                0.71668,                0.75114,                0.52271,                 2.2425,                 1.8603,                 2.9922,              0.0098218,              0.0098218,              0.0098218
                     11,                  2.315,                 1.9268,                 2.9279,                0.65286,                 0.7356,                0.75848,                0.53803,                 2.1262,                  1.828,                 2.8837,               0.009802,               0.009802,               0.009802
                     12,                 2.2841,                 1.8984,                 2.8803,                 0.6604,                0.74334,                0.76575,                0.55264,                 2.0942,                 1.8087,                 2.8704,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.2404,                 1.8152,                 2.8664,                0.64686,                0.64144,                0.67374,                0.47416,                 2.3143,                 2.1485,                 3.0019,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.2283,                 1.7733,                  2.839,                0.71504,                0.70464,                0.78828,                0.56172,                 2.1112,                 1.7296,                 2.8643,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.1893,                 1.7442,                 2.7987,                 0.6256,                 0.6896,                0.68013,                0.48803,                 2.1319,                  2.137,                 2.8874,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.1572,                 1.6889,                 2.7837,                0.72542,                0.75924,                0.82212,                0.60415,                 2.0351,                 1.5939,                 2.7858,               0.009703,               0.009703,               0.009703
                     17,                 2.1495,                 1.6196,                 2.7597,                0.73586,                0.75279,                0.82129,                0.60254,                 2.0129,                 1.5818,                 2.7775,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.1366,                 1.6118,                 2.7659,                0.75976,                0.76138,                0.82721,                0.61207,                 2.0152,                 1.5531,                 2.7715,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.1166,                 1.5795,                 2.7533,                0.72263,                0.74549,                0.80399,                0.57021,                 2.1275,                 1.6714,                 2.8534,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.0885,                 1.5279,                 2.7178,                 0.7582,                0.77128,                0.84532,                0.62394,                 1.9646,                  1.488,                 2.7176,              0.0096238,              0.0096238,              0.0096238
                     21,                 2.0474,                 1.5275,                 2.7086,                0.74964,                0.76483,                0.83666,                0.61579,                 1.9712,                 1.5567,                 2.7264,               0.009604,               0.009604,               0.009604
                     22,                 2.0333,                 1.4711,                 2.6648,                0.70746,                0.75171,                0.80269,                0.59484,                 1.9835,                 1.6228,                 2.7218,              0.0095842,              0.0095842,              0.0095842
                     23,                 2.0507,                 1.5036,                 2.6947,                0.76318,                0.76896,                0.83828,                0.62142,                 1.9554,                 1.5396,                  2.725,              0.0095644,              0.0095644,              0.0095644
                     24,                 2.0347,                 1.4869,                 2.6742,                0.71159,                 0.7442,                0.78886,                0.56363,                  2.078,                 1.7298,                 2.8214,              0.0095446,              0.0095446,              0.0095446
                     25,                 2.0094,                 1.4392,                 2.6586,                 0.7488,                0.76741,                0.83355,                0.60679,                 2.0084,                 1.5755,                 2.7598,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.9837,                 1.4032,                 2.6295,                0.80141,                 0.7998,                0.88625,                0.66111,                 1.8927,                 1.3056,                  2.673,               0.009505,               0.009505,               0.009505
                     27,                 1.9998,                 1.4051,                 2.6479,                0.81853,                0.81126,                  0.894,                0.66615,                 1.8693,                 1.2882,                 2.6384,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.9615,                 1.3676,                 2.6103,                0.82861,                0.82104,                0.89724,                0.67421,                 1.8607,                 1.2857,                 2.6216,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.9358,                  1.342,                 2.5978,                0.79431,                0.82502,                0.88482,                0.67132,                 1.8297,                 1.3215,                 2.5962,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.9352,                 1.3393,                 2.5901,                0.81261,                0.81097,                0.88207,                0.67097,                 1.8379,                 1.3132,                 2.5916,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.9192,                 1.3204,                 2.5718,                0.80044,                0.82115,                0.87224,                0.66051,                 1.9041,                 1.3513,                 2.6475,               0.009406,               0.009406,               0.009406
                     32,                 1.9121,                 1.3099,                 2.5641,                0.81524,                0.84038,                0.90506,                0.69118,                 1.8108,                 1.2296,                 2.5834,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.8981,                 1.3087,                 2.5639,                0.83236,                0.81758,                0.90149,                0.69115,                 1.8071,                 1.2154,                   2.57,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.8737,                 1.3005,                 2.5368,                0.81603,                0.83233,                0.89633,                0.68129,                 1.8599,                 1.2404,                 2.5948,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.8962,                 1.2955,                 2.5425,                0.81509,                 0.8319,                 0.8996,                0.68447,                 1.8009,                 1.2309,                 2.5806,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.8679,                 1.2462,                 2.5264,                0.85458,                0.82932,                0.91251,                0.68958,                 1.8425,                 1.2036,                 2.5899,               0.009307,               0.009307,               0.009307
                     37,                 1.8699,                  1.252,                 2.5241,                0.83511,                0.81433,                0.89895,                0.68911,                 1.8066,                 1.2347,                 2.5671,              0.0092872,              0.0092872,              0.0092872
                     38,                  1.872,                 1.2549,                 2.5152,                0.86743,                0.84114,                0.92824,                0.71587,                 1.7427,                 1.1184,                 2.5161,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.8542,                  1.263,                 2.4891,                0.80767,                0.81063,                0.89178,                0.68327,                 1.7888,                 1.3042,                 2.5458,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.8176,                 1.2205,                 2.4928,                0.83245,                0.86457,                0.91813,                0.71441,                 1.7253,                 1.1335,                 2.4966,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.8331,                 1.2057,                 2.4867,                0.80307,                0.84222,                0.89805,                0.68907,                 1.7768,                 1.2212,                 2.5575,               0.009208,               0.009208,               0.009208
                     42,                 1.8024,                 1.2105,                 2.4579,                0.83981,                0.85425,                0.91853,                 0.7136,                 1.7417,                 1.1589,                 2.5049,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.7907,                 1.1928,                 2.4832,                0.85886,                0.84738,                0.92302,                0.71001,                 1.7486,                 1.1426,                 2.5166,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.7777,                 1.1628,                 2.4505,                0.84114,                0.85727,                0.92267,                0.72402,                 1.6845,                 1.1141,                 2.4579,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.7587,                 1.1421,                  2.425,                0.86439,                0.85598,                0.92695,                0.72274,                  1.715,                  1.117,                 2.4778,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.7709,                 1.1759,                 2.4552,                 0.8642,                0.85942,                0.92592,                0.72103,                  1.687,                 1.1121,                 2.4826,               0.009109,               0.009109,               0.009109
                     47,                 1.7895,                 1.1641,                 2.4773,                0.85459,                  0.865,                0.93113,                0.72963,                 1.6717,                 1.0752,                 2.4481,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.7456,                 1.1605,                 2.4344,                0.86687,                0.84523,                0.92589,                 0.7189,                 1.7253,                 1.0977,                  2.482,              0.0090694,              0.0090694,              0.0090694
                     49,                  1.774,                 1.1343,                 2.4605,                0.88065,                0.85168,                0.93175,                 0.7329,                 1.6775,                  1.068,                 2.4508,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.7262,                 1.1324,                 2.4162,                0.87788,                 0.8448,                0.92947,                0.73144,                 1.6731,                 1.0847,                 2.4337,              0.0090298,              0.0090298,              0.0090298
                     51,                  1.719,                 1.0923,                  2.404,                0.85744,                0.86028,                0.92047,                0.72223,                 1.7125,                 1.1378,                 2.4755,                0.00901,                0.00901,                0.00901
                     52,                 1.7229,                 1.1039,                 2.4158,                 0.8631,                0.83362,                0.91822,                0.71505,                 1.7267,                 1.1729,                 2.4903,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.7211,                 1.1088,                 2.3909,                0.90068,                0.84738,                0.93595,                0.74528,                 1.6207,                 1.0652,                 2.4013,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.6849,                 1.0858,                 2.3653,                0.85227,                0.87317,                0.93321,                0.73995,                 1.6243,                 1.0367,                 2.4015,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.6936,                 1.0972,                 2.3842,                0.87798,                0.86001,                0.93457,                0.74295,                 1.5943,                 1.0433,                  2.381,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.6956,                 1.0904,                 2.4074,                0.88636,                0.85172,                0.93536,                0.74901,                 1.6012,                 1.0373,                  2.382,               0.008911,               0.008911,               0.008911
                     57,                 1.6554,                 1.0437,                 2.3476,                0.86185,                0.85985,                0.92595,                0.73026,                 1.6216,                 1.0628,                 2.3937,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.6584,                 1.0844,                 2.3765,                 0.8597,                 0.8577,                0.92435,                0.73483,                 1.6324,                 1.0998,                 2.4024,              0.0088714,              0.0088714,              0.0088714
