                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9343,                 7.4726,                 4.3399,                0.00019,                0.01591,                 0.0001,                  2e-05,                 2.7499,                 6.2085,                 4.2601,              0.0033197,              0.0033197,              0.0033197
                      2,                 2.9063,                 6.8538,                 4.2012,                 0.0021,                 0.1767,                0.00126,                 0.0004,                 2.6769,                 6.9887,                 4.8612,              0.0066399,              0.0066399,              0.0066399
                      3,                  2.419,                  4.397,                 3.3583,                0.29767,                0.26096,                0.20508,                0.09117,                 2.0745,                    3.6,                 2.8988,              0.0099468,              0.0099468,              0.0099468
                      4,                 1.9155,                 2.6093,                 2.6326,                0.56454,                0.58858,                0.57067,                0.31425,                 1.5499,                 2.3664,                  2.345,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6018,                 1.8014,                 2.2275,                0.63183,                0.64706,                0.68328,                0.43568,                 1.2915,                 2.5543,                 1.9541,              0.0099208,              0.0099208,              0.0099208
                      6,                  1.416,                 1.5083,                 1.9858,                0.66753,                0.66939,                0.69982,                0.44807,                 1.3375,                 1.2751,                 1.9134,               0.009901,               0.009901,               0.009901
                      7,                 1.3266,                 1.3207,                 1.8904,                 0.6554,                 0.7408,                0.74722,                0.48355,                 1.2865,                 1.1811,                 1.8224,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.2535,                 1.2259,                 1.7882,                0.66553,                0.70077,                0.74744,                0.50897,                  1.171,                  1.121,                 1.7747,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.2081,                 1.1533,                 1.7415,                0.67173,                0.74076,                0.75114,                0.51213,                 1.1024,                 1.0827,                 1.6676,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.1656,                  1.066,                 1.6925,                0.71638,                0.72429,                0.77984,                0.54961,                  1.073,                 1.0084,                 1.6597,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.1335,                 1.0174,                 1.6578,                0.64055,                0.70024,                0.72629,                 0.5219,                 1.0537,                 1.0811,                  1.617,               0.009802,               0.009802,               0.009802
                     12,                 1.1147,                0.98961,                 1.6328,                0.70066,                0.77214,                0.80796,                0.58276,                  1.036,                0.94726,                 1.6197,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.0918,                0.94323,                 1.6124,                0.72312,                0.76569,                0.81326,                 0.5893,                 1.0421,                0.94728,                 1.5775,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.0745,                0.93053,                 1.5874,                0.72618,                0.77303,                0.82467,                0.59857,                 1.0217,                0.96466,                 1.5855,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.0586,                0.90292,                 1.5615,                0.70961,                 0.7848,                0.82141,                0.60563,                 1.0073,                0.91483,                 1.5463,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.0527,                 0.8906,                 1.5679,                0.74638,                0.77429,                0.83366,                0.60253,                 1.0211,                0.91377,                 1.5609,               0.009703,               0.009703,               0.009703
                     17,                 1.0349,                0.86685,                 1.5419,                0.74019,                0.78891,                0.83038,                0.61279,                0.99734,                0.90468,                 1.5584,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0293,                0.85066,                 1.5425,                0.75806,                0.79837,                0.87065,                0.64546,                0.97345,                 0.8091,                 1.5272,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0312,                0.84425,                 1.5377,                0.72438,                0.75924,                0.81424,                0.53975,                 1.2014,                0.97201,                 1.7733,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.0127,                 0.8287,                  1.526,                0.76346,                0.79837,                0.85521,                0.63109,                0.98351,                0.82069,                 1.5294,              0.0096238,              0.0096238,              0.0096238
                     21,                0.99247,                0.80868,                 1.5018,                0.77593,                0.81585,                0.88092,                0.65502,                 0.9401,                0.78562,                 1.4731,               0.009604,               0.009604,               0.009604
                     22,                0.99184,                0.80163,                 1.4966,                0.74976,                0.78805,                 0.8495,                0.63573,                0.95356,                0.83091,                  1.482,              0.0095842,              0.0095842,              0.0095842
                     23,                  0.992,                0.79032,                 1.5102,                0.70679,                0.78375,                0.80046,                0.60253,                0.96089,                0.86765,                 1.5155,              0.0095644,              0.0095644,              0.0095644
                     24,                0.98813,                0.78274,                 1.4971,                0.75959,                0.83491,                0.88286,                0.65482,                0.96452,                0.78432,                 1.5042,              0.0095446,              0.0095446,              0.0095446
                     25,                0.97181,                0.75999,                 1.4861,                0.77065,                0.78733,                 0.8611,                0.64838,                 0.9295,                0.80322,                 1.4708,              0.0095248,              0.0095248,              0.0095248
                     26,                0.95323,                0.75064,                 1.4605,                 0.8175,                 0.8146,                0.89202,                 0.6781,                0.91401,                0.76837,                 1.4627,               0.009505,               0.009505,               0.009505
                     27,                0.96384,                0.74803,                 1.4726,                0.81219,                0.82975,                 0.9002,                0.68575,                0.91125,                0.71522,                 1.4441,              0.0094852,              0.0094852,              0.0094852
                     28,                0.94975,                0.74258,                 1.4659,                 0.8103,                0.85026,                0.90312,                0.69173,                 0.9053,                0.70362,                 1.4402,              0.0094654,              0.0094654,              0.0094654
                     29,                0.95082,                0.72836,                 1.4425,                0.84054,                0.84695,                0.91704,                0.69806,                 0.9103,                 0.6843,                 1.4279,              0.0094456,              0.0094456,              0.0094456
                     30,                0.93421,                0.71498,                 1.4422,                0.79466,                0.80529,                0.87993,                0.66952,                 0.9131,                0.75774,                 1.4494,              0.0094258,              0.0094258,              0.0094258
                     31,                 0.9379,                0.71011,                 1.4426,                0.82923,                0.82545,                 0.8949,                0.69114,                 0.8895,                0.70136,                 1.4209,               0.009406,               0.009406,               0.009406
                     32,                 0.9334,                0.70396,                 1.4408,                0.80238,                0.83087,                0.88647,                0.67491,                 0.9021,                0.71776,                 1.4533,              0.0093862,              0.0093862,              0.0093862
                     33,                0.92655,                0.69487,                 1.4313,                0.85681,                0.81255,                0.91387,                0.70738,                0.87342,                0.68048,                  1.417,              0.0093664,              0.0093664,              0.0093664
                     34,                0.91708,                0.70325,                 1.4226,                0.83869,                0.83147,                0.91314,                0.70345,                0.88868,                0.66804,                 1.4315,              0.0093466,              0.0093466,              0.0093466
                     35,                0.91727,                0.70093,                  1.412,                0.82178,                0.81476,                0.89603,                 0.6766,                0.91509,                0.73817,                 1.4601,              0.0093268,              0.0093268,              0.0093268
                     36,                0.89691,                0.68397,                 1.4025,                0.82908,                0.83417,                0.90565,                0.70288,                0.88011,                0.68065,                   1.43,               0.009307,               0.009307,               0.009307
                     37,                 0.9003,                0.68707,                 1.4037,                 0.8092,                0.83874,                0.89764,                0.68693,                0.92199,                0.71786,                 1.4189,              0.0092872,              0.0092872,              0.0092872
                     38,                0.90354,                0.68976,                 1.4049,                0.83062,                0.86672,                0.92473,                0.71637,                0.87897,                0.64045,                 1.3987,              0.0092674,              0.0092674,              0.0092674
                     39,                0.89757,                 0.6777,                 1.3924,                0.81292,                0.84996,                0.90685,                0.70015,                0.88306,                0.67637,                 1.4293,              0.0092476,              0.0092476,              0.0092476
                     40,                0.88337,                 0.6648,                  1.392,                0.86697,                0.85456,                0.93262,                0.73045,                0.83997,                0.60884,                   1.38,              0.0092278,              0.0092278,              0.0092278
                     41,                0.88444,                0.64813,                  1.389,                0.85846,                0.86629,                0.93352,                0.72574,                0.84561,                0.61641,                 1.3713,               0.009208,               0.009208,               0.009208
                     42,                 0.8708,                0.64531,                 1.3694,                0.86618,                0.84136,                0.92406,                 0.7268,                0.85328,                0.63114,                 1.3731,              0.0091882,              0.0091882,              0.0091882
                     43,                0.87217,                0.66244,                 1.3686,                0.87122,                0.86673,                0.93821,                0.73669,                0.83661,                0.59386,                 1.3505,              0.0091684,              0.0091684,              0.0091684
                     44,                0.86341,                0.63745,                  1.355,                0.85519,                0.86586,                0.93136,                0.73438,                0.82773,                0.61971,                 1.3608,              0.0091486,              0.0091486,              0.0091486
                     45,                 0.8504,                0.62923,                 1.3504,                0.86658,                0.86028,                0.93432,                0.73082,                0.85313,                0.60724,                 1.3933,              0.0091288,              0.0091288,              0.0091288
                     46,                0.85188,                0.64292,                 1.3601,                0.84158,                0.87247,                0.92742,                0.73167,                 0.8302,                 0.6189,                 1.3473,               0.009109,               0.009109,               0.009109
                     47,                 0.8589,                 0.6303,                 1.3655,                0.85455,                 0.8736,                0.93046,                0.73017,                0.83836,                0.59992,                 1.3605,              0.0090892,              0.0090892,              0.0090892
                     48,                0.84203,                0.62199,                 1.3621,                0.87276,                0.87583,                0.94044,                0.73706,                0.84039,                0.59955,                 1.3807,              0.0090694,              0.0090694,              0.0090694
                     49,                0.85248,                0.62224,                 1.3651,                0.84508,                 0.8771,                0.93364,                0.73847,                0.82394,                 0.6171,                 1.3623,              0.0090496,              0.0090496,              0.0090496
                     50,                0.82888,                0.61888,                 1.3425,                0.86285,                0.88349,                0.93986,                0.74561,                0.80795,                0.59273,                 1.3563,              0.0090298,              0.0090298,              0.0090298
                     51,                0.81952,                0.59651,                 1.3321,                0.80855,                0.85168,                0.90199,                0.71752,                0.79399,                0.63848,                   1.33,                0.00901,                0.00901,                0.00901
                     52,                0.83323,                 0.6075,                 1.3373,                0.86462,                0.88177,                0.93768,                0.74715,                0.79418,                0.57865,                 1.3359,              0.0089902,              0.0089902,              0.0089902
                     53,                0.82418,                0.60183,                 1.3218,                0.88617,                0.86353,                0.94115,                 0.7569,                0.79428,                0.58116,                 1.3333,              0.0089704,              0.0089704,              0.0089704
                     54,                0.81093,                0.59701,                 1.3211,                0.85181,                0.88223,                0.93356,                0.74923,                0.78848,                0.58855,                  1.326,              0.0089506,              0.0089506,              0.0089506
                     55,                0.81199,                0.59286,                 1.3172,                0.88807,                0.86028,                0.93623,                0.75669,                 0.7824,                0.58365,                 1.3088,              0.0089308,              0.0089308,              0.0089308
                     56,                0.81131,                0.59706,                 1.3263,                0.86291,                0.88822,                0.93698,                0.74952,                 0.7915,                0.57903,                 1.3355,               0.008911,               0.008911,               0.008911
                     57,                0.78949,                0.57822,                 1.3043,                0.87709,                0.85904,                0.93812,                0.75691,                0.77732,                0.58177,                  1.322,              0.0088912,              0.0088912,              0.0088912
                     58,                0.78701,                0.58347,                 1.3034,                0.87363,                0.87059,                0.93925,                0.76008,                0.77011,                0.57702,                 1.3025,              0.0088714,              0.0088714,              0.0088714
                     59,                0.80578,                0.57978,                 1.3098,                0.87272,                0.87661,                0.93924,                0.76422,                0.76563,                0.57638,                 1.3016,              0.0088516,              0.0088516,              0.0088516
                     60,                0.78725,                0.56871,                 1.2888,                0.88075,                0.88392,                0.94824,                0.77469,                0.74059,                0.55203,                 1.2718,              0.0088318,              0.0088318,              0.0088318
                     61,                0.78012,                0.57306,                  1.283,                0.88436,                0.87231,                0.94195,                0.76563,                0.76056,                0.56394,                 1.2904,               0.008812,               0.008812,               0.008812
                     62,                0.77874,                0.56313,                 1.2759,                0.87388,                0.89667,                 0.9479,                0.76987,                0.75023,                0.55262,                 1.2823,              0.0087922,              0.0087922,              0.0087922
                     63,                 0.7712,                0.55776,                 1.2756,                0.87962,                0.89123,                0.94786,                0.76876,                0.75457,                 0.5543,                 1.2859,              0.0087724,              0.0087724,              0.0087724
                     64,                 0.7797,                0.56127,                  1.288,                0.87269,                0.87575,                0.94019,                0.76491,                0.75579,                 0.5742,                  1.291,              0.0087526,              0.0087526,              0.0087526
                     65,                0.76687,                0.56477,                 1.2684,                 0.8844,                0.87747,                0.94652,                0.77317,                0.75261,                0.55972,                 1.2831,              0.0087328,              0.0087328,              0.0087328
                     66,                0.77042,                 0.5529,                 1.2675,                0.89778,                0.91144,                0.95588,                0.78189,                0.74113,                0.52827,                 1.2772,               0.008713,               0.008713,               0.008713
                     67,                0.75552,                0.53611,                  1.255,                0.87663,                0.90123,                0.94722,                0.77001,                0.76678,                 0.5442,                 1.2807,              0.0086932,              0.0086932,              0.0086932
                     68,                0.75428,                0.54744,                   1.26,                0.89048,                0.90198,                0.95254,                0.78037,                0.72436,                0.52873,                 1.2542,              0.0086734,              0.0086734,              0.0086734
                     69,                0.74299,                0.53206,                 1.2457,                 0.9035,                0.88551,                0.95129,                0.78614,                0.73007,                 0.5265,                 1.2542,              0.0086536,              0.0086536,              0.0086536
                     70,                0.74035,                0.53546,                 1.2404,                0.89919,                0.88204,                0.95304,                0.78054,                0.72849,                 0.5316,                 1.2572,              0.0086338,              0.0086338,              0.0086338
