                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9477,                  7.306,                 4.3065,                  7e-05,                0.00086,                  3e-05,                  1e-05,                  2.732,                 6.0528,                 4.3896,              0.0033197,              0.0033197,              0.0033197
                      2,                  2.897,                 6.4207,                 4.1126,                0.15144,                0.03482,                0.02716,                0.00624,                 2.5843,                 4.3184,                  3.807,              0.0066399,              0.0066399,              0.0066399
                      3,                  2.364,                  3.963,                 3.2532,                0.30282,                0.32287,                0.22208,                 0.1015,                 1.8818,                 6.7796,                 2.9014,              0.0099468,              0.0099468,              0.0099468
                      4,                 1.8648,                  2.607,                 2.5893,                0.54097,                0.55331,                0.51876,                0.28366,                 1.6061,                 2.1457,                 2.2809,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5616,                 1.8364,                 2.1873,                0.63894,                0.63758,                0.67695,                0.41072,                 1.3635,                 1.6004,                 2.0274,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.3808,                  1.557,                 1.9692,                0.67861,                0.68057,                0.73402,                0.48105,                 1.2514,                 1.5552,                 1.9058,               0.009901,               0.009901,               0.009901
                      7,                 1.3071,                 1.3656,                 1.8884,                0.65843,                0.64531,                0.69649,                 0.4637,                 1.2591,                 1.4624,                 1.8508,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.2365,                 1.2393,                 1.7825,                0.71677,                0.74746,                0.80998,                0.55892,                 1.1337,                 1.0826,                 1.7477,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.1884,                 1.1522,                  1.725,                0.73234,                0.75107,                 0.8205,                0.57686,                 1.0995,                 1.0659,                 1.6969,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.1478,                  1.066,                 1.6832,                 0.7734,                0.78064,                0.84661,                0.59334,                 1.0548,                 1.0052,                 1.6476,              0.0098218,              0.0098218,              0.0098218
                     11,                  1.114,                 1.0224,                 1.6547,                0.72516,                0.68487,                0.78373,                0.56307,                 1.0396,                 1.0192,                 1.6243,               0.009802,               0.009802,               0.009802
                     12,                 1.1118,                0.98079,                 1.6374,                0.67728,                0.76422,                0.78718,                0.54941,                   1.12,                 1.0554,                 1.7311,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.0786,                0.94407,                 1.6159,                0.66472,                0.67111,                0.72106,                0.50732,                 1.1415,                 1.3492,                 1.7179,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.0684,                0.92817,                 1.5921,                0.81189,                0.78491,                0.88187,                0.62602,                  1.057,                 0.8659,                 1.6103,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.0583,                0.90951,                 1.5676,                0.75572,                0.74076,                0.83279,                0.61461,                 1.0003,                0.90369,                  1.537,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.0486,                0.89086,                 1.5675,                0.66453,                0.75115,                0.78585,                0.54468,                  1.098,                  1.023,                 1.6906,               0.009703,               0.009703,               0.009703
                     17,                 1.0284,                0.86128,                 1.5408,                0.77191,                0.82201,                0.88238,                 0.6476,                0.99797,                0.81853,                 1.5567,              0.0096832,              0.0096832,              0.0096832
                     18,                  1.019,                0.84953,                 1.5381,                0.78259,                0.79192,                0.85054,                0.62002,                0.99431,                0.84297,                 1.5393,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0217,                0.85266,                 1.5345,                 0.8007,                0.80834,                0.88893,                0.65305,                0.98272,                0.78063,                  1.548,              0.0096436,              0.0096436,              0.0096436
                     20,                  1.007,                0.83155,                 1.5254,                 0.7439,                0.79192,                0.85568,                0.63373,                0.99052,                0.82668,                 1.5132,              0.0096238,              0.0096238,              0.0096238
                     21,                0.98692,                0.80575,                 1.4962,                0.70775,                0.73302,                0.78144,                0.55096,                 1.0474,                 1.0167,                 1.6033,               0.009604,               0.009604,               0.009604
                     22,                0.98389,                0.81329,                 1.4904,                 0.8019,                0.81384,                0.88762,                 0.6642,                0.93999,                0.78143,                 1.4801,              0.0095842,              0.0095842,              0.0095842
                     23,                0.98416,                0.80507,                 1.5021,                0.77148,                0.80138,                0.86535,                0.64855,                 0.9569,                0.78399,                 1.5114,              0.0095644,              0.0095644,              0.0095644
                     24,                0.97988,                0.78907,                 1.4931,                0.82734,                0.78901,                 0.8881,                0.65966,                0.96196,                0.76355,                 1.5165,              0.0095446,              0.0095446,              0.0095446
                     25,                0.96779,                0.76358,                 1.4926,                0.82774,                0.81126,                0.90052,                0.67572,                0.94943,                0.76559,                  1.501,              0.0095248,              0.0095248,              0.0095248
                     26,                0.94793,                 0.7585,                 1.4642,                0.80628,                0.79984,                 0.8812,                0.65433,                0.95261,                0.79893,                 1.5077,               0.009505,               0.009505,               0.009505
                     27,                0.96108,                0.75743,                 1.4605,                0.83713,                0.80659,                0.90037,                0.67354,                  0.946,                0.72437,                 1.4557,              0.0094852,              0.0094852,              0.0094852
                     28,                 0.9492,                0.73507,                 1.4557,                0.83057,                0.82588,                0.90602,                0.69062,                 0.9151,                0.71687,                 1.4515,              0.0094654,              0.0094654,              0.0094654
                     29,                0.93963,                0.73518,                 1.4424,                0.82974,                0.84523,                0.91522,                0.70312,                0.89772,                0.68479,                 1.4313,              0.0094456,              0.0094456,              0.0094456
                     30,                0.93158,                 0.7208,                 1.4432,                0.83109,                0.84351,                0.91083,                0.69165,                0.91078,                0.69504,                 1.4445,              0.0094258,              0.0094258,              0.0094258
                     31,                0.92745,                0.72467,                 1.4327,                0.78342,                0.80558,                0.86362,                0.64807,                0.96364,                 0.7681,                 1.4995,               0.009406,               0.009406,               0.009406
                     32,                0.92965,                0.72308,                 1.4346,                0.85289,                0.82975,                0.91619,                0.69943,                0.91808,                0.67182,                 1.4377,              0.0093862,              0.0093862,              0.0093862
                     33,                0.92402,                0.70827,                 1.4282,                0.84057,                0.84094,                0.91756,                0.70423,                0.89421,                0.67177,                 1.4289,              0.0093664,              0.0093664,              0.0093664
                     34,                0.91455,                0.70776,                 1.4061,                0.82775,                0.83878,                0.90559,                0.69422,                0.90834,                0.67916,                 1.4212,              0.0093466,              0.0093466,              0.0093466
                     35,                0.91395,                0.70398,                 1.4009,                0.81084,                0.81457,                0.89223,                0.68676,                0.87416,                0.71465,                 1.4103,              0.0093268,              0.0093268,              0.0093268
                     36,                0.89526,                0.68231,                 1.3901,                 0.8493,                0.84996,                0.92467,                0.70452,                0.90625,                0.65103,                   1.42,               0.009307,               0.009307,               0.009307
                     37,                 0.8989,                0.69689,                 1.3896,                 0.8371,                0.83952,                0.91523,                0.70535,                0.88129,                0.65632,                 1.3925,              0.0092872,              0.0092872,              0.0092872
                     38,                0.90367,                0.69074,                 1.3945,                0.85733,                 0.8396,                0.92185,                0.70848,                0.87713,                0.65925,                  1.401,              0.0092674,              0.0092674,              0.0092674
                     39,                 0.8894,                0.69149,                  1.372,                0.81704,                0.85082,                0.90209,                0.69942,                0.87282,                0.67312,                 1.4026,              0.0092476,              0.0092476,              0.0092476
                     40,                0.87984,                0.67578,                 1.3812,                0.82837,                0.87774,                0.92448,                0.72029,                0.84975,                0.62907,                 1.3871,              0.0092278,              0.0092278,              0.0092278
                     41,                 0.8891,                0.65322,                 1.3721,                0.86504,                0.85427,                0.93037,                0.71473,                0.88318,                0.64419,                 1.3802,               0.009208,               0.009208,               0.009208
                     42,                0.87569,                0.65337,                 1.3602,                0.86974,                0.84394,                0.92391,                0.72755,                0.83666,                0.64304,                 1.3515,              0.0091882,              0.0091882,              0.0091882
                     43,                0.86685,                 0.6569,                 1.3658,                0.85946,                0.86328,                0.93395,                0.73293,                0.83978,                0.61778,                 1.3608,              0.0091684,              0.0091684,              0.0091684
                     44,                0.85801,                 0.6413,                 1.3473,                0.83974,                0.83128,                0.90773,                 0.7016,                0.88378,                0.68947,                  1.425,              0.0091486,              0.0091486,              0.0091486
                     45,                0.84976,                0.62863,                 1.3366,                0.86032,                0.87645,                0.93069,                0.73798,                0.83508,                0.62777,                 1.3413,              0.0091288,              0.0091288,              0.0091288
                     46,                0.85036,                0.64695,                 1.3419,                0.86106,                0.85168,                0.93006,                 0.7302,                 0.8453,                0.62446,                  1.363,               0.009109,               0.009109,               0.009109
                     47,                0.85636,                0.63438,                 1.3495,                0.83734,                0.88478,                0.92602,                0.72971,                0.82647,                0.61145,                 1.3446,              0.0090892,              0.0090892,              0.0090892
                     48,                0.84024,                0.63207,                 1.3345,                0.86048,                0.87232,                0.93725,                0.73932,                 0.8369,                0.59519,                 1.3589,              0.0090694,              0.0090694,              0.0090694
                     49,                0.84712,                0.62741,                 1.3414,                 0.8518,                 0.8693,                0.92596,                0.73674,                0.82105,                 0.6148,                 1.3483,              0.0090496,              0.0090496,              0.0090496
                     50,                0.82914,                0.63034,                 1.3247,                0.86332,                0.85543,                0.92923,                0.72134,                0.84956,                0.61967,                 1.3726,              0.0090298,              0.0090298,              0.0090298
                     51,                0.82313,                0.60425,                  1.326,                0.84048,                0.88116,                0.92665,                0.74061,                0.80685,                0.60168,                 1.3336,                0.00901,                0.00901,                0.00901
                     52,                0.82846,                0.62203,                 1.3242,                0.88296,                0.86601,                0.93557,                0.74526,                0.80604,                0.60043,                  1.323,              0.0089902,              0.0089902,              0.0089902
                     53,                0.82214,                0.60496,                 1.3042,                0.87676,                0.87477,                0.94439,                0.75305,                0.79129,                0.57863,                 1.3027,              0.0089704,              0.0089704,              0.0089704
                     54,                0.81293,                0.60134,                  1.304,                0.86626,                0.85555,                0.93407,                0.74632,                0.78921,                0.60625,                  1.314,              0.0089506,              0.0089506,              0.0089506
                     55,                0.81182,                0.60317,                 1.3034,                0.85064,                0.86629,                0.92517,                0.74269,                0.78825,                0.60271,                 1.3136,              0.0089308,              0.0089308,              0.0089308
                     56,                0.80714,                 0.6089,                 1.3053,                0.87528,                0.87199,                 0.9374,                0.75088,                0.79446,                 0.5879,                 1.3213,               0.008911,               0.008911,               0.008911
                     57,                0.79007,                0.57939,                 1.2914,                0.88861,                0.88485,                0.94703,                0.75439,                0.77692,                0.55928,                 1.2997,              0.0088912,              0.0088912,              0.0088912
                     58,                0.79552,                0.58929,                 1.2915,                0.86885,                0.87059,                0.93572,                0.74884,                0.77992,                0.59335,                 1.3054,              0.0088714,              0.0088714,              0.0088714
                     59,                0.79985,                0.59518,                 1.2926,                0.87065,                0.87532,                0.93645,                0.75407,                0.78025,                0.58429,                 1.2913,              0.0088516,              0.0088516,              0.0088516
                     60,                0.78638,                 0.5763,                 1.2756,                 0.8672,                 0.9068,                0.94837,                0.76947,                0.75172,                0.55203,                 1.2742,              0.0088318,              0.0088318,              0.0088318
                     61,                0.77924,                0.57375,                  1.263,                0.86841,                0.87954,                0.93776,                0.76109,                0.76831,                0.57306,                  1.277,               0.008812,               0.008812,               0.008812
                     62,                0.77898,                 0.5772,                 1.2572,                0.90389,                0.86523,                0.94591,                0.77155,                0.75805,                0.56051,                 1.2704,              0.0087922,              0.0087922,              0.0087922
                     63,                0.76672,                0.56543,                 1.2526,                0.89843,                0.87844,                0.94589,                0.77385,                0.74523,                0.54638,                 1.2508,              0.0087724,              0.0087724,              0.0087724
                     64,                 0.7713,                 0.5726,                 1.2525,                0.88613,                0.87321,                0.93962,                0.76392,                0.75616,                0.56714,                 1.2647,              0.0087526,              0.0087526,              0.0087526
                     65,                0.77078,                0.57219,                  1.252,                0.90043,                 0.8748,                 0.9468,                0.77373,                 0.7466,                0.55249,                 1.2557,              0.0087328,              0.0087328,              0.0087328
                     66,                0.76739,                0.55745,                 1.2448,                0.90526,                 0.8822,                 0.9527,                0.77913,                0.74267,                0.54183,                 1.2582,               0.008713,               0.008713,               0.008713
                     67,                0.75317,                0.55044,                  1.243,                0.91047,                0.87317,                0.94844,                0.77516,                0.75477,                0.53691,                 1.2695,              0.0086932,              0.0086932,              0.0086932
                     68,                0.75693,                0.55579,                 1.2481,                0.87603,                 0.8951,                0.94296,                0.77728,                 0.7282,                0.54128,                 1.2449,              0.0086734,              0.0086734,              0.0086734
                     69,                0.73435,                0.53366,                 1.2281,                0.88429,                0.88521,                 0.9453,                0.77931,                0.72796,                0.55276,                 1.2458,              0.0086536,              0.0086536,              0.0086536
                     70,                0.74899,                0.54348,                 1.2396,                 0.8886,                0.87919,                0.94082,                0.78054,                 0.7225,                0.55206,                  1.245,              0.0086338,              0.0086338,              0.0086338
                     71,                 0.7404,                0.53863,                 1.2242,                0.88064,                0.89132,                0.94566,                 0.7831,                0.71446,                0.53668,                 1.2338,               0.008614,               0.008614,               0.008614
                     72,                0.73189,                0.53015,                 1.2323,                0.91664,                0.86517,                0.95153,                0.78179,                0.73173,                0.53854,                 1.2487,              0.0085942,              0.0085942,              0.0085942
                     73,                0.73487,                 0.5271,                  1.208,                 0.8908,                0.89123,                0.94745,                0.78541,                0.71038,                0.53251,                 1.2213,              0.0085744,              0.0085744,              0.0085744
                     74,                0.72204,                0.52134,                 1.2033,                0.89181,                0.88241,                0.94677,                0.77963,                0.73136,                 0.5371,                 1.2533,              0.0085546,              0.0085546,              0.0085546
                     75,                0.71688,                0.52382,                 1.2048,                0.89644,                0.88435,                0.94939,                0.79033,                0.70523,                0.52288,                 1.2216,              0.0085348,              0.0085348,              0.0085348
                     76,                0.71501,                0.52235,                 1.1944,                0.87853,                0.90483,                0.95212,                0.78723,                0.72279,                0.51664,                 1.2337,               0.008515,               0.008515,               0.008515
                     77,                0.72323,                0.52981,                 1.2064,                0.89041,                0.87876,                0.94494,                0.78179,                0.72176,                0.54653,                 1.2303,              0.0084952,              0.0084952,              0.0084952
                     78,                0.70658,                0.51547,                  1.195,                 0.8806,                0.89734,                0.94681,                0.78461,                0.72124,                0.52733,                  1.241,              0.0084754,              0.0084754,              0.0084754
                     79,                0.71592,                0.51282,                 1.2009,                0.89775,                0.89424,                0.95171,                0.79038,                0.71165,                0.51082,                 1.2321,              0.0084556,              0.0084556,              0.0084556
                     80,                0.70096,                0.50096,                 1.1975,                0.91059,                0.87134,                 0.9495,                0.79135,                0.70937,                0.53099,                 1.2281,              0.0084358,              0.0084358,              0.0084358
                     81,                 0.7056,                0.51187,                 1.2046,                0.89526,                0.88564,                0.94784,                0.79161,                0.69748,                0.52175,                  1.227,               0.008416,               0.008416,               0.008416
                     82,                0.70016,                0.50438,                 1.1971,                0.89518,                0.89166,                0.95142,                0.80088,                0.68753,                0.52441,                 1.2002,              0.0083962,              0.0083962,              0.0083962
                     83,                0.69945,                0.49859,                 1.1893,                0.91118,                0.88209,                0.95119,                0.79331,                0.70209,                 0.5145,                 1.2224,              0.0083764,              0.0083764,              0.0083764
                     84,                0.69618,                0.49903,                 1.1959,                0.92275,                0.87274,                0.95103,                0.79644,                0.69509,                 0.5158,                  1.219,              0.0083566,              0.0083566,              0.0083566
                     85,                0.67551,                0.49523,                 1.1705,                 0.9114,                0.88004,                0.95301,                0.79979,                0.69116,                0.50942,                 1.2127,              0.0083368,              0.0083368,              0.0083368
                     86,                0.68097,                0.49684,                 1.1786,                0.88805,                0.90155,                0.95404,                 0.8034,                0.68553,                0.50974,                 1.1928,               0.008317,               0.008317,               0.008317
                     87,                0.67699,                0.49153,                 1.1732,                0.89365,                0.90675,                0.95629,                0.80617,                0.67092,                0.49772,                 1.1921,              0.0082972,              0.0082972,              0.0082972
                     88,                0.68735,                0.49201,                 1.1803,                0.88135,                0.89338,                0.94765,                0.79267,                0.68097,                0.50799,                 1.2072,              0.0082774,              0.0082774,              0.0082774
                     89,                0.67497,                0.47961,                 1.1668,                0.90335,                0.89338,                 0.9579,                0.81074,                0.66669,                0.48346,                 1.1927,              0.0082576,              0.0082576,              0.0082576
                     90,                0.66792,                0.47903,                 1.1695,                0.90811,                0.88865,                0.95638,                0.80031,                 0.6878,                0.50298,                 1.2068,              0.0082378,              0.0082378,              0.0082378
                     91,                 0.6705,                0.48414,                 1.1695,                0.91204,                0.88349,                0.95453,                0.80817,                0.65667,                  0.484,                 1.1833,               0.008218,               0.008218,               0.008218
                     92,                0.67179,                0.48172,                 1.1562,                0.89785,                0.89177,                0.95303,                0.80712,                 0.6606,                0.49608,                 1.1767,              0.0081982,              0.0081982,              0.0081982
                     93,                0.66586,                0.47455,                  1.156,                0.91215,                0.87876,                 0.9523,                0.80792,                0.65524,                0.50948,                 1.1799,              0.0081784,              0.0081784,              0.0081784
                     94,                0.65355,                0.45875,                 1.1559,                0.90509,                0.88392,                0.95282,                 0.8071,                0.65747,                0.50799,                 1.1824,              0.0081586,              0.0081586,              0.0081586
                     95,                 0.6582,                0.46324,                 1.1525,                0.91432,                0.88048,                0.94851,                0.80447,                0.65758,                0.50427,                 1.1797,              0.0081388,              0.0081388,              0.0081388
                     96,                0.65122,                0.45706,                 1.1423,                0.92444,                0.87309,                0.95367,                0.81216,                0.66307,                0.50569,                 1.1715,               0.008119,               0.008119,               0.008119
                     97,                0.65444,                0.46817,                 1.1451,                0.92301,                0.88141,                0.95737,                0.80893,                0.65108,                0.48807,                 1.1656,              0.0080992,              0.0080992,              0.0080992
                     98,                0.65232,                0.45597,                 1.1458,                0.91106,                0.88478,                0.95265,                0.80732,                0.65453,                0.49897,                 1.1708,              0.0080794,              0.0080794,              0.0080794
                     99,                0.65053,                0.45993,                  1.131,                0.91196,                0.89983,                0.95964,                0.81828,                0.64512,                0.48825,                 1.1651,              0.0080596,              0.0080596,              0.0080596
                    100,                0.64975,                 0.4541,                  1.143,                0.91095,                0.89279,                0.95765,                0.81652,                0.65547,                0.48884,                  1.181,              0.0080398,              0.0080398,              0.0080398
                    101,                0.63799,                0.45375,                  1.136,                0.90139,                0.88813,                0.95124,                0.81155,                0.65262,                0.49767,                 1.1782,                0.00802,                0.00802,                0.00802
                    102,                0.64852,                0.46205,                 1.1437,                0.89999,                0.90532,                0.95571,                0.81808,                0.64089,                0.48594,                 1.1635,              0.0080002,              0.0080002,              0.0080002
                    103,                0.62936,                 0.4509,                 1.1257,                0.91516,                0.88607,                0.95422,                   0.82,                 0.6362,                 0.4943,                 1.1676,              0.0079804,              0.0079804,              0.0079804
                    104,                0.63094,                0.44706,                 1.1244,                  0.918,                0.87747,                0.95564,                0.81817,                0.64763,                0.48957,                 1.1666,              0.0079606,              0.0079606,              0.0079606
                    105,                0.62471,                0.44212,                 1.1151,                 0.8996,                0.90413,                0.95795,                0.81926,                 0.6472,                0.48665,                 1.1658,              0.0079408,              0.0079408,              0.0079408
                    106,                0.62255,                0.43992,                 1.1118,                0.90326,                0.90317,                0.95782,                0.82607,                0.63362,                0.48344,                 1.1535,               0.007921,               0.007921,               0.007921
                    107,                0.62542,                0.44054,                 1.1113,                0.89967,                0.90981,                0.96047,                0.82305,                0.63941,                0.48148,                 1.1567,              0.0079012,              0.0079012,              0.0079012
                    108,                0.62508,                0.43957,                 1.1192,                0.90905,                 0.8981,                0.95274,                0.81799,                0.62745,                0.48404,                 1.1555,              0.0078814,              0.0078814,              0.0078814
                    109,                0.61298,                0.43234,                 1.1065,                0.90599,                0.89725,                0.95677,                0.82159,                0.63386,                0.48439,                 1.1542,              0.0078616,              0.0078616,              0.0078616
                    110,                0.61865,                0.43536,                 1.1138,                0.89866,                0.89974,                0.95412,                0.81809,                0.63922,                0.49355,                 1.1654,              0.0078418,              0.0078418,              0.0078418
