                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9287,                 7.4685,                 4.3064,                0.00015,                 0.0129,                  8e-05,                  2e-05,                 2.7602,                 6.2383,                 4.2622,              0.0033197,              0.0033197,              0.0033197
                      2,                 2.9366,                 6.9706,                 4.2156,                0.00083,                0.07008,                0.00045,                0.00013,                 2.7515,                 6.3942,                 4.7537,              0.0066399,              0.0066399,              0.0066399
                      3,                 2.6248,                 5.0978,                 3.6745,                0.17283,                0.17541,                0.09356,                  0.039,                 2.3788,                 8.3699,                 3.4109,              0.0099468,              0.0099468,              0.0099468
                      4,                 2.0776,                 2.9275,                 2.7446,                0.51887,                0.49146,                0.48312,                0.24539,                 1.6998,                 3.6931,                 2.3715,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6355,                 1.9494,                 2.1804,                0.60553,                0.62828,                 0.6458,                0.39176,                 1.3682,                 1.9679,                 1.9022,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.4218,                 1.5533,                 1.9065,                0.66356,                 0.7098,                0.73874,                0.49669,                  1.215,                 1.4038,                 1.7686,               0.009901,               0.009901,               0.009901
                      7,                 1.3144,                 1.3287,                 1.7938,                0.66178,                0.73732,                0.75182,                0.49613,                 1.2424,                 1.1515,                 1.6792,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.2353,                 1.2311,                 1.7009,                0.68998,                0.74678,                0.76896,                0.52054,                 1.1415,                 1.1579,                 1.6637,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.1863,                 1.1654,                 1.6329,                0.62639,                0.66122,                0.67451,                0.44957,                 1.2028,                 1.3047,                 1.7168,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.1371,                 1.0647,                 1.5872,                0.75392,                0.76483,                0.83136,                0.58838,                 1.0711,                0.97315,                 1.5619,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.1181,                 1.0107,                  1.556,                0.68487,                0.74721,                0.76852,                0.50313,                 1.2406,                 1.0584,                 1.7413,               0.009802,               0.009802,               0.009802
                     12,                  1.103,                0.97372,                 1.5349,                0.53868,                0.61393,                0.57599,                0.34367,                 1.5251,                 1.6514,                 2.0569,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.0703,                0.94734,                 1.5099,                0.67315,                 0.7773,                0.78552,                0.53857,                 1.1492,                0.98949,                  1.641,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.0657,                0.92517,                 1.5028,                0.77031,                0.80868,                0.86799,                0.62569,                 1.0574,                0.83092,                 1.4892,              0.0097426,              0.0097426,              0.0097426
                     15,                  1.051,                0.91709,                 1.4774,                0.66287,                0.73431,                0.73668,                0.49769,                 1.1753,                 1.0548,                 1.6526,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.0415,                0.89357,                  1.465,                0.67552,                0.74678,                0.78287,                0.52784,                 1.1471,                 1.0218,                 1.6235,               0.009703,               0.009703,               0.009703
