                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.8806,                 24.365,                 8.0812,                0.16797,                0.18573,                0.10031,                0.03653,                 4.9703,                 9.1984,                 6.4561,              0.0033197,              0.0033197,              0.0033197
                      2,                 4.3337,                 7.1722,                 5.3138,                0.35267,                0.41788,                 0.3292,                 0.1486,                 3.6338,                 4.3704,                 4.6481,              0.0066399,              0.0066399,              0.0066399
                      3,                 3.5033,                 4.6763,                 4.2492,                0.48997,                0.48968,                0.48253,                0.26154,                 3.3305,                 3.3206,                 4.0689,              0.0099468,              0.0099468,              0.0099468
                      4,                 3.1588,                 3.5283,                 3.8002,                0.54616,                0.54256,                0.55802,                0.35179,                 2.6427,                 3.2283,                 3.5129,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.9249,                 2.9453,                 3.5159,                0.55805,                0.57653,                0.59438,                0.39463,                 2.4762,                 2.7342,                 3.2299,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.6721,                  2.693,                 3.2612,                0.59769,                0.62511,                0.65533,                0.44033,                 2.4331,                 2.4184,                 3.1837,               0.009901,               0.009901,               0.009901
                      7,                 2.5907,                 2.4417,                 3.1934,                 0.6214,                0.64832,                0.66778,                0.45175,                 2.4035,                 2.1579,                  3.107,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.4801,                 2.3214,                 3.0651,                0.62502,                0.67719,                 0.6941,                 0.4736,                 2.3464,                 2.0948,                 3.1056,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.4107,                 2.1857,                 2.9728,                0.63946,                0.64402,                0.69564,                0.47396,                 2.2503,                 2.2849,                 3.0058,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.3522,                   2.03,                 2.9427,                0.66311,                0.66007,                0.71902,                0.48311,                  2.431,                 2.0364,                 3.1326,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.3088,                 1.9148,                  2.903,                0.61649,                0.68488,                0.71544,                0.50159,                 2.2357,                 2.0463,                 2.9865,               0.009802,               0.009802,               0.009802
                     12,                 2.2844,                  1.875,                 2.8707,                  0.623,                0.63156,                0.66249,                0.43446,                 2.5413,                 2.3809,                 3.2412,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.2463,                  1.818,                 2.8578,                0.70925,                0.71582,                0.78448,                0.56318,                 2.1237,                 1.7439,                 2.8541,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.2022,                 1.7856,                  2.824,                 0.6743,                0.70593,                0.76759,                0.54755,                 2.1003,                 1.9086,                 2.8624,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.1853,                  1.733,                  2.785,                0.69022,                0.70216,                0.74936,                0.53663,                 2.1313,                 1.9098,                 2.8922,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.1624,                 1.7079,                  2.776,                0.71381,                0.72381,                0.78376,                0.55827,                 2.1311,                 1.7527,                 2.8832,               0.009703,               0.009703,               0.009703
                     17,                 2.1253,                 1.6073,                 2.7342,                0.75305,                0.74463,                0.83301,                0.60582,                 2.0174,                 1.5765,                 2.7652,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.1288,                 1.6164,                 2.7547,                0.73348,                 0.7797,                 0.8267,                0.61151,                 1.9653,                 1.5236,                 2.7258,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.1035,                 1.5963,                 2.7388,                0.77078,                0.77343,                0.85052,                0.61102,                 2.0713,                 1.5077,                 2.8216,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.0936,                 1.5223,                 2.7225,                0.72763,                0.73517,                0.79109,                0.59282,                 1.9633,                 1.6394,                 2.7115,              0.0096238,              0.0096238,              0.0096238
                     21,                 2.0539,                 1.5193,                 2.7029,                0.74618,                0.73646,                0.78506,                0.58561,                 1.9801,                 1.6289,                 2.7487,               0.009604,               0.009604,               0.009604
                     22,                 2.0442,                 1.4917,                 2.6715,                0.76086,                0.78117,                0.84606,                0.62005,                 1.9897,                 1.5063,                 2.7251,              0.0095842,              0.0095842,              0.0095842
                     23,                 2.0512,                  1.497,                 2.6843,                0.74132,                0.76999,                0.82068,                 0.5903,                 2.1103,                 1.6025,                 2.8636,              0.0095644,              0.0095644,              0.0095644
                     24,                 2.0271,                 1.4634,                 2.6609,                0.76514,                0.81384,                 0.8697,                0.64844,                 1.9046,                 1.3696,                 2.6521,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.9933,                 1.4314,                 2.6424,                0.80044,                0.80181,                0.88135,                0.65567,                 1.9241,                 1.3756,                 2.6736,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.9809,                 1.4051,                  2.625,                0.77667,                0.77601,                0.84986,                0.63446,                 1.9393,                 1.4504,                 2.6957,               0.009505,               0.009505,               0.009505
                     27,                 1.9931,                 1.3953,                 2.6334,                0.80514,                0.82373,                0.88457,                0.66915,                 1.8701,                 1.2904,                 2.6002,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.9412,                 1.3384,                  2.589,                0.80749,                0.83706,                 0.8961,                0.67673,                 1.8716,                 1.2727,                 2.6291,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.9551,                 1.3465,                 2.5986,                0.73427,                0.79751,                0.83818,                0.63271,                 1.8923,                 1.4942,                 2.6383,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.9114,                 1.3338,                 2.5648,                0.83052,                0.78332,                0.87933,                 0.6725,                 1.8494,                 1.3437,                 2.5977,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.9163,                 1.3314,                 2.5688,                0.81502,                0.81452,                0.89028,                0.67718,                 1.8538,                  1.273,                 2.6141,               0.009406,               0.009406,               0.009406
                     32,                 1.8963,                 1.3215,                 2.5466,                0.82035,                0.82846,                0.89712,                0.68328,                 1.8408,                 1.2343,                 2.5861,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.8877,                 1.3052,                 2.5421,                0.81588,                 0.8233,                0.89813,                0.68845,                 1.8217,                 1.2448,                  2.585,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.8823,                 1.3062,                  2.534,                0.82096,                0.82287,                0.89537,                0.68954,                 1.8189,                 1.2347,                 2.5616,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.8874,                 1.3147,                  2.528,                0.81099,                0.82274,                0.89599,                0.68984,                 1.7743,                 1.2599,                 2.5578,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.8351,                 1.2592,                 2.5011,                0.87245,                0.82502,                0.91681,                0.71055,                 1.7675,                 1.1575,                 2.5329,               0.009307,               0.009307,               0.009307
                     37,                 1.8659,                 1.2712,                 2.5126,                0.83359,                0.83448,                0.90655,                0.69519,                 1.8366,                 1.1994,                 2.5649,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.8739,                 1.2643,                   2.51,                 0.8399,                0.85555,                0.91818,                0.71401,                 1.7345,                 1.1408,                 2.5038,              0.0092674,              0.0092674,              0.0092674
                     39,                   1.82,                 1.2682,                 2.4625,                0.81088,                0.79751,                0.87957,                0.67271,                 1.8223,                 1.3314,                 2.5852,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.8202,                 1.2265,                 2.4903,                0.82823,                0.84166,                0.90012,                0.69756,                 1.7495,                 1.1961,                 2.5215,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.8224,                 1.2064,                 2.4603,                0.85298,                0.83233,                 0.9104,                0.71033,                 1.7367,                 1.1889,                 2.4842,               0.009208,               0.009208,               0.009208
                     42,                 1.7962,                  1.199,                 2.4438,                0.86676,                0.83626,                0.92336,                0.72137,                 1.7127,                 1.0993,                 2.4797,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.7734,                 1.2045,                 2.4659,                0.85445,                0.84007,                0.91645,                0.71502,                  1.724,                 1.1599,                 2.4841,              0.0091684,              0.0091684,              0.0091684
