                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  6.707,                  21.73,                  7.801,                0.18177,                0.17326,                0.09453,                0.03092,                 4.8847,                 8.6966,                 6.1632,              0.0033197,              0.0033197,              0.0033197
                      2,                 4.2633,                  6.798,                 5.1419,                0.38511,                0.37532,                0.34053,                0.16523,                 3.5023,                 4.1797,                  4.595,              0.0066399,              0.0066399,              0.0066399
                      3,                 3.3941,                 4.6937,                 4.1272,                 0.4472,                0.43474,                0.41367,                0.23279,                 3.1996,                 5.8625,                 4.1109,              0.0099468,              0.0099468,              0.0099468
                      4,                 3.0631,                 3.5926,                 3.7082,                0.55359,                 0.5589,                0.57391,                0.35591,                 2.6799,                  3.591,                 3.5242,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.8192,                 2.9355,                 3.4426,                0.55736,                0.60748,                 0.6127,                0.39095,                 2.5617,                 2.9447,                 3.3831,              0.0099208,              0.0099208,              0.0099208
                      6,                  2.624,                 2.6362,                 3.2176,                0.59158,                0.62023,                0.64932,                0.44943,                 2.3391,                 2.3574,                 3.1378,               0.009901,               0.009901,               0.009901
                      7,                 2.5451,                 2.4229,                 3.1673,                 0.5912,                0.65606,                0.66912,                0.46714,                 2.2866,                 2.1265,                 3.0102,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.4484,                 2.3104,                 3.0525,                0.61785,                0.62975,                0.66862,                0.45814,                 2.2932,                 2.1948,                 3.0501,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.3859,                 2.1681,                 2.9514,                0.56628,                0.57911,                0.58996,                0.38896,                  2.593,                 2.6767,                 3.2596,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.3347,                   2.03,                 2.9307,                0.63898,                0.65778,                0.69586,                0.46991,                 2.3139,                 2.1726,                 3.0607,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.3134,                  1.925,                 2.9057,                0.64648,                0.64402,                0.70256,                0.51743,                 2.0903,                  2.108,                 2.8792,               0.009802,               0.009802,               0.009802
                     12,                 2.2485,                 1.9211,                 2.8476,                 0.7157,                0.70464,                0.76786,                0.53459,                 2.1962,                 2.2004,                  2.924,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.2427,                 1.8243,                 2.8662,                0.59303,                0.55319,                0.60421,                0.44068,                 2.2394,                 3.1416,                 3.0499,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.2004,                 1.8121,                 2.8226,                0.71652,                0.72055,                0.79156,                0.57122,                 2.0499,                 1.7271,                 2.8101,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.1571,                 1.7769,                 2.7651,                0.70201,                0.71367,                0.77176,                0.56466,                 2.0472,                 1.9287,                 2.8201,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.1444,                 1.7182,                 2.7785,                0.72369,                0.76682,                0.81713,                0.59498,                  2.048,                 1.5948,                 2.7728,               0.009703,               0.009703,               0.009703
                     17,                  2.123,                  1.653,                  2.749,                0.71848,                0.76698,                0.82092,                0.60198,                 2.0276,                 1.5703,                 2.7709,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.1137,                 1.6536,                 2.7529,                0.74823,                 0.7902,                0.85284,                0.63412,                 1.9521,                  1.423,                 2.7146,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.1025,                 1.6103,                  2.741,                0.75581,                0.73452,                0.80129,                0.53699,                 2.3622,                 1.7046,                   3.04,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.0832,                 1.5557,                 2.7202,                0.77215,                0.78289,                0.84928,                0.62455,                   1.97,                 1.4449,                 2.7208,              0.0096238,              0.0096238,              0.0096238
                     21,                 2.0418,                 1.5293,                 2.6958,                0.77884,                 0.7945,                0.85134,                0.62824,                 1.9269,                 1.4979,                  2.687,               0.009604,               0.009604,               0.009604
                     22,                 2.0362,                 1.5257,                  2.666,                0.76578,                 0.7773,                0.85454,                0.63092,                 1.9603,                 1.4744,                 2.7105,              0.0095842,              0.0095842,              0.0095842
                     23,                 2.0329,                 1.5389,                  2.679,                0.75289,                0.79378,                0.85255,                0.62521,                 1.9438,                 1.4258,                 2.7159,              0.0095644,              0.0095644,              0.0095644
                     24,                 2.0118,                 1.4971,                 2.6599,                 0.7327,                0.79664,                0.82889,                0.61372,                 1.9437,                 1.5559,                 2.7042,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.9843,                 1.4439,                 2.6385,                0.81708,                0.78676,                0.87903,                0.65178,                 1.9201,                 1.3861,                 2.6667,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.9819,                 1.4577,                 2.6335,                0.81301,                0.78805,                0.88851,                0.66723,                 1.8824,                  1.315,                 2.6365,               0.009505,               0.009505,               0.009505
                     27,                 1.9982,                 1.4272,                 2.6392,                0.77539,                0.85044,                0.88954,                0.66701,                 1.8754,                 1.3289,                 2.6159,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.9569,                 1.3793,                 2.6026,                0.76186,                 0.8046,                0.85507,                0.62898,                 1.9568,                 1.4914,                 2.7027,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.9577,                 1.3963,                 2.6105,                0.79775,                 0.8147,                0.88525,                0.67525,                 1.8379,                 1.2918,                 2.6022,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.9043,                 1.3529,                 2.5737,                0.77382,                0.82545,                0.88379,                0.67604,                 1.8362,                 1.3188,                 2.5961,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.9136,                 1.3586,                 2.5726,                0.83155,                0.80435,                0.89193,                0.68211,                 1.8374,                 1.2525,                  2.592,               0.009406,               0.009406,               0.009406
                     32,                 1.9236,                 1.3446,                 2.5793,                0.78383,                 0.8153,                0.87851,                 0.6707,                 1.8349,                 1.3151,                 2.6005,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.9085,                 1.3375,                 2.5671,                0.81087,                0.83128,                0.89775,                0.68969,                 1.8057,                 1.2913,                 2.5701,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.8909,                 1.3325,                 2.5507,                0.82602,                0.80423,                0.89812,                0.67794,                  1.846,                 1.2795,                 2.5824,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.8849,                 1.3156,                 2.5236,                0.81458,                0.84308,                0.90977,                0.69851,                 1.7984,                 1.2132,                 2.5642,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.8445,                 1.2752,                 2.5097,                0.84258,                0.82072,                0.90503,                0.68939,                 1.8316,                 1.2365,                 2.5716,               0.009307,               0.009307,               0.009307
                     37,                 1.8495,                 1.2881,                 2.5113,                 0.8512,                0.80667,                0.90661,                0.69711,                 1.7728,                 1.1985,                 2.5369,              0.0092872,              0.0092872,              0.0092872
                     38,                  1.865,                 1.2992,                 2.5108,                0.83712,                0.82244,                 0.9094,                0.69914,                 1.7638,                 1.2047,                 2.5238,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.8349,                 1.2884,                 2.4803,                0.78575,                0.82803,                0.88814,                0.66513,                 1.9085,                  1.325,                 2.6394,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.8229,                 1.2541,                 2.4959,                0.82992,                0.83706,                0.90671,                0.70091,                 1.7646,                 1.1973,                  2.523,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.8287,                 1.2207,                 2.4811,                 0.8273,                0.84652,                0.91163,                0.70224,                 1.7639,                  1.172,                  2.509,               0.009208,               0.009208,               0.009208
                     42,                  1.795,                 1.2181,                 2.4562,                0.83391,                 0.8246,                0.90873,                0.71449,                 1.6893,                 1.1715,                 2.4669,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.7667,                 1.2359,                 2.4655,                0.84607,                0.84996,                0.92326,                 0.7219,                 1.6949,                 1.1356,                 2.4651,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.7632,                  1.198,                  2.448,                0.85777,                0.82971,                0.91395,                 0.7189,                  1.691,                 1.1439,                 2.4689,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.7484,                 1.1748,                 2.4186,                0.82669,                0.87833,                0.92155,                0.72145,                  1.687,                 1.1194,                 2.4628,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.7577,                 1.2038,                   2.45,                0.83469,                 0.8448,                0.91456,                0.72241,                 1.6733,                 1.1616,                 2.4596,               0.009109,               0.009109,               0.009109
                     47,                 1.7744,                 1.2048,                 2.4636,                0.84816,                0.86212,                0.92816,                0.73022,                 1.6756,                 1.0832,                 2.4398,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.7337,                 1.1568,                 2.4154,                 0.8814,                0.84652,                0.93016,                 0.7333,                 1.6689,                 1.1006,                 2.4433,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.7365,                  1.161,                 2.4359,                0.86122,                0.83921,                0.92394,                0.72819,                 1.6685,                 1.1276,                 2.4564,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.7123,                 1.1651,                 2.4065,                0.86556,                0.84977,                0.92856,                0.73099,                 1.6527,                 1.0878,                 2.4248,              0.0090298,              0.0090298,              0.0090298
                     51,                  1.692,                 1.1068,                 2.3839,                 0.8608,                0.85343,                0.92814,                0.73209,                  1.661,                  1.089,                 2.4407,                0.00901,                0.00901,                0.00901
                     52,                 1.7069,                 1.1493,                  2.405,                0.86031,                0.85784,                0.93058,                0.73736,                 1.6362,                 1.0953,                 2.4258,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.7117,                 1.1293,                 2.3896,                0.88862,                0.85068,                0.93338,                  0.739,                 1.6263,                 1.0774,                 2.4161,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.6731,                 1.1264,                  2.363,                0.84565,                0.84561,                 0.9217,                0.72942,                 1.6308,                 1.1189,                 2.4055,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.6867,                 1.1269,                 2.3892,                0.83692,                0.85039,                0.91212,                0.72366,                  1.662,                 1.1477,                 2.4348,              0.0089308,              0.0089308,              0.0089308
                     56,                  1.674,                 1.1408,                 2.4078,                 0.8677,                0.84305,                0.91729,                0.73134,                 1.6286,                 1.1261,                 2.4045,               0.008911,               0.008911,               0.008911
                     57,                 1.6459,                 1.0782,                  2.345,                0.86988,                0.85641,                0.93283,                0.74665,                  1.582,                 1.0447,                 2.3765,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.6348,                 1.1029,                 2.3574,                0.89329,                 0.8319,                 0.9307,                0.74237,                 1.6071,                  1.053,                 2.3872,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.6593,                 1.0855,                 2.3816,                0.86755,                0.85985,                0.93232,                0.74959,                 1.5876,                 1.0495,                 2.3823,              0.0088516,              0.0088516,              0.0088516
                     60,                  1.622,                 1.0712,                 2.3395,                0.87244,                0.86629,                0.93529,                0.75791,                 1.5745,                 1.0458,                 2.3663,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.6145,                 1.0603,                 2.3371,                 0.8693,                0.85426,                0.92404,                0.74383,                 1.5813,                 1.0863,                 2.3767,               0.008812,               0.008812,               0.008812
                     62,                 1.6267,                   1.07,                 2.3411,                 0.8649,                0.85046,                0.92513,                0.74939,                 1.5532,                 1.0825,                  2.369,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.5923,                  1.033,                 2.3049,                0.86432,                0.87095,                0.93611,                0.75299,                  1.575,                 1.0436,                 2.3681,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.6146,                 1.0446,                 2.3375,                0.86165,                0.85383,                0.92659,                0.74871,                 1.5675,                 1.0967,                 2.3651,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.5946,                 1.0559,                 2.3015,                0.85272,                0.88521,                0.93584,                0.75779,                  1.546,                 1.0392,                 2.3382,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.6105,                 1.0283,                 2.3222,                0.88223,                0.88244,                0.94096,                0.75734,                 1.5385,                 1.0157,                 2.3331,               0.008713,               0.008713,               0.008713
                     67,                  1.591,                 0.9999,                 2.2896,                0.86185,                0.87661,                0.93706,                0.76149,                 1.5417,                 1.0129,                 2.3454,              0.0086932,              0.0086932,              0.0086932
                     68,                  1.572,                 1.0094,                 2.3076,                0.89485,                0.85618,                0.93836,                0.76886,                 1.5057,                 1.0491,                 2.3129,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.5446,                0.98566,                 2.2713,                0.85785,                0.88392,                0.94097,                0.76389,                 1.5356,                0.99706,                 2.3382,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.5537,                0.98833,                 2.2631,                0.88172,                0.86208,                0.93729,                0.75948,                 1.5261,                 1.0293,                 2.3184,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.5488,                 0.9772,                 2.2596,                0.85181,                0.89166,                0.93237,                0.76376,                  1.503,                 1.0074,                 2.3181,               0.008614,               0.008614,               0.008614
                     72,                  1.545,                0.97309,                 2.2906,                0.89775,                0.86758,                0.94253,                0.77122,                 1.5078,                0.96975,                 2.3146,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.5353,                0.97053,                 2.2516,                0.88554,                0.87704,                0.94229,                0.77672,                 1.4739,                0.95652,                  2.294,              0.0085744,              0.0085744,              0.0085744
