                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.929,                 7.2032,                 4.3177,                0.00021,                0.01763,                0.00011,                  3e-05,                 2.7532,                 5.8942,                 4.3547,              0.0033197,              0.0033197,              0.0033197
                      2,                 2.5599,                   5.04,                 3.6303,                0.28574,                0.29192,                0.21658,                0.08438,                 2.1769,                 9.9154,                 3.2648,              0.0066399,              0.0066399,              0.0066399
                      3,                 1.9621,                 2.9899,                 2.6741,                0.40832,                0.44368,                0.33861,                 0.1914,                 1.6451,                 3.8725,                 2.3552,              0.0099468,              0.0099468,              0.0099468
                      4,                 1.6424,                 2.0839,                 2.2048,                0.55538,                0.65219,                 0.6187,                 0.3745,                 1.4369,                 1.8129,                 1.9801,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4582,                 1.5776,                 1.9698,                0.63211,                0.69046,                0.71007,                0.45602,                 1.2811,                 1.6645,                 1.8197,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.3268,                 1.3847,                 1.8276,                0.57041,                0.70163,                0.65591,                0.44443,                 1.1737,                 1.8276,                 1.7252,               0.009901,               0.009901,               0.009901
                      7,                 1.2648,                 1.2654,                 1.7629,                0.68935,                0.73861,                0.77308,                 0.5146,                 1.1653,                 1.3547,                 1.6693,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.2174,                 1.1735,                 1.6947,                0.61583,                0.76612,                0.70254,                0.46918,                 1.1444,                 1.1402,                 1.6687,              0.0098614,              0.0098614,              0.0098614
                      9,                  1.164,                 1.0923,                  1.627,                0.74242,                0.73431,                0.81366,                0.57816,                 1.0602,                0.96399,                 1.5701,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.1255,                 1.0134,                  1.596,                0.66729,                0.65907,                0.70452,                0.46606,                 1.2274,                 1.2392,                  1.747,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.1158,                0.97423,                 1.5869,                0.73856,                0.78457,                0.84055,                0.59933,                 1.0337,                0.91291,                 1.5359,               0.009802,               0.009802,               0.009802
                     12,                 1.0944,                0.93556,                 1.5603,                0.63322,                0.67025,                0.70656,                0.44865,                 1.2615,                 1.3279,                 1.7884,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.0711,                 0.9093,                 1.5433,                0.76635,                0.75582,                0.84295,                0.60845,                 1.0265,                 0.8864,                 1.5234,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.0542,                 0.8913,                 1.5226,                0.72924,                0.74033,                0.80688,                0.57937,                 1.0578,                0.95254,                 1.5686,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.0422,                0.88163,                 1.5109,                0.77881,                0.76913,                0.85596,                0.62651,                0.98008,                0.84117,                 1.4838,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.0378,                0.86059,                 1.5032,                0.75551,                0.78031,                0.85005,                0.62532,                0.97736,                0.84846,                 1.4731,               0.009703,               0.009703,               0.009703
                     17,                 1.0197,                0.83299,                  1.486,                0.72703,                0.76259,                0.82243,                0.57034,                 1.0615,                0.94414,                 1.5819,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0185,                0.83215,                 1.4842,                0.74615,                0.82373,                0.86944,                0.65255,                0.95648,                  0.793,                 1.4456,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0127,                0.81665,                 1.4816,                0.76707,                0.81341,                0.86401,                0.62286,                0.99028,                0.82326,                  1.504,              0.0096436,              0.0096436,              0.0096436
