                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9381,                  7.401,                  4.369,                0.00016,                0.01333,                  8e-05,                  2e-05,                 2.7864,                 5.9395,                 4.1583,              0.0033197,              0.0033197,              0.0033197
                      2,                 2.9249,                 6.2521,                 4.1651,                0.11141,                0.16251,                0.05877,                0.01514,                 2.5304,                 4.2432,                 3.9294,              0.0066399,              0.0066399,              0.0066399
                      3,                 2.2987,                 3.7462,                  3.218,                 0.4032,                0.44846,                0.36699,                0.17661,                 1.8433,                 2.3019,                 2.7006,              0.0099468,              0.0099468,              0.0099468
                      4,                 1.8589,                 2.4989,                 2.5364,                0.53404,                0.54054,                0.55693,                0.31222,                 1.6134,                 2.2424,                 2.2394,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6036,                 1.7783,                 2.2171,                0.60895,                0.68874,                 0.6822,                0.41824,                 1.3689,                  1.647,                 2.0387,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.3992,                  1.514,                 1.9747,                0.67178,                 0.7012,                0.75095,                0.50424,                 1.2052,                 1.3135,                 1.8307,               0.009901,               0.009901,               0.009901
                      7,                 1.3193,                  1.325,                 1.8882,                0.64234,                0.75021,                0.75512,                 0.5186,                 1.1531,                 1.1475,                 1.7338,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.2368,                 1.2435,                 1.7873,                0.57555,                0.70249,                0.63191,                 0.3749,                 1.3689,                 1.3344,                 2.0387,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.1885,                 1.1615,                 1.7341,                0.63229,                0.71931,                 0.7075,                0.47643,                 1.1442,                 1.2047,                 1.7782,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.1548,                 1.0713,                 1.6957,                0.68712,                0.73947,                0.77692,                0.51915,                 1.1771,                 1.3283,                 1.8065,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.1304,                 1.0153,                 1.6713,                 0.7031,                0.76956,                0.81586,                0.58009,                  1.065,                0.94583,                 1.6378,               0.009802,               0.009802,               0.009802
                     12,                 1.1087,                0.99201,                 1.6265,                0.67571,                0.74076,                0.77178,                0.54528,                 1.0492,                 1.1016,                  1.625,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.0845,                0.94621,                  1.613,                0.74103,                0.76273,                 0.8338,                0.59377,                 1.0443,                0.92377,                 1.6201,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.0713,                0.92679,                 1.5966,                0.74913,                0.78633,                0.85058,                0.61879,                0.99577,                0.93567,                 1.5574,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.0544,                0.91634,                 1.5737,                0.73428,                0.78504,                0.83865,                 0.6155,                 1.0128,                0.91724,                 1.5853,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.0424,                0.89283,                 1.5644,                0.74065,                0.73173,                0.81346,                0.57979,                 1.0418,                0.97716,                 1.6301,               0.009703,               0.009703,               0.009703
                     17,                 1.0236,                0.85827,                 1.5542,                0.81524,                0.77966,                0.88143,                0.65408,                0.97795,                0.79458,                 1.5365,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0276,                0.85331,                 1.5518,                0.77043,                0.80508,                 0.8616,                0.63071,                 1.0071,                0.82353,                 1.5905,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0195,                0.83967,                 1.5459,                0.67569,                 0.7184,                0.75405,                0.51823,                  1.182,                 1.0933,                 1.7709,              0.0096436,              0.0096436,              0.0096436
                     20,                0.99614,                 0.8223,                 1.5261,                  0.805,                0.75021,                0.85648,                0.62783,                0.98771,                 0.8443,                 1.5478,              0.0096238,              0.0096238,              0.0096238
                     21,                0.98703,                 0.8068,                 1.5033,                0.75455,                0.80489,                0.86201,                0.62696,                0.98323,                0.86067,                 1.5366,               0.009604,               0.009604,               0.009604
                     22,                0.97874,                0.79423,                  1.489,                0.74283,                0.82846,                0.85814,                0.62943,                0.97263,                0.90268,                 1.5034,              0.0095842,              0.0095842,              0.0095842
                     23,                0.98199,                0.79839,                 1.5034,                0.78964,                0.75623,                0.84864,                0.63075,                0.98973,                0.85071,                 1.5761,              0.0095644,              0.0095644,              0.0095644
                     24,                0.97752,                0.78506,                 1.4919,                0.78383,                0.81218,                0.87646,                0.64051,                0.97916,                0.78186,                  1.535,              0.0095446,              0.0095446,              0.0095446
                     25,                0.95856,                0.76287,                 1.4851,                0.79846,                0.84314,                0.90776,                0.68314,                0.93299,                 0.7246,                 1.4875,              0.0095248,              0.0095248,              0.0095248
                     26,                0.94689,                0.75568,                 1.4648,                0.83493,                0.81548,                 0.9113,                0.68784,                0.91978,                0.73264,                 1.4643,               0.009505,               0.009505,               0.009505
                     27,                0.95816,                0.75496,                 1.4698,                0.83307,                0.83461,                0.91016,                0.69621,                0.91118,                0.68659,                 1.4506,              0.0094852,              0.0094852,              0.0094852
                     28,                0.94378,                0.73017,                 1.4604,                0.78887,                0.83061,                0.89354,                0.67747,                0.92477,                0.74652,                  1.459,              0.0094654,              0.0094654,              0.0094654
                     29,                 0.9396,                0.72658,                  1.456,                0.82543,                0.82373,                0.90264,                0.69074,                0.90211,                0.69789,                 1.4332,              0.0094456,              0.0094456,              0.0094456
                     30,                0.92791,                0.70854,                 1.4385,                0.83995,                0.83708,                0.91742,                0.70113,                 0.8913,                0.68036,                 1.4123,              0.0094258,              0.0094258,              0.0094258
                     31,                0.92413,                 0.7088,                 1.4371,                0.83613,                0.85994,                0.91645,                0.70616,                0.89256,                0.66423,                 1.4294,               0.009406,               0.009406,               0.009406
                     32,                0.92057,                0.69847,                 1.4293,                0.83141,                0.82932,                0.90167,                0.69525,                0.88566,                0.70328,                 1.4308,              0.0093862,              0.0093862,              0.0093862
                     33,                 0.9123,                0.69905,                 1.4193,                0.86043,                0.84996,                0.92578,                 0.7205,                0.87651,                0.65048,                 1.4143,              0.0093664,              0.0093664,              0.0093664
                     34,                 0.9073,                0.70834,                 1.4162,                0.85808,                0.84093,                0.92075,                0.70686,                0.89287,                0.66703,                 1.4458,              0.0093466,              0.0093466,              0.0093466
                     35,                0.91119,                0.69631,                 1.4248,                 0.8181,                0.85849,                 0.9077,                0.70474,                0.85987,                0.66862,                 1.4176,              0.0093268,              0.0093268,              0.0093268
