                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.7901,                 22.213,                 8.1054,                0.22855,                0.25623,                 0.1524,                0.04778,                 4.7458,                 7.6388,                 6.3765,              0.0033197,              0.0033197,              0.0033197
                      2,                 4.2027,                 6.6498,                 5.2504,                0.38618,                0.41488,                0.33994,                0.14006,                 3.7021,                 4.6861,                 4.7859,              0.0066399,              0.0066399,              0.0066399
                      3,                 3.4775,                 4.5029,                 4.1842,                 0.4942,                0.52424,                0.50456,                 0.2851,                 3.0532,                  3.394,                 3.8458,              0.0099468,              0.0099468,              0.0099468
                      4,                 3.1852,                 3.4975,                 3.7896,                0.51365,                0.52623,                 0.5171,                0.32226,                 2.7965,                 2.9014,                 3.5202,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.8617,                 2.9124,                  3.477,                0.58825,                0.59028,                0.63526,                 0.4249,                 2.4935,                 2.5311,                 3.2842,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.6656,                 2.6203,                 3.2662,                0.58173,                0.64996,                0.64294,                0.42571,                 2.4744,                 2.4118,                 3.2432,               0.009901,               0.009901,               0.009901
                      7,                 2.5903,                 2.4066,                 3.2098,                0.48636,                0.40669,                0.40092,                0.25579,                  2.985,                 4.7039,                 3.7303,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.4968,                 2.2642,                 3.0897,                0.57382,                0.65907,                0.64541,                0.43612,                 2.3044,                 2.1685,                 3.0716,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.3979,                 2.1241,                 2.9738,                0.56307,                0.61737,                 0.6033,                0.40174,                 2.4937,                 2.9349,                 3.2163,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.3447,                 2.0182,                 2.9515,                0.44314,                0.39295,                0.33978,                0.17681,                 3.7281,                 4.2445,                 4.1338,              0.0098218,              0.0098218,              0.0098218
