                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9271,                 7.2414,                  4.346,                0.00132,                0.00043,                  8e-05,                  2e-05,                 2.7088,                 6.0393,                 4.3747,              0.0033197,              0.0033197,              0.0033197
                      2,                 2.6533,                 5.3597,                 3.8493,                0.36637,                0.28463,                0.24816,                0.08808,                 2.2758,                 3.1796,                 3.3132,              0.0066399,              0.0066399,              0.0066399
                      3,                 2.0576,                 3.2247,                 2.8694,                0.25426,                0.36672,                0.22009,                0.11827,                 1.6552,                 4.5196,                 2.5053,              0.0099468,              0.0099468,              0.0099468
                      4,                  1.714,                 2.2741,                 2.3971,                0.59272,                   0.59,                0.61077,                0.34353,                 1.5051,                 1.6888,                  2.157,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5363,                 1.7472,                 2.1617,                 0.5782,                0.63353,                0.62547,                0.38869,                  1.328,                 1.7995,                 1.9629,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.4091,                  1.542,                 2.0068,                0.61605,                0.68844,                0.68756,                0.44259,                 1.2603,                 1.4392,                 1.9101,               0.009901,               0.009901,               0.009901
                      7,                 1.3352,                 1.3806,                 1.9447,                0.67662,                0.69534,                0.72949,                0.48248,                 1.2816,                 1.4569,                 1.8701,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.2771,                 1.3003,                 1.8511,                0.66962,                0.75021,                0.75177,                0.51077,                 1.1448,                 1.1534,                 1.7979,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.2255,                 1.2146,                 1.7896,                0.63574,                0.64981,                0.68564,                0.44855,                 1.2103,                 1.3007,                 1.8292,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.1878,                 1.1354,                  1.744,                0.71604,                0.74334,                0.80124,                 0.5548,                 1.1016,                 1.0759,                 1.7134,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.1605,                 1.0841,                 1.7069,                0.63361,                0.64961,                0.67875,                0.45027,                 1.2645,                 1.4132,                 1.8665,               0.009802,               0.009802,               0.009802
