                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.6663,                 29.052,                 8.4326,                  1e-05,                0.00043,                      0,                      0,                 8.0531,                 15.318,                 8.3863,              0.0033062,              0.0033062,              0.0033062
                      2,                 5.1683,                 10.008,                 6.3525,                0.34851,                0.14397,                0.17305,                0.07546,                 4.1081,                 5.6932,                 5.3995,              0.0066264,              0.0066264,              0.0066264
                      3,                 3.9172,                 5.1687,                 4.6427,                0.41105,                0.41187,                0.37769,                0.19181,                 3.6023,                 3.7888,                   4.45,              0.0099334,              0.0099334,              0.0099334
                      4,                 3.3531,                 3.7036,                 3.9426,                0.46232,                0.48353,                0.46473,                0.28179,                 2.9486,                 4.4601,                 3.8066,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.9798,                  2.991,                 3.5589,                0.52986,                0.56191,                0.56699,                0.35179,                 2.7517,                 2.7656,                 3.5921,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.8032,                 2.6209,                 3.3774,                0.59707,                0.62898,                0.63807,                0.42831,                 2.4399,                 2.4486,                 3.1861,               0.009901,               0.009901,               0.009901
                      7,                 2.6163,                 2.4226,                 3.2306,                0.58673,                0.67326,                0.64449,                0.43343,                 2.4575,                 2.1596,                 3.1756,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.5139,                 2.2455,                 3.0951,                 0.6017,                0.63027,                0.63181,                0.40885,                 2.5941,                 2.3795,                 3.3266,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.4514,                 2.1256,                  3.002,                0.59067,                0.67541,                0.66658,                0.46423,                 2.3132,                  2.122,                 3.0619,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.4178,                 1.9735,                 2.9867,                0.67831,                0.67627,                0.74587,                0.51775,                 2.2674,                 2.0227,                 2.9915,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.3466,                 1.9183,                 2.9387,                0.64028,                0.67326,                0.70503,                0.48209,                 2.3456,                  2.017,                 3.0371,               0.009802,               0.009802,               0.009802
