                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.122,                 5.6648,                 2.8094,                0.59139,                0.59759,                0.59177,                0.25816,                 2.0314,                 1.7768,                 1.7615,              0.0033265,              0.0033265,              0.0033265
                      2,                 1.7555,                 1.6602,                  1.559,                0.66522,                 0.6681,                0.69802,                0.38062,                 1.5633,                 1.8204,                 1.3872,              0.0066467,              0.0066467,              0.0066467
                      3,                 1.5987,                 1.4463,                 1.3926,                0.61524,                0.62339,                0.66204,                0.36499,                 1.5081,                 1.3946,                 1.3242,              0.0099536,              0.0099536,              0.0099536
                      4,                 1.4899,                 1.2721,                 1.2884,                 0.6754,                0.71116,                0.76326,                0.45963,                 1.3219,                 1.1191,                 1.1952,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.3632,                 1.1429,                 1.2015,                0.73883,                0.72356,                0.80111,                0.51398,                 1.2216,                 1.0119,                  1.149,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.2838,                 1.0956,                 1.1626,                 0.6179,                0.64746,                0.68991,                0.45977,                  1.194,                 1.1915,                 1.1243,               0.009901,               0.009901,               0.009901
                      7,                 1.2227,                 1.0139,                 1.1368,                0.73091,                0.76488,                0.82613,                0.55488,                 1.1247,                0.92208,                 1.0929,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.1901,                 0.9694,                 1.1189,                0.75431,                 0.7558,                0.83326,                0.57141,                 1.0883,                0.92356,                 1.0685,              0.0098614,              0.0098614,              0.0098614
                      9,                  1.166,                0.93154,                 1.0997,                0.73361,                0.80181,                 0.8319,                0.57271,                 1.0693,                 0.9872,                 1.0632,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.1397,                0.90116,                 1.0918,                  0.747,                0.76225,                0.83038,                0.58385,                 1.0545,                0.87585,                 1.0653,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.1016,                 0.8694,                 1.0664,                0.70811,                 0.7718,                0.81932,                 0.5563,                 1.1035,                 1.0238,                 1.0674,               0.009802,               0.009802,               0.009802
                     12,                 1.1016,                0.85682,                 1.0745,                0.76525,                0.78762,                0.84573,                0.59878,                 1.0294,                0.83545,                 1.0402,              0.0097822,              0.0097822,              0.0097822
                     13,                  1.072,                0.84938,                 1.0545,                0.70659,                0.78117,                0.81754,                0.58877,                 1.0247,                0.89809,                 1.0326,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.0686,                0.83035,                 1.0507,                0.76885,                0.80795,                 0.8693,                0.63092,                0.98268,                0.77008,                 1.0188,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.0507,                0.81789,                 1.0455,                0.78036,                0.80868,                0.87381,                0.64202,                 0.9596,                0.75379,                 1.0076,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.0412,                0.79418,                 1.0488,                0.78635,                0.80396,                  0.869,                0.62904,                 0.9874,                 0.7662,                 1.0201,               0.009703,               0.009703,               0.009703
                     17,                 1.0383,                0.78922,                 1.0405,                0.76752,                0.83319,                0.87798,                0.64256,                0.97055,                0.75683,                 1.0107,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0209,                0.79037,                 1.0386,                0.78518,                0.82201,                 0.8844,                0.64552,                0.94899,                 0.7374,                 1.0044,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0112,                0.76504,                 1.0346,                0.81713,                0.80686,                0.88797,                0.65122,                0.94708,                0.73074,                 1.0026,              0.0096436,              0.0096436,              0.0096436
                     20,                0.99572,                0.75717,                  1.019,                0.79175,                0.78619,                0.87425,                 0.6296,                0.97704,                0.77218,                 1.0064,              0.0096238,              0.0096238,              0.0096238
                     21,                0.98181,                 0.7533,                 1.0189,                0.82877,                0.81298,                0.89667,                0.66481,                0.92495,                0.70772,                0.99691,               0.009604,               0.009604,               0.009604
                     22,                0.98063,                0.74184,                 1.0136,                  0.819,                0.79757,                0.88871,                0.66545,                0.91704,                0.70409,                0.99356,              0.0095842,              0.0095842,              0.0095842
                     23,                 0.9789,                0.72995,                 1.0178,                0.83044,                0.83169,                0.90603,                0.67128,                0.93312,                0.67562,                0.98743,              0.0095644,              0.0095644,              0.0095644
                     24,                0.96844,                0.72705,                 1.0133,                0.82599,                 0.8276,                0.89836,                0.66722,                0.92833,                0.67468,                0.99224,              0.0095446,              0.0095446,              0.0095446
