                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5672,                 6.4479,                 4.0598,                  2e-05,                0.00172,                  1e-05,                      0,                 4.0215,                 5.0083,                 4.1522,              0.0033062,              0.0033062,              0.0033062
                      2,                  2.329,                 3.1919,                 2.8298,                0.45528,                0.37371,                0.35817,                0.14026,                 2.1684,                 2.5433,                 2.5759,              0.0066264,              0.0066264,              0.0066264
                      3,                 1.8145,                 2.1227,                 2.1717,                0.55088,                 0.5589,                0.54827,                0.26263,                 1.8619,                 2.1219,                  2.287,              0.0099334,              0.0099334,              0.0099334
                      4,                 1.5792,                 1.6733,                 1.8913,                0.58285,                0.61693,                0.60795,                0.34267,                 1.5042,                 2.0861,                  1.872,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4287,                 1.3764,                 1.7229,                0.38322,                 0.3176,                0.24754,                0.14486,                   1.78,                 2.7277,                 2.1244,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.3348,                 1.2242,                 1.6379,                 0.6334,                0.73091,                0.72701,                0.48036,                 1.2344,                  1.321,                 1.6021,               0.009901,               0.009901,               0.009901
                      7,                 1.2828,                 1.1356,                 1.5944,                  0.646,                0.73173,                0.74459,                 0.5069,                 1.1579,                 1.3071,                 1.5267,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.2285,                 1.0588,                 1.5271,                0.63349,                0.75279,                 0.7597,                0.50379,                 1.2147,                 1.3988,                 1.5671,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.2088,                 1.0374,                 1.4929,                0.58976,                0.57266,                 0.5719,                0.35653,                 1.4884,                 1.8255,                 1.8037,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.1846,                0.97674,                 1.4805,                0.65781,                0.77472,                 0.7778,                0.53715,                 1.1401,                 1.0396,                 1.5046,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.1502,                0.94828,                 1.4564,                0.67667,                0.76298,                 0.7808,                0.54106,                 1.1249,                0.97674,                 1.4915,               0.009802,               0.009802,               0.009802
                     12,                 1.1319,                0.92985,                 1.4431,                0.62073,                0.69518,                0.70771,                0.44575,                 1.3503,                 1.1277,                 1.6691,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.1109,                0.89996,                 1.4262,                0.75192,                0.68674,                0.79186,                0.53901,                 1.1468,                0.98059,                  1.499,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.0972,                0.88256,                   1.42,                0.70081,                0.81771,                0.84213,                0.60255,                 1.0592,                0.94588,                 1.4279,              0.0097426,              0.0097426,              0.0097426
                     15,                   1.09,                0.86511,                 1.4153,                0.64624,                0.72872,                0.74339,                 0.4885,                 1.2061,                 1.0672,                 1.5509,              0.0097228,              0.0097228,              0.0097228
                     16,                  1.072,                0.84533,                 1.3872,                0.74048,                0.76096,                0.81386,                0.59529,                 1.0239,                0.89026,                 1.3989,               0.009703,               0.009703,               0.009703
                     17,                 1.0616,                 0.8199,                  1.378,                0.65466,                0.69819,                0.72416,                0.44336,                 1.4463,                 1.2003,                 1.7261,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0449,                0.80073,                 1.3777,                0.73342,                0.77946,                0.83467,                0.61206,                 1.0187,                0.82552,                 1.3775,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0416,                0.78485,                 1.3659,                0.67485,                0.63414,                0.70318,                0.47203,                 1.1569,                  1.305,                 1.5058,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.0318,                0.78643,                 1.3536,                0.78851,                0.79106,                0.86746,                0.63498,                 1.0011,                0.79373,                 1.3768,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.0295,                0.77228,                 1.3522,                0.78232,                0.78031,                0.86069,                0.64203,                 0.9747,                 0.7921,                 1.3596,               0.009604,               0.009604,               0.009604
                     22,                 1.0123,                0.75537,                 1.3461,                0.77566,                 0.8012,                0.87414,                0.65232,                0.96367,                0.75313,                 1.3473,              0.0095842,              0.0095842,              0.0095842
