                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9647,                 7.8271,                 4.2609,                 0.0003,                0.02537,                0.00015,                  3e-05,                 3.6498,                 7.4302,                 4.4068,              0.0033197,              0.0033197,              0.0033197
                      2,                 3.2878,                 6.5109,                 3.8689,                0.00602,                0.24979,                 0.0039,                0.00147,                 2.6662,                 60.803,                 3.5253,              0.0066399,              0.0066399,              0.0066399
                      3,                 2.1551,                 2.7494,                 2.4886,                0.56591,                0.54428,                0.54284,                0.28691,                 1.7216,                 1.7567,                 2.1287,              0.0099468,              0.0099468,              0.0099468
                      4,                 1.6665,                 1.8002,                 1.9694,                0.63661,                0.60963,                0.64558,                   0.38,                 1.4698,                 2.4538,                 1.8913,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4918,                 1.4796,                 1.7919,                0.63585,                0.62457,                0.66635,                0.41891,                 1.3498,                  1.499,                 1.6823,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.3687,                 1.3283,                 1.6642,                0.41425,                0.36156,                0.30698,                 0.1931,                 1.5592,                 2.7018,                 1.9581,               0.009901,               0.009901,               0.009901
                      7,                 1.3228,                 1.2503,                  1.634,                0.65867,                0.72915,                0.74049,                0.48224,                 1.2474,                 1.1408,                 1.5897,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.2623,                 1.1963,                 1.5655,                0.62217,                0.64832,                0.67616,                0.46498,                 1.1988,                 1.3835,                 1.5677,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.2258,                 1.1199,                 1.5108,                0.64362,                0.70249,                0.72903,                0.48918,                 1.1793,                  1.207,                 1.5177,              0.0098416,              0.0098416,              0.0098416
                     10,                  1.199,                 1.0584,                 1.4996,                0.68005,                0.76311,                0.79473,                0.53481,                 1.1527,                 1.0969,                 1.5297,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.1703,                 1.0122,                 1.4735,                0.69549,                0.74377,                0.78851,                0.55096,                 1.0995,                0.96866,                 1.4596,               0.009802,               0.009802,               0.009802
                     12,                  1.163,                 1.0038,                 1.4648,                0.66636,                0.71614,                0.74927,                 0.5103,                 1.1007,                 1.1325,                 1.4621,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.1396,                0.97419,                 1.4452,                0.75109,                0.78074,                 0.8308,                  0.589,                 1.0556,                 0.8981,                 1.4187,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.1271,                 0.9475,                  1.432,                0.75815,                0.77764,                0.84316,                0.59465,                 1.0712,                0.91602,                 1.4342,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.1183,                0.93294,                  1.414,                0.71209,                0.75709,                0.80065,                0.57858,                 1.0536,                0.97779,                 1.4235,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.0914,                0.93505,                 1.4069,                0.66339,                0.70593,                0.73262,                0.51056,                  1.127,                 1.2399,                 1.4841,               0.009703,               0.009703,               0.009703
                     17,                 1.0811,                0.88268,                 1.3912,                0.75313,                0.78561,                0.85041,                 0.6069,                 1.0299,                0.86753,                 1.3911,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0761,                0.87215,                 1.3974,                0.77903,                0.79063,                0.86859,                0.62723,                 1.0028,                0.79823,                  1.381,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0676,                0.87593,                 1.3903,                0.73022,                0.76221,                0.82658,                0.54302,                 1.1687,                0.96737,                 1.4864,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.0497,                0.83944,                 1.3704,                0.78939,                0.80095,                 0.8739,                0.62995,                 1.0062,                0.79908,                 1.3734,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.0319,                0.82529,                 1.3594,                0.75711,                0.81427,                0.85479,                0.61854,                0.99002,                0.82889,                 1.3774,               0.009604,               0.009604,               0.009604
                     22,                 1.0368,                0.82814,                 1.3471,                0.76469,                0.80095,                0.86177,                0.62494,                0.99764,                 0.8175,                 1.3626,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.0406,                0.82466,                 1.3621,                0.80779,                0.80353,                0.88515,                0.64442,                0.98264,                0.78036,                  1.363,              0.0095644,              0.0095644,              0.0095644
                     24,                  1.032,                0.81498,                 1.3521,                0.79721,                0.80911,                 0.8825,                0.64757,                0.96403,                0.75781,                   1.34,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.0204,                0.77905,                 1.3472,                 0.8057,                0.78848,                0.87416,                0.63462,                0.99592,                0.78632,                 1.3706,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.0041,                0.78172,                 1.3277,                0.79581,                0.80092,                0.88372,                0.65484,                0.94536,                 0.7968,                 1.3279,               0.009505,               0.009505,               0.009505
                     27,                 1.0148,                0.77206,                 1.3416,                0.81808,                0.83018,                0.89732,                0.65858,                0.96687,                0.76375,                 1.3435,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.0071,                0.76893,                 1.3304,                0.80422,                0.80706,                0.88869,                0.65311,                0.96261,                0.76064,                 1.3323,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.0018,                0.76399,                 1.3322,                0.80552,                0.84351,                0.89777,                0.66797,                0.93815,                0.70921,                 1.3154,              0.0094456,              0.0094456,              0.0094456
                     30,                0.98884,                 0.7467,                 1.3175,                0.80611,                0.75071,                0.86183,                0.64588,                0.96239,                0.77049,                 1.3298,              0.0094258,              0.0094258,              0.0094258
                     31,                0.99524,                0.74944,                 1.3184,                0.78743,                0.82373,                0.88825,                0.65408,                0.98534,                0.72094,                 1.3512,               0.009406,               0.009406,               0.009406
                     32,                0.99014,                0.74174,                 1.3105,                0.80149,                0.83104,                0.89779,                0.67114,                0.93175,                0.72122,                 1.3095,              0.0093862,              0.0093862,              0.0093862
                     33,                0.98153,                0.73761,                 1.3078,                0.82715,                0.84351,                0.91153,                0.67772,                 0.9468,                0.68153,                 1.3124,              0.0093664,              0.0093664,              0.0093664
                     34,                0.97522,                 0.7405,                 1.2998,                0.81246,                0.80739,                0.89186,                0.66204,                0.96509,                0.70453,                 1.3372,              0.0093466,              0.0093466,              0.0093466
                     35,                0.96917,                0.72982,                 1.2868,                0.84508,                 0.8208,                0.90791,                0.67108,                0.93846,                0.69119,                 1.3189,              0.0093268,              0.0093268,              0.0093268
                     36,                0.96638,                0.72025,                 1.2932,                0.83778,                0.83319,                0.91054,                0.67484,                0.94547,                0.69974,                 1.3266,               0.009307,               0.009307,               0.009307
                     37,                0.97477,                0.73271,                 1.2956,                0.81781,                0.84566,                0.90274,                0.67179,                 0.9672,                0.70849,                 1.3249,              0.0092872,              0.0092872,              0.0092872
                     38,                0.97286,                0.72438,                 1.2946,                0.84442,                0.81685,                0.90751,                0.67284,                0.92892,                0.71137,                 1.3057,              0.0092674,              0.0092674,              0.0092674
                     39,                 0.9551,                0.71695,                  1.275,                0.83111,                0.80182,                0.89672,                0.67435,                0.92999,                0.69978,                 1.3002,              0.0092476,              0.0092476,              0.0092476
                     40,                0.96252,                0.70949,                 1.2932,                  0.842,                0.84136,                0.91164,                0.68632,                0.92428,                0.66504,                 1.2995,              0.0092278,              0.0092278,              0.0092278
                     41,                0.96272,                0.68726,                 1.2807,                0.84224,                0.85598,                0.92435,                0.69239,                0.92483,                0.65054,                 1.2935,               0.009208,               0.009208,               0.009208
                     42,                 0.9475,                0.68919,                 1.2728,                0.80738,                0.85057,                 0.9124,                0.68477,                 0.9235,                0.67544,                 1.2956,              0.0091882,              0.0091882,              0.0091882
                     43,                 0.9419,                0.70157,                 1.2791,                0.84896,                0.84566,                0.91794,                0.69539,                0.91277,                0.65872,                 1.2865,              0.0091684,              0.0091684,              0.0091684
