                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2647,                 4.7475,                 4.1227,                0.00353,                0.99306,                  0.008,                0.00383,                 2.0118,                 3.6805,                 4.1055,             0.00044299,             0.00044299,             0.00044299
                      2,                  1.688,                 4.2882,                 3.5825,                0.00451,                0.99306,                0.05138,                0.02134,                 1.9558,                 3.5853,                 3.7025,             0.00089849,             0.00089849,             0.00089849
                      3,                 1.3507,                 3.8442,                 2.7757,                0.00557,                0.98493,                0.25622,                0.11769,                 2.2625,                 3.4467,                 3.7043,              0.0013522,              0.0013522,              0.0013522
                      4,                 1.1838,                 3.3722,                 2.3566,                0.38034,                0.34959,                0.35868,                0.19422,                 2.3822,                 3.3615,                 4.3082,              0.0014205,              0.0014205,              0.0014205
                      5,                 1.0007,                 2.8953,                 2.0178,                0.25457,                0.79488,                0.32923,                0.18587,                 2.2294,                 2.4361,                 4.4828,              0.0014177,              0.0014177,              0.0014177
                      6,                0.86083,                 2.5066,                 1.8168,                0.51504,                0.55994,                0.58071,                 0.3731,                 1.4118,                 2.7254,                 3.0341,              0.0014149,              0.0014149,              0.0014149
                      7,                 0.7548,                 2.2627,                  1.661,                0.52941,                0.87469,                0.64106,                0.51711,                 0.8282,                 1.9362,                 1.7351,               0.001412,               0.001412,               0.001412
                      8,                0.66364,                 1.9792,                 1.5245,                0.49408,                0.86256,                0.59482,                0.48533,                0.84683,                 1.7018,                 1.7522,              0.0014092,              0.0014092,              0.0014092
                      9,                0.57963,                 1.8302,                 1.4258,                0.51759,                0.63801,                0.56214,                0.47412,                0.68075,                 1.6822,                 1.4845,              0.0014064,              0.0014064,              0.0014064
                     10,                0.50071,                 1.6725,                 1.3463,                0.51275,                0.58153,                0.53423,                0.46511,                0.67482,                  1.682,                 1.4394,              0.0014035,              0.0014035,              0.0014035
                     11,                 0.4644,                 1.5678,                 1.2688,                0.52859,                0.89454,                0.61667,                0.55971,                0.48147,                 1.3522,                 1.1825,              0.0014007,              0.0014007,              0.0014007
                     12,                0.46049,                 1.4552,                 1.2527,                 0.8773,                0.23404,                0.39236,                 0.3018,                 1.0738,                 2.6021,                 2.0444,              0.0013979,              0.0013979,              0.0013979
                     13,                0.40636,                 1.3702,                 1.1875,                0.55058,                0.76735,                0.64997,                0.59822,                0.43602,                 1.4119,                 1.0904,               0.001395,               0.001395,               0.001395
                     14,                0.38087,                  1.324,                 1.1497,                0.53132,                0.87925,                 0.6323,                0.59724,                0.40098,                 1.1496,                 1.0686,              0.0013922,              0.0013922,              0.0013922
                     15,                0.38456,                 1.2537,                 1.1517,                 0.5163,                0.86653,                0.67975,                0.63785,                0.39874,                 1.1747,                  1.055,              0.0013894,              0.0013894,              0.0013894
                     16,                0.33926,                 1.1512,                  1.112,                0.34529,                0.80272,                0.64571,                0.60574,                 0.4146,                 1.7403,                  1.077,              0.0013866,              0.0013866,              0.0013866
                     17,                0.35617,                 1.1604,                 1.1206,                0.56013,                0.90513,                0.72601,                0.68505,                0.40029,                 1.0131,                 1.0229,              0.0013837,              0.0013837,              0.0013837
                     18,                0.30607,                 1.0647,                 1.0833,                0.53097,                 0.7854,                0.71813,                0.68602,                 0.3291,                 1.0549,                0.93891,              0.0013809,              0.0013809,              0.0013809
                     19,                0.30271,                 1.0796,                 1.0705,                0.61225,                0.82822,                0.77591,                0.74162,                0.33808,                 1.0702,                0.94929,              0.0013781,              0.0013781,              0.0013781
                     20,                0.30292,                 1.0714,                  1.048,                0.63854,                0.84906,                0.79457,                0.76417,                0.32371,                0.95607,                 0.9409,              0.0013752,              0.0013752,              0.0013752
                     21,                0.30632,                 1.0115,                  1.057,                0.61874,                0.86751,                0.83092,                0.80421,                0.31155,                0.89565,                0.91759,              0.0013724,              0.0013724,              0.0013724
                     22,                0.29716,                 1.0448,                 1.0478,                0.57372,                0.90017,                0.72537,                0.71158,                0.29772,                 1.3601,                0.90131,              0.0013696,              0.0013696,              0.0013696
                     23,                0.28691,                0.96376,                 1.0281,                0.64695,                0.56098,                0.64634,                0.57422,                0.45144,                 2.0236,                 1.0543,              0.0013668,              0.0013668,              0.0013668
                     24,                0.28103,                0.92637,                 1.0191,                0.71045,                0.83315,                0.88006,                0.86363,                0.27016,                0.78441,                0.86986,              0.0013639,              0.0013639,              0.0013639
                     25,                0.25183,                0.87023,                 0.9958,                0.64348,                0.88756,                 0.8344,                0.81661,                0.28387,                 1.0754,                0.88126,              0.0013611,              0.0013611,              0.0013611
                     26,                0.27009,                0.89228,                 1.0119,                0.65122,                0.80545,                0.77821,                0.75588,                0.30361,                  0.914,                0.90549,              0.0013583,              0.0013583,              0.0013583
                     27,                0.26891,                0.89825,                 1.0212,                0.59679,                0.88324,                0.77595,                0.76537,                0.27869,                0.92357,                0.87179,              0.0013554,              0.0013554,              0.0013554
                     28,                0.27558,                0.88286,                  1.009,                0.59573,                0.85938,                0.83936,                0.82625,                0.26529,                 1.2292,                0.87067,              0.0013526,              0.0013526,              0.0013526
                     29,                0.25288,                0.84908,                0.99308,                 0.6821,                0.84409,                 0.8203,                0.80933,                  0.256,                 0.7505,                0.85199,              0.0013498,              0.0013498,              0.0013498
                     30,                0.26864,                0.83839,                0.98654,                0.77284,                 0.7866,                0.88467,                0.86358,                 0.2732,                0.86572,                0.86459,              0.0013469,              0.0013469,              0.0013469
                     31,                0.25644,                0.79393,                0.99122,                0.61106,                 0.7937,                0.80456,                0.79152,                0.25656,                0.91055,                 0.8538,              0.0013441,              0.0013441,              0.0013441
                     32,                0.23064,                0.75574,                0.96804,                0.51571,                0.78796,                0.73996,                0.72601,                0.25167,                 1.0885,                0.84191,              0.0013413,              0.0013413,              0.0013413
                     33,                0.24171,                0.74908,                0.96977,                0.60951,                0.86154,                0.85833,                0.83102,                0.26445,                0.94683,                0.85294,              0.0013385,              0.0013385,              0.0013385
                     34,                0.22727,                0.75173,                0.97403,                0.78639,                0.91753,                0.89885,                0.88884,                0.21897,                0.60256,                0.81589,              0.0013356,              0.0013356,              0.0013356
                     35,                0.23353,                0.74877,                0.98061,                0.45352,                0.83333,                0.80889,                0.78916,                0.27237,                 1.2636,                0.85398,              0.0013328,              0.0013328,              0.0013328
                     36,                0.23392,                0.73513,                0.96291,                0.69916,                0.90219,                 0.8858,                0.87137,                0.24153,                 0.9031,                0.82583,                0.00133,                0.00133,                0.00133
                     37,                0.21766,                0.69242,                  0.965,                0.78762,                0.83797,                0.91046,                0.89227,                0.25604,                0.64676,                0.83289,              0.0013271,              0.0013271,              0.0013271
