                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.253,                 4.6436,                 4.0494,                0.00349,                      1,                0.00889,                0.00414,                 2.0389,                 3.6686,                 4.0421,             0.00044299,             0.00044299,             0.00044299
                      2,                 1.5209,                 3.9997,                 3.3539,                0.00526,                 0.9768,                0.14438,                0.05883,                 2.0512,                 3.6081,                 3.8732,             0.00089849,             0.00089849,             0.00089849
                      3,                 1.2613,                 3.4116,                 2.5585,                0.77369,                0.33333,                0.37831,                0.16621,                 2.5235,                 2.8411,                 4.2443,              0.0013522,              0.0013522,              0.0013522
                      4,                 1.1565,                 2.8941,                 2.2308,                0.22492,                0.65962,                0.39685,                0.11182,                 2.3506,                 2.9251,                 4.8516,              0.0014205,              0.0014205,              0.0014205
                      5,                0.94047,                 2.4864,                 1.9795,                0.30045,                0.90157,                0.47889,                0.39659,                0.87851,                 17.131,                 2.0415,              0.0014177,              0.0014177,              0.0014177
                      6,                0.78943,                 2.1109,                  1.753,                0.54206,                0.93169,                0.69151,                0.52206,                 1.1021,                 2.1131,                 2.2044,              0.0014149,              0.0014149,              0.0014149
                      7,                0.75184,                  1.844,                 1.6676,                0.55034,                0.88703,                0.65722,                0.54764,                0.77765,                 2.6889,                 1.7076,               0.001412,               0.001412,               0.001412
                      8,                0.70355,                 1.6585,                 1.5664,                0.47721,                 0.8706,                0.67307,                 0.6062,                0.60877,                 1.6626,                 1.3885,              0.0014092,              0.0014092,              0.0014092
                      9,                0.60162,                 1.5459,                 1.4858,                0.56525,                0.89656,                0.65575,                0.58928,                0.55047,                 2.1406,                 1.2914,              0.0014064,              0.0014064,              0.0014064
                     10,                0.56033,                 1.4121,                 1.4189,                0.51019,                0.91412,                0.68011,                0.61787,                0.51793,                 1.1599,                 1.2933,              0.0014035,              0.0014035,              0.0014035
