                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1989,                 4.2519,                 4.1075,                0.00353,                      1,                0.00517,                0.00241,                 2.0887,                  3.663,                 4.1167,             0.00044299,             0.00044299,             0.00044299
                      2,                  1.572,                 3.6534,                 3.3241,                0.00581,                0.98374,                0.08576,                0.03735,                 2.3926,                 3.7182,                 3.9694,             0.00089849,             0.00089849,             0.00089849
                      3,                 1.3329,                 3.0099,                 2.6029,                0.69071,                0.29078,                0.10801,                0.03049,                 2.5801,                 7.9283,                 6.2195,              0.0013522,              0.0013522,              0.0013522
                      4,                 1.2166,                 2.4647,                 2.2806,                0.41417,                 0.1773,                0.21212,                0.11823,                 2.6829,                 3.5438,                 5.5126,              0.0014205,              0.0014205,              0.0014205
                      5,                 1.0191,                 1.9896,                 2.0226,                0.28018,                0.40357,                0.26313,                0.15801,                 1.9209,                  2.654,                 3.4066,              0.0014177,              0.0014177,              0.0014177
                      6,                0.88215,                 1.6535,                 1.8477,                0.41985,                0.68933,                0.61357,                0.35353,                 1.4608,                 2.0264,                 3.1778,              0.0014149,              0.0014149,              0.0014149
                      7,                0.79608,                 1.4173,                 1.7343,                0.51047,                 0.9071,                0.62061,                0.50795,                0.86777,                 1.4721,                 1.7396,               0.001412,               0.001412,               0.001412
                      8,                0.75634,                 1.2963,                 1.6413,                0.46919,                0.81763,                0.58004,                0.45251,                0.89638,                 1.3064,                 1.7555,              0.0014092,              0.0014092,              0.0014092
                      9,                0.65875,                 1.2293,                 1.5443,                0.52666,                0.89313,                0.58778,                0.52673,                0.62099,                 1.2708,                 1.4018,              0.0014064,              0.0014064,              0.0014064
                     10,                0.58664,                 1.1479,                 1.4519,                0.88619,                0.29787,                0.42383,                0.32817,                 1.2941,                 2.9414,                 2.2131,              0.0014035,              0.0014035,              0.0014035
                     11,                0.59893,                 1.0963,                 1.4363,                0.47478,                0.88652,                 0.5704,                0.50125,                0.65504,                  1.333,                 1.4242,              0.0014007,              0.0014007,              0.0014007
                     12,                0.55319,                 1.0241,                 1.3946,                0.45366,                0.81544,                0.71689,                0.61709,                0.59674,                 1.3883,                 1.3059,              0.0013979,              0.0013979,              0.0013979
                     13,                0.53726,                 1.0276,                   1.34,                 0.5648,                0.78207,                0.72702,                0.66399,                0.50351,                 1.0025,                 1.2147,               0.001395,               0.001395,               0.001395
                     14,                0.46729,                0.99435,                 1.2672,                0.90435,                0.31724,                0.31706,                  0.271,                 1.7287,                 3.2133,                 2.8748,              0.0013922,              0.0013922,              0.0013922
                     15,                0.44388,                0.99616,                 1.2379,                0.54317,                0.90481,                0.74853,                0.70113,                 0.4317,                0.92393,                 1.1236,              0.0013894,              0.0013894,              0.0013894
                     16,                 0.3879,                0.92576,                 1.1929,                0.89428,                0.31206,                0.43771,                0.29694,                 1.7832,                 3.7771,                   3.31,              0.0013866,              0.0013866,              0.0013866
                     17,                0.40233,                 0.9305,                 1.1902,                0.49954,                  0.837,                0.70785,                0.65474,                 0.4063,                0.94071,                 1.0563,              0.0013837,              0.0013837,              0.0013837
                     18,                0.38062,                0.84681,                 1.1618,                0.48506,                0.78471,                0.66258,                0.62424,                0.40909,                 1.3681,                 1.0571,              0.0013809,              0.0013809,              0.0013809
                     19,                0.35656,                0.85935,                 1.1223,                0.50783,                0.88444,                0.73157,                0.67294,                0.42525,                 1.6561,                 1.0714,              0.0013781,              0.0013781,              0.0013781
                     20,                0.39801,                0.91655,                 1.1512,                0.33628,                0.65676,                0.57589,                0.52879,                0.45119,                  1.912,                 1.0884,              0.0013752,              0.0013752,              0.0013752
                     21,                0.36637,                0.84963,                 1.1206,                 0.7133,                0.84185,                0.89901,                0.82283,                0.42847,                0.77727,                 1.0398,              0.0013724,              0.0013724,              0.0013724
                     22,                0.34245,                 0.8267,                 1.1034,                0.53947,                 0.9078,                0.75922,                0.73172,                0.33808,                 1.2437,                0.95534,              0.0013696,              0.0013696,              0.0013696
                     23,                0.31122,                0.76649,                 1.0616,                0.66134,                0.83598,                 0.8517,                0.79382,                0.39772,                0.83859,                0.99749,              0.0013668,              0.0013668,              0.0013668
                     24,                0.31624,                0.78506,                 1.0649,                0.68062,                0.72594,                0.80535,                0.78103,                0.28856,                 1.0194,                0.88793,              0.0013639,              0.0013639,              0.0013639
                     25,                0.31031,                0.75651,                 1.0628,                0.66074,                0.84522,                0.78584,                0.75235,                0.34651,                0.80681,                0.93566,              0.0013611,              0.0013611,              0.0013611
                     26,                0.30088,                0.75177,                 1.0517,                0.55324,                0.91489,                0.84109,                0.81141,                0.29045,                0.95945,                0.90854,              0.0013583,              0.0013583,              0.0013583
                     27,                0.30275,                0.76515,                 1.0662,                0.59996,                0.82455,                0.87464,                 0.8477,                0.32484,                 1.0373,                0.91258,              0.0013554,              0.0013554,              0.0013554
                     28,                0.34771,                0.74371,                 1.0815,                0.50483,                0.77859,                0.72667,                 0.6811,                0.32121,                 1.4455,                0.91379,              0.0013526,              0.0013526,              0.0013526
                     29,                 0.3291,                0.72437,                 1.0613,                0.83722,                 0.8466,                0.90738,                0.88919,                0.32606,                0.69886,                0.94605,              0.0013498,              0.0013498,              0.0013498
                     30,                0.30967,                0.74751,                 1.0405,                0.67348,                0.93788,                 0.8909,                0.85382,                0.33211,                0.67427,                0.93266,              0.0013469,              0.0013469,              0.0013469
                     31,                 0.2945,                0.71635,                 1.0328,                0.62385,                0.82211,                0.78898,                0.76812,                0.28085,                0.90178,                0.88682,              0.0013441,              0.0013441,              0.0013441
                     32,                 0.2757,                0.67478,                 1.0196,                0.69058,                0.72593,                0.85145,                0.80817,                0.32102,                0.99933,                0.92481,              0.0013413,              0.0013413,              0.0013413
                     33,                0.27346,                0.66857,                 1.0124,                0.61416,                 0.8999,                0.85054,                0.80941,                0.27141,                0.86052,                0.86974,              0.0013385,              0.0013385,              0.0013385
                     34,                0.26121,                0.68749,                 1.0127,                 0.6109,                0.79251,                0.85618,                0.84799,                0.23619,                 1.0383,                0.86029,              0.0013356,              0.0013356,              0.0013356
                     35,                0.24695,                0.67042,                      1,                0.51584,                0.79074,                0.64924,                 0.6344,                0.25402,                 1.0333,                0.85316,              0.0013328,              0.0013328,              0.0013328
                     36,                0.26719,                0.70928,                 0.9949,                0.82821,                0.92731,                0.92332,                0.89969,                0.27173,                0.56608,                0.87679,                0.00133,                0.00133,                0.00133
                     37,                0.25462,                0.64247,                0.99726,                0.55512,                0.44599,                0.66434,                0.65128,                0.30868,                 2.2863,                0.93719,              0.0013271,              0.0013271,              0.0013271
                     38,                0.26467,                0.63519,                 1.0062,                0.71312,                0.87891,                0.89904,                0.86368,                0.29834,                0.73997,                0.89995,              0.0013243,              0.0013243,              0.0013243
                     39,                0.25708,                0.60552,                0.97904,                0.66881,                 0.8791,                0.86861,                0.82661,                 0.3146,                0.97119,                0.88728,              0.0013215,              0.0013215,              0.0013215
                     40,                0.24996,                0.55199,                0.98707,                0.85213,                0.86699,                0.90917,                0.88407,                0.28339,                0.52881,                0.87456,              0.0013187,              0.0013187,              0.0013187
                     41,                0.23537,                0.60537,                0.96698,                0.44656,                 0.6375,                0.70715,                0.67051,                0.42331,                 2.0287,                 1.0253,              0.0013158,              0.0013158,              0.0013158
                     42,                0.24212,                0.63544,                0.96423,                0.79075,                0.80963,                0.86552,                0.84998,                0.26032,                0.72526,                0.85557,               0.001313,               0.001313,               0.001313
                     43,                0.23436,                0.55054,                0.97889,                0.84927,                0.88576,                0.94397,                0.91109,                0.25496,                0.52697,                0.83674,              0.0013102,              0.0013102,              0.0013102
                     44,                0.24446,                0.59414,                0.98095,                0.62367,                0.76402,                0.82462,                 0.8071,                0.26689,                 1.0273,                0.84109,              0.0013073,              0.0013073,              0.0013073
                     45,                 0.2409,                0.56217,                0.97758,                0.56802,                0.69131,                0.67334,                0.59573,                0.34697,                 1.7465,                 0.9077,              0.0013045,              0.0013045,              0.0013045
                     46,                0.23413,                0.56392,                0.96876,                0.52003,                0.75811,                0.78635,                0.76784,                0.25895,                  1.318,                0.85074,              0.0013017,              0.0013017,              0.0013017
                     47,                0.22966,                0.55015,                0.96346,                0.70178,                0.80951,                0.89076,                  0.875,                0.23463,                0.91472,                0.83807,              0.0012988,              0.0012988,              0.0012988
                     48,                0.22264,                0.56171,                0.96758,                0.53792,                 0.8182,                0.72746,                0.71351,                0.28314,                 1.1515,                0.86488,               0.001296,               0.001296,               0.001296
                     49,                0.23665,                0.58283,                0.94425,                0.78406,                0.85076,                0.89135,                0.86187,                 0.2906,                0.67455,                0.87398,              0.0012932,              0.0012932,              0.0012932
                     50,                0.25451,                0.51931,                0.97176,                0.74867,                0.81534,                 0.9067,                0.87837,                 0.2987,                0.84494,                0.87592,              0.0012904,              0.0012904,              0.0012904
                     51,                0.23665,                0.52128,                0.95749,                0.83892,                0.87777,                0.93434,                 0.9303,                0.22412,                 0.5142,                0.81726,              0.0012875,              0.0012875,              0.0012875
                     52,                 0.2255,                0.52031,                0.95149,                0.76632,                0.93128,                0.92974,                0.91706,                0.23587,                0.55471,                0.81777,              0.0012847,              0.0012847,              0.0012847
                     53,                0.23099,                0.53745,                0.96537,                0.64316,                0.91939,                0.86997,                0.85355,                 0.2376,                0.79613,                0.82461,              0.0012819,              0.0012819,              0.0012819
                     54,                 0.2182,                0.53146,                0.94357,                0.64556,                0.77642,                0.87582,                0.86124,                0.24193,                 1.4635,                 0.8205,               0.001279,               0.001279,               0.001279
                     55,                0.21559,                0.48424,                0.96115,                0.66573,                0.81405,                0.80712,                0.79374,                0.25036,                0.93668,                0.82585,              0.0012762,              0.0012762,              0.0012762
                     56,                0.21156,                0.52397,                0.96104,                0.61466,                0.82425,                0.76534,                0.74893,                0.25177,                0.99763,                0.83455,              0.0012734,              0.0012734,              0.0012734
                     57,                0.21136,                0.43875,                0.95025,                0.57335,                0.73821,                0.81668,                0.80919,                0.22577,                 1.3103,                0.82194,              0.0012706,              0.0012706,              0.0012706
                     58,                0.20853,                 0.5442,                 0.9436,                0.41839,                0.70238,                0.73803,                0.72878,                0.30223,                 2.5795,                0.91162,              0.0012677,              0.0012677,              0.0012677
                     59,                0.18714,                0.50035,                 0.9326,                0.66083,                0.83572,                0.85958,                0.83846,                0.23382,                 1.1411,                0.82154,              0.0012649,              0.0012649,              0.0012649
                     60,                0.19686,                0.46221,                0.94489,                0.23908,                0.95537,                0.50561,                0.49711,                0.25702,                 2.9671,                0.84194,              0.0012621,              0.0012621,              0.0012621
                     61,                0.21899,                0.52419,                0.95199,                 0.7252,                0.87608,                 0.9031,                0.89377,                 0.2189,                0.67936,                0.80509,              0.0012592,              0.0012592,              0.0012592
                     62,                0.20734,                0.46143,                0.94323,                0.81932,                0.83019,                0.89257,                0.86468,                 0.2974,                0.62928,                0.87763,              0.0012564,              0.0012564,              0.0012564
                     63,                0.20039,                 0.4873,                0.94142,                0.55762,                0.82218,                0.77189,                0.75863,                  0.251,                 1.1107,                0.84324,              0.0012536,              0.0012536,              0.0012536
                     64,                0.19938,                0.44715,                0.93958,                0.60011,                0.87534,                  0.883,                 0.8737,                0.20325,                 1.0663,                0.79444,              0.0012507,              0.0012507,              0.0012507
                     65,                 0.1997,                0.45381,                 0.9419,                0.63592,                0.78274,                0.85556,                 0.8435,                0.19957,                 1.3069,                0.78128,              0.0012479,              0.0012479,              0.0012479
                     66,                0.19425,                0.43172,                0.93867,                0.89822,                0.87937,                0.96264,                 0.9535,                0.19886,                0.52505,                0.78625,              0.0012451,              0.0012451,              0.0012451
                     67,                0.19716,                0.39837,                0.93865,                0.80427,                0.87795,                0.94408,                0.93699,                0.20888,                0.49311,                 0.8001,              0.0012423,              0.0012423,              0.0012423
                     68,                0.19299,                 0.4059,                0.93066,                 0.8498,                0.87495,                0.91834,                0.89212,                0.26603,                0.52947,                0.85367,              0.0012394,              0.0012394,              0.0012394
                     69,                0.19348,                0.43143,                0.93414,                  0.652,                0.77666,                0.81527,                0.81041,                0.21922,                 1.1113,                0.80604,              0.0012366,              0.0012366,              0.0012366
