                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1838,                 4.1833,                  4.112,                0.00335,                      1,                0.01082,                0.00574,                 2.0732,                 3.6842,                 4.1033,             0.00044299,             0.00044299,             0.00044299
                      2,                 1.6216,                 3.6884,                 3.5229,                0.00482,                0.98493,                0.34306,                0.17102,                 2.2237,                 3.6471,                 3.6173,             0.00089849,             0.00089849,             0.00089849
                      3,                 1.2731,                 3.1385,                 2.6761,                0.67763,                0.33333,                0.36498,                0.13081,                 2.3717,                 4.5371,                 4.0361,              0.0013522,              0.0013522,              0.0013522
                      4,                   1.12,                 2.6562,                 2.2285,                0.00649,                 0.9768,                0.33882,                0.12319,                 2.5537,                 2.9615,                  4.097,              0.0014205,              0.0014205,              0.0014205
                      5,                 0.9482,                 2.2596,                 1.9471,                0.28471,                0.35401,                0.29095,                0.17145,                 2.0084,                 2.9017,                 3.5844,              0.0014177,              0.0014177,              0.0014177
                      6,                0.79544,                 1.9236,                 1.7216,                 0.4263,                0.79499,                0.61502,                0.45023,                 1.0559,                 2.4008,                 2.2867,              0.0014149,              0.0014149,              0.0014149
                      7,                0.70372,                 1.7119,                 1.5792,                0.50974,                0.83492,                0.66838,                 0.5552,                0.77404,                 1.7124,                 1.6089,               0.001412,               0.001412,               0.001412
                      8,                 0.6506,                 1.5526,                 1.4913,                0.44398,                0.90199,                 0.5556,                0.45212,                0.62696,                 2.0383,                 1.4153,              0.0014092,              0.0014092,              0.0014092
                      9,                0.61589,                 1.4088,                 1.4352,                 0.5369,                0.77024,                0.56747,                0.50717,                0.55826,                 1.4137,                 1.2913,              0.0014064,              0.0014064,              0.0014064
                     10,                0.51176,                 1.3486,                 1.3241,                0.44619,                0.90009,                0.65933,                0.58629,                0.57993,                 1.1844,                 1.2889,              0.0014035,              0.0014035,              0.0014035
                     11,                0.49035,                 1.2402,                 1.2778,                0.52643,                0.94579,                 0.6621,                0.61337,                0.43036,                  1.181,                 1.1132,              0.0014007,              0.0014007,              0.0014007
                     12,                0.41835,                 1.1852,                 1.1953,                0.47197,                0.89998,                0.67572,                0.63752,                0.39759,                 1.0753,                 1.0384,              0.0013979,              0.0013979,              0.0013979
                     13,                0.39475,                 1.1045,                 1.1558,                0.52587,                0.83804,                0.73033,                0.69056,                0.38286,                 1.0179,                 1.0316,               0.001395,               0.001395,               0.001395
                     14,                0.37126,                 1.0987,                 1.1198,                0.58566,                0.86018,                0.77831,                0.74383,                0.35118,                 0.9477,                0.98785,              0.0013922,              0.0013922,              0.0013922
                     15,                0.36767,                 1.0614,                 1.1066,                0.46991,                0.86757,                0.71831,                0.68964,                0.35449,                 1.0116,                0.97243,              0.0013894,              0.0013894,              0.0013894
                     16,                0.33405,                0.97495,                 1.0852,                0.55691,                0.82948,                0.75388,                0.70619,                0.37506,                 1.0264,                 0.9939,              0.0013866,              0.0013866,              0.0013866
                     17,                0.33255,                0.96426,                 1.0801,                0.66138,                0.80082,                0.70515,                0.68169,                 0.3549,                 0.9728,                0.99598,              0.0013837,              0.0013837,              0.0013837
                     18,                0.33216,                0.89097,                  1.083,                0.64785,                0.77865,                0.75931,                0.71488,                0.38207,                 1.0855,                0.98745,              0.0013809,              0.0013809,              0.0013809
                     19,                0.33026,                0.86176,                 1.0735,                 0.7326,                0.81798,                0.79981,                0.75672,                0.37724,                0.93452,                0.98266,              0.0013781,              0.0013781,              0.0013781
                     20,                0.29834,                0.89917,                 1.0272,                0.71271,                0.86784,                0.88997,                0.86203,                0.26887,                0.77069,                0.85666,              0.0013752,              0.0013752,              0.0013752
                     21,                 0.2954,                0.87368,                 1.0339,                0.59436,                0.68818,                0.69141,                0.65702,                  0.304,                 1.1422,                0.91175,              0.0013724,              0.0013724,              0.0013724
                     22,                0.31286,                0.87658,                  1.049,                0.63504,                0.76686,                0.77565,                0.75619,                0.29109,                  1.041,                0.88766,              0.0013696,              0.0013696,              0.0013696
                     23,                0.28507,                0.81183,                 1.0157,                0.87484,                0.84667,                0.93167,                0.89165,                0.31407,                 0.6335,                   0.91,              0.0013668,              0.0013668,              0.0013668
                     24,                0.28235,                 0.7823,                 1.0076,                 0.6433,                0.91271,                0.79885,                0.77868,                 0.2707,                 0.7574,                0.86223,              0.0013639,              0.0013639,              0.0013639
                     25,                0.25885,                0.70298,                0.98866,                0.81981,                0.92029,                0.90531,                0.88331,                 0.2653,                0.59488,                0.85826,              0.0013611,              0.0013611,              0.0013611
                     26,                0.30462,                0.74004,                 1.0383,                0.36604,                0.64141,                0.56394,                0.53513,                0.31611,                 2.8428,                0.90582,              0.0013583,              0.0013583,              0.0013583
