                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6216,                   4.46,                 4.2203,                0.00606,                0.47143,                0.00829,                0.00293,                  2.476,                 4.4826,                 4.5204,              0.0033203,              0.0033203,              0.0033203
                      2,                 2.6107,                 4.2938,                 4.0797,                0.03585,                0.07068,                0.01838,                0.00638,                 2.4224,                 5.8236,                  3.564,              0.0066404,              0.0066404,              0.0066404
                      3,                 2.4865,                 3.6818,                 3.3476,                0.66071,                0.15869,                0.19107,                0.07787,                 2.1997,                 3.2877,                 2.9932,              0.0099474,              0.0099474,              0.0099474
                      4,                 2.1685,                 3.1691,                 2.8603,                0.45056,                0.26359,                0.22796,                0.11563,                 1.9682,                 2.8607,                 2.6637,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9418,                 2.8307,                 2.6142,                0.66334,                0.29389,                0.30047,                0.15686,                 1.8294,                 2.6882,                  2.529,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.8153,                 2.6274,                 2.4766,                 0.4487,                 0.3625,                 0.3417,                0.18597,                 1.7681,                 2.5658,                 2.4351,               0.009901,               0.009901,               0.009901
                      7,                 1.7178,                 2.4708,                 2.3704,                0.43572,                 0.4101,                0.39056,                0.22069,                 1.6766,                 2.3115,                 2.3391,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.6396,                 2.3334,                 2.2956,                0.44177,                0.43099,                0.42353,                0.26599,                 1.5335,                 2.1919,                 2.1782,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.5583,                  2.204,                 2.2035,                0.48904,                0.44475,                0.44434,                0.28458,                 1.4741,                 2.0966,                 2.1116,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.5084,                 2.1082,                 2.1485,                0.48657,                0.45844,                0.45289,                0.28633,                 1.4852,                  2.082,                 2.0936,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.4616,                 2.0448,                 2.0999,                0.59699,                0.44967,                0.48236,                0.31869,                 1.3961,                 1.9278,                 2.0011,               0.009802,               0.009802,               0.009802
                     12,                 1.4169,                 1.9632,                 2.0457,                0.56512,                0.48219,                0.50653,                0.33896,                 1.3693,                 1.8621,                 1.9726,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.3872,                 1.9143,                 2.0093,                0.63347,                0.44416,                0.48976,                0.33096,                 1.3579,                 1.8804,                 1.9688,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.3475,                 1.8427,                 1.9646,                0.56766,                0.50852,                0.52343,                0.35617,                 1.3153,                 1.7757,                 1.9132,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.3169,                 1.7957,                 1.9345,                0.62698,                0.48135,                0.51786,                0.36287,                 1.3012,                 1.7724,                 1.8845,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.2936,                 1.7628,                 1.8999,                0.64299,                0.50527,                0.55176,                0.38925,                 1.2481,                 1.6651,                 1.8247,               0.009703,               0.009703,               0.009703
                     17,                 1.2779,                 1.7103,                 1.8772,                0.60378,                 0.5263,                0.55337,                 0.3936,                 1.2333,                  1.682,                 1.7863,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.2536,                 1.6734,                 1.8525,                 0.6672,                0.51925,                0.56233,                0.40541,                 1.2092,                  1.581,                 1.7676,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.2226,                 1.6262,                  1.818,                0.64119,                0.53621,                0.57004,                0.41227,                 1.2102,                 1.5967,                 1.7664,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.2123,                 1.6047,                 1.8016,                0.66037,                 0.5407,                0.58342,                0.42134,                 1.1962,                 1.5471,                 1.7427,              0.0096238,              0.0096238,              0.0096238
                     21,                  1.192,                 1.5552,                  1.772,                0.60883,                0.55049,                0.57456,                0.42476,                  1.155,                 1.5311,                 1.7089,               0.009604,               0.009604,               0.009604
                     22,                 1.1793,                 1.5334,                 1.7579,                0.64244,                0.56522,                0.59269,                0.44316,                 1.1423,                 1.4528,                 1.6816,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.1647,                 1.5058,                 1.7327,                0.65274,                0.57226,                0.60431,                0.45141,                 1.1255,                 1.4425,                 1.6773,              0.0095644,              0.0095644,              0.0095644
                     24,                  1.148,                 1.4821,                 1.7245,                0.62208,                0.57563,                0.60223,                0.45123,                 1.1238,                 1.4266,                 1.6807,              0.0095446,              0.0095446,              0.0095446
                     25,                  1.137,                 1.4638,                 1.7069,                0.64058,                0.58101,                 0.6088,                0.45208,                 1.1171,                 1.3963,                 1.6478,              0.0095248,              0.0095248,              0.0095248
                     26,                  1.117,                 1.4341,                 1.6874,                0.68971,                0.57939,                0.62445,                0.46888,                 1.1031,                 1.3613,                 1.6334,               0.009505,               0.009505,               0.009505
                     27,                 1.1104,                 1.4249,                 1.6766,                0.68612,                 0.5894,                0.62938,                0.47362,                 1.0841,                 1.3391,                 1.6192,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.0998,                 1.3914,                 1.6645,                 0.6842,                0.59574,                0.63187,                0.47743,                  1.078,                 1.3299,                 1.6228,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.0884,                 1.3881,                 1.6605,                0.68559,                0.59364,                0.63484,                0.48381,                 1.0624,                 1.3149,                 1.5959,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.0782,                 1.3557,                  1.642,                0.68389,                0.58546,                0.62646,                0.48073,                  1.057,                 1.3073,                 1.5774,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.0658,                 1.3428,                  1.629,                0.68714,                0.59692,                0.63934,                0.48879,                 1.0469,                  1.264,                 1.5642,               0.009406,               0.009406,               0.009406
                     32,                 1.0516,                 1.3299,                 1.6221,                0.69129,                0.60242,                0.64201,                0.49054,                 1.0463,                 1.2693,                 1.5791,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.0412,                 1.3064,                 1.6051,                0.69874,                0.61005,                0.64691,                0.49307,                 1.0362,                 1.2459,                 1.5613,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.0399,                 1.2844,                 1.5995,                 0.7148,                0.59565,                0.64067,                0.49963,                 1.0285,                 1.2349,                 1.5461,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.0292,                 1.2761,                 1.5894,                0.72885,                0.61006,                0.65676,                0.50699,                 1.0076,                 1.2156,                 1.5306,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.0235,                 1.2728,                 1.5896,                 0.7009,                0.60254,                0.65346,                0.50858,                 1.0019,                 1.2313,                  1.535,               0.009307,               0.009307,               0.009307
                     37,                 1.0139,                  1.246,                 1.5714,                0.68138,                0.61749,                0.65725,                0.50907,                 1.0102,                 1.1952,                 1.5228,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.0117,                  1.246,                 1.5733,                  0.717,                0.61868,                0.66367,                0.51991,                0.98733,                 1.1846,                 1.5091,              0.0092674,              0.0092674,              0.0092674
                     39,                0.99611,                 1.2247,                 1.5598,                0.71749,                0.62752,                0.66685,                0.52095,                0.99074,                 1.1726,                 1.5058,              0.0092476,              0.0092476,              0.0092476
                     40,                0.99032,                 1.2163,                 1.5537,                 0.7284,                 0.6208,                 0.6695,                0.52197,                0.99314,                 1.1713,                 1.5051,              0.0092278,              0.0092278,              0.0092278
                     41,                0.97966,                 1.2015,                 1.5428,                0.71263,                0.62091,                0.66521,                0.52289,                0.97158,                 1.1619,                 1.4922,               0.009208,               0.009208,               0.009208
                     42,                0.97004,                 1.1982,                 1.5442,                 0.6938,                0.63599,                0.67568,                0.52953,                0.96131,                 1.1448,                 1.4886,              0.0091882,              0.0091882,              0.0091882
