                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3957,                 11.469,                 8.4459,                0.00378,                0.39241,                0.00777,                0.00256,                 5.1091,                 10.179,                 8.5378,              0.0033203,              0.0033203,              0.0033203
                      2,                 5.3918,                 10.181,                 8.2256,                0.00541,                0.28108,                0.00759,                0.00247,                 4.8801,                 8.5076,                 7.3811,              0.0066404,              0.0066404,              0.0066404
                      3,                  5.032,                  7.769,                 6.4623,                0.55236,                 0.0424,                0.03821,                0.01587,                 4.6146,                 7.3113,                 6.1959,              0.0099474,              0.0099474,              0.0099474
                      4,                   4.39,                 6.5545,                 5.3173,                0.87308,                0.11773,                0.13335,                  0.068,                 3.9164,                 6.4346,                 4.9668,              0.0099406,              0.0099406,              0.0099406
                      5,                 3.9562,                 5.7711,                 4.7919,                0.48311,                0.26662,                0.24075,                0.12515,                 3.6453,                  5.366,                 4.5012,              0.0099208,              0.0099208,              0.0099208
                      6,                 3.6715,                 5.2653,                 4.5181,                0.49458,                0.29837,                0.29384,                0.16276,                   3.44,                 4.8063,                 4.3187,               0.009901,               0.009901,               0.009901
                      7,                 3.4192,                 4.8368,                 4.2225,                0.51329,                0.29865,                0.31359,                0.18637,                 3.2712,                 4.6721,                 4.1736,              0.0098812,              0.0098812,              0.0098812
                      8,                 3.2137,                  4.507,                 4.0317,                0.42506,                0.39707,                0.37342,                0.23759,                 2.9647,                 4.1985,                 3.8026,              0.0098614,              0.0098614,              0.0098614
                      9,                 3.0167,                 4.2236,                 3.8586,                0.43714,                0.42932,                0.40385,                0.26808,                 2.9296,                 3.9733,                 3.7931,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.9033,                 3.9899,                 3.7317,                0.45274,                0.44468,                0.42749,                0.29417,                  2.758,                 3.7618,                 3.6016,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.7905,                 3.8482,                 3.6363,                0.52855,                0.44071,                0.44977,                0.31049,                 2.6655,                 3.6607,                 3.4896,               0.009802,               0.009802,               0.009802
                     12,                 2.6939,                 3.6801,                 3.5535,                0.52811,                0.46928,                0.48012,                0.35074,                  2.537,                 3.4519,                 3.3862,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.6467,                 3.5934,                  3.506,                0.52575,                 0.4826,                0.49501,                0.35749,                 2.4766,                  3.374,                 3.3444,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.5845,                 3.4413,                 3.4326,                0.55305,                0.48768,                0.50541,                0.37246,                 2.4508,                 3.2877,                 3.3169,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.5225,                 3.3749,                 3.3651,                0.58321,                0.50948,                0.53216,                0.39462,                 2.3895,                 3.1139,                 3.2229,              0.0097228,              0.0097228,              0.0097228
                     16,                  2.476,                 3.3289,                 3.3538,                0.60392,                0.51189,                0.54651,                0.41094,                 2.3152,                 3.0588,                 3.2004,               0.009703,               0.009703,               0.009703
                     17,                 2.4731,                 3.2174,                  3.325,                0.61877,                0.52378,                0.55593,                0.42082,                 2.2837,                 2.9735,                 3.1407,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.4191,                 3.1509,                 3.2782,                0.59048,                0.51718,                0.54457,                 0.4157,                 2.2936,                  2.987,                 3.1611,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.3679,                 3.0941,                 3.2421,                0.62299,                0.53659,                 0.5655,                0.43325,                 2.2199,                 2.8789,                  3.082,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.3426,                 3.0264,                 3.2112,                0.59553,                0.54682,                 0.5659,                0.43524,                 2.1954,                 2.8479,                 3.0559,              0.0096238,              0.0096238,              0.0096238
                     21,                 2.3149,                 2.9628,                 3.1699,                0.65272,                0.54705,                0.58078,                0.44764,                 2.1759,                 2.7929,                  3.039,               0.009604,               0.009604,               0.009604
                     22,                  2.299,                 2.9211,                 3.1497,                0.65456,                0.56076,                0.59213,                0.45757,                 2.1416,                 2.7135,                 2.9968,              0.0095842,              0.0095842,              0.0095842
                     23,                  2.282,                 2.9042,                 3.1387,                0.63891,                0.56559,                0.58881,                0.45452,                 2.1404,                 2.6545,                 2.9984,              0.0095644,              0.0095644,              0.0095644
                     24,                 2.2488,                 2.8449,                 3.1187,                0.64165,                0.55846,                0.59733,                0.46552,                 2.0953,                 2.6401,                 2.9641,              0.0095446,              0.0095446,              0.0095446
                     25,                 2.2138,                 2.8296,                 3.0984,                 0.6541,                0.56658,                0.60217,                0.47129,                 2.1037,                 2.6384,                 2.9358,              0.0095248,              0.0095248,              0.0095248
                     26,                 2.1928,                 2.7748,                 3.0723,                0.60937,                0.57167,                0.59904,                0.46781,                 2.0882,                 2.6154,                 2.9577,               0.009505,               0.009505,               0.009505
                     27,                 2.1877,                 2.7444,                 3.0516,                 0.6809,                0.57156,                0.61274,                 0.4818,                 2.0455,                 2.5437,                 2.9289,              0.0094852,              0.0094852,              0.0094852
                     28,                 2.1655,                 2.7024,                 3.0388,                0.67809,                0.57356,                0.61258,                0.48056,                 2.0708,                 2.5312,                 2.9394,              0.0094654,              0.0094654,              0.0094654
                     29,                 2.1562,                 2.6741,                 3.0284,                0.66089,                0.58392,                0.61679,                0.48598,                 2.0284,                 2.4924,                 2.8808,              0.0094456,              0.0094456,              0.0094456
                     30,                 2.1241,                 2.6419,                 3.0099,                0.69126,                0.58313,                 0.6239,                0.49092,                 2.0287,                  2.488,                 2.8875,              0.0094258,              0.0094258,              0.0094258
                     31,                 2.1083,                 2.6012,                 2.9987,                0.68197,                0.58492,                0.62686,                0.49917,                 1.9912,                 2.4224,                 2.8629,               0.009406,               0.009406,               0.009406
                     32,                 2.1004,                 2.5493,                 2.9866,                0.66234,                0.58145,                0.61576,                0.48937,                 2.0173,                 2.4939,                 2.8734,              0.0093862,              0.0093862,              0.0093862
                     33,                 2.0667,                 2.5872,                 2.9754,                0.66405,                0.57802,                  0.617,                0.49028,                 2.0112,                  2.525,                 2.8628,              0.0093664,              0.0093664,              0.0093664
                     34,                 2.0538,                   2.53,                 2.9429,                 0.6812,                0.58761,                0.62492,                0.50109,                 1.9683,                 2.3958,                 2.8152,              0.0093466,              0.0093466,              0.0093466
                     35,                 2.0457,                 2.5171,                 2.9376,                0.70897,                0.60126,                0.64282,                0.51613,                 1.9384,                 2.3455,                 2.8091,              0.0093268,              0.0093268,              0.0093268
                     36,                 2.0417,                 2.5126,                 2.9349,                0.69646,                0.59772,                0.64029,                0.51679,                 1.9323,                 2.3333,                 2.8277,               0.009307,               0.009307,               0.009307
                     37,                 2.0106,                  2.456,                 2.9258,                0.70244,                 0.6034,                0.64979,                0.51893,                 1.9174,                 2.2973,                 2.7961,              0.0092872,              0.0092872,              0.0092872
                     38,                 2.0173,                 2.4546,                 2.9107,                0.71752,                0.58731,                0.63954,                0.51551,                 1.9229,                 2.3334,                 2.8005,              0.0092674,              0.0092674,              0.0092674
                     39,                  1.998,                 2.4314,                 2.8979,                  0.719,                0.61193,                0.65704,                0.52722,                 1.9273,                  2.246,                 2.7737,              0.0092476,              0.0092476,              0.0092476
                     40,                  2.002,                 2.4058,                 2.8948,                 0.7064,                0.61192,                0.65228,                0.52379,                 1.9209,                  2.231,                 2.7828,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.9659,                 2.3694,                 2.8739,                0.70275,                0.60457,                0.65306,                0.52945,                 1.8834,                 2.2505,                 2.7679,               0.009208,               0.009208,               0.009208
                     42,                 1.9548,                 2.3696,                 2.8722,                0.71039,                0.60333,                0.64704,                0.52661,                 1.8792,                 2.2704,                 2.7549,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.9468,                 2.3801,                 2.8496,                0.73092,                0.61176,                0.65913,                 0.5316,                 1.8669,                 2.2517,                 2.7204,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.9398,                 2.3541,                 2.8415,                0.72728,                0.60921,                0.65755,                0.53292,                 1.8671,                 2.2316,                 2.7382,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.9293,                 2.3046,                 2.8312,                0.71109,                0.61986,                0.66244,                0.53769,                 1.8443,                  2.208,                 2.6989,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.9457,                 2.3245,                 2.8359,                0.70215,                0.62143,                0.66299,                0.54326,                 1.8299,                 2.1856,                 2.6893,               0.009109,               0.009109,               0.009109
                     47,                 1.9111,                  2.277,                 2.8224,                0.72768,                0.62034,                0.67283,                 0.5467,                 1.8263,                  2.136,                 2.6978,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.9138,                 2.2643,                  2.813,                 0.7356,                 0.6201,                 0.6717,                0.54342,                 1.8427,                 2.1374,                 2.6947,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.8946,                 2.2685,                 2.8137,                0.71503,                0.61378,                0.65961,                0.54147,                 1.8166,                 2.1636,                 2.7021,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.8906,                 2.2656,                 2.7967,                0.72466,                0.62998,                0.67371,                0.55066,                 1.7932,                 2.1427,                 2.6566,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.8805,                 2.2263,                 2.7927,                 0.7298,                0.62515,                0.67575,                 0.5518,                 1.8013,                 2.1214,                 2.6724,                0.00901,                0.00901,                0.00901
                     52,                 1.8829,                 2.2207,                 2.7848,                0.74283,                0.62542,                0.68063,                0.55187,                 1.8049,                  2.108,                 2.6626,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.8697,                 2.2133,                 2.7841,                0.72642,                0.62925,                0.67765,                0.55136,                 1.8003,                 2.1154,                 2.6723,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.8697,                 2.2162,                 2.7877,                0.72881,                0.62963,                0.67887,                0.55723,                 1.8071,                 2.0733,                 2.6627,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.8621,                 2.1793,                 2.7787,                0.74121,                0.63849,                0.68865,                0.56013,                 1.8099,                 2.0327,                 2.6461,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.8459,                 2.1634,                 2.7617,                0.75328,                0.62716,                0.68384,                0.55737,                 1.7702,                 2.0933,                 2.6658,               0.008911,               0.008911,               0.008911
                     57,                 1.8358,                 2.1605,                 2.7755,                0.73509,                0.63251,                0.68005,                0.55751,                 1.7763,                 2.0621,                 2.6497,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.8512,                 2.1498,                 2.7566,                0.74496,                0.62799,                0.68146,                0.56323,                 1.7686,                 2.0777,                 2.6446,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.8298,                 2.1398,                 2.7542,                0.73845,                0.63521,                0.68768,                0.56168,                 1.7816,                 2.0516,                 2.6808,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.8323,                 2.1168,                 2.7458,                0.73741,                0.63574,                0.68585,                0.56439,                 1.7594,                 2.0311,                 2.6403,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.8124,                 2.1003,                 2.7304,                 0.7474,                 0.6422,                0.69272,                0.56729,                 1.7602,                 2.0249,                 2.6395,               0.008812,               0.008812,               0.008812
                     62,                 1.8232,                 2.1087,                 2.7519,                0.75309,                0.64822,                0.70097,                0.57283,                 1.7626,                 1.9595,                 2.6472,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.8128,                 2.0926,                 2.7505,                0.74951,                0.63965,                0.69269,                0.56607,                 1.7681,                 2.0036,                  2.652,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.8103,                 2.0871,                 2.7349,                0.75426,                 0.6448,                0.70203,                0.57347,                 1.7578,                 1.9765,                 2.6405,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.7969,                 2.0674,                 2.7304,                0.74084,                0.64461,                0.69363,                0.56929,                 1.7578,                 1.9904,                 2.6357,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.7861,                 2.0558,                 2.7244,                 0.7572,                0.64797,                0.70069,                0.57633,                 1.7354,                 1.9698,                 2.6172,               0.008713,               0.008713,               0.008713
