                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6155,                 4.4479,                 4.2059,                0.00522,                0.45495,                0.00893,                0.00328,                 2.4985,                 4.1907,                 4.2451,              0.0033203,              0.0033203,              0.0033203
                      2,                 2.5708,                 4.1368,                  3.883,                0.30367,                0.02005,                0.01683,                0.00611,                 2.4737,                 4.0131,                 4.1096,              0.0066404,              0.0066404,              0.0066404
                      3,                 2.3417,                 3.5121,                 3.2013,                0.90224,                0.15561,                0.18196,                0.07447,                 2.1049,                 3.4423,                 2.9543,              0.0099474,              0.0099474,              0.0099474
                      4,                 2.0322,                 3.0262,                   2.77,                0.26525,                0.30741,                0.25187,                0.13446,                 1.8523,                 2.8525,                  2.658,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.7999,                 2.6775,                 2.5065,                0.55198,                0.26021,                0.21354,                0.12867,                 1.7039,                 3.4458,                 2.4859,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.6407,                 2.4281,                 2.3282,                0.58683,                0.39714,                0.40117,                 0.2528,                 1.5126,                 2.4223,                  2.183,               0.009901,               0.009901,               0.009901
                      7,                 1.5353,                 2.2311,                 2.2155,                0.58736,                 0.4378,                0.47265,                0.31923,                 1.4327,                 2.0688,                 2.0999,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.4639,                 2.0991,                 2.1251,                0.60578,                0.45048,                0.47807,                0.32813,                 1.3866,                 2.0645,                 2.0301,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.4005,                 1.9852,                 2.0577,                0.69764,                0.48031,                0.53621,                0.37987,                 1.2781,                 1.8142,                 1.9362,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.3447,                 1.8967,                 1.9902,                0.65868,                0.49354,                0.53304,                0.38023,                 1.3136,                 1.8387,                 1.9416,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.3177,                 1.8412,                 1.9503,                0.68274,                0.52479,                0.56926,                0.41252,                 1.2499,                 1.7038,                 1.8609,               0.009802,               0.009802,               0.009802
                     12,                 1.2699,                 1.7711,                 1.9123,                 0.7025,                0.47393,                 0.5434,                0.40742,                 1.1818,                 1.7386,                 1.8228,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.2368,                 1.7098,                 1.8644,                0.71626,                0.52241,                0.58498,                0.43605,                 1.1763,                 1.5879,                 1.7748,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.2036,                 1.6268,                 1.8113,                0.72167,                0.53519,                0.59723,                0.44956,                 1.1167,                 1.5397,                 1.7127,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.1632,                 1.5783,                 1.7807,                0.68429,                0.56192,                0.60375,                0.45906,                 1.1108,                 1.4941,                 1.7068,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.1435,                 1.5663,                 1.7633,                0.77847,                 0.5316,                0.61441,                0.47158,                 1.0822,                 1.4613,                   1.68,               0.009703,               0.009703,               0.009703
                     17,                 1.1266,                 1.5196,                 1.7437,                0.78576,                0.53473,                0.61642,                0.47275,                 1.0858,                 1.4601,                 1.6781,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0946,                  1.482,                 1.7168,                0.75097,                0.51727,                0.59214,                0.46323,                 1.0689,                 1.5159,                 1.6785,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0706,                 1.4403,                 1.6836,                0.73134,                0.53975,                0.60094,                0.47465,                 1.0369,                 1.4202,                 1.6436,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.0629,                 1.4236,                 1.6734,                0.70766,                0.58649,                0.63054,                 0.4967,                 1.0078,                 1.3434,                 1.6063,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.0408,                 1.3849,                 1.6536,                 0.6808,                0.60185,                0.63561,                0.50339,                0.99919,                 1.3166,                 1.5783,               0.009604,               0.009604,               0.009604
                     22,                 1.0331,                 1.3704,                 1.6383,                0.72136,                0.57076,                0.62281,                0.49379,                 1.0177,                 1.3674,                  1.599,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.0243,                 1.3434,                 1.6207,                0.69814,                0.60542,                0.64467,                0.51434,                0.97653,                 1.2532,                 1.5534,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.0068,                 1.3158,                 1.6084,                0.70589,                0.61612,                0.65508,                0.52162,                0.97727,                 1.2651,                 1.5668,              0.0095446,              0.0095446,              0.0095446
                     25,                0.98832,                  1.306,                 1.5973,                0.71904,                0.59451,                0.65471,                0.52387,                0.96452,                 1.2329,                 1.5258,              0.0095248,              0.0095248,              0.0095248
                     26,                0.97667,                 1.2774,                 1.5784,                0.80933,                0.55443,                0.65305,                0.52454,                0.95831,                 1.2435,                 1.5375,               0.009505,               0.009505,               0.009505
                     27,                0.97403,                 1.2548,                 1.5694,                0.72995,                0.63007,                0.67584,                0.53915,                0.94265,                 1.1773,                 1.5069,              0.0094852,              0.0094852,              0.0094852
