                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8468,                 4.1108,                 4.1725,                0.00431,                0.44724,                0.02078,                0.00635,                 2.6877,                 3.7065,                 3.9812,              0.0033203,              0.0033203,              0.0033203
                      2,                 2.6794,                 3.4889,                 3.5759,                0.63864,                0.11193,                0.11338,                0.04254,                  2.389,                 3.2849,                 3.2155,              0.0066404,              0.0066404,              0.0066404
                      3,                 2.3361,                 3.0048,                 2.9928,                 0.8777,                0.12629,                0.14857,                0.07012,                 2.2806,                 3.2896,                  3.001,              0.0099474,              0.0099474,              0.0099474
                      4,                 1.9506,                 2.5245,                 2.5546,                0.41059,                0.33931,                0.33272,                 0.1975,                   1.75,                 2.3608,                 2.3475,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.7127,                 2.1791,                 2.2864,                0.24142,                0.25696,                0.16793,                 0.1016,                 1.8499,                 3.4993,                 2.5473,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.5559,                 1.9742,                 2.1119,                0.52028,                0.47656,                 0.4727,                0.30765,                 1.4478,                 1.8574,                 1.9836,               0.009901,               0.009901,               0.009901
                      7,                 1.4502,                 1.8136,                 2.0013,                0.56242,                0.48695,                 0.5075,                0.35798,                  1.352,                 1.6824,                 1.8941,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.3762,                 1.7025,                 1.9273,                0.66215,                0.46149,                 0.5075,                  0.352,                 1.3528,                 1.6848,                 1.8726,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.3024,                 1.6175,                 1.8555,                0.68187,                 0.5006,                0.54895,                0.39282,                  1.257,                 1.5485,                 1.7888,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.2585,                 1.5414,                 1.7966,                 0.6966,                0.50903,                0.56927,                0.42114,                 1.2084,                 1.4521,                  1.721,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.2189,                 1.4886,                  1.759,                0.64944,                0.54508,                0.58491,                0.43883,                 1.1486,                 1.3961,                 1.6696,               0.009802,               0.009802,               0.009802
                     12,                 1.1763,                 1.4346,                 1.7211,                0.65859,                0.55989,                0.59964,                0.45424,                 1.1217,                  1.343,                 1.6447,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.1589,                 1.4013,                  1.701,                0.67526,                0.56008,                0.60293,                0.45765,                 1.1169,                 1.3236,                 1.6449,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.1232,                 1.3447,                 1.6576,                0.71011,                0.55236,                 0.5997,                 0.4605,                 1.0822,                 1.2874,                  1.589,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.0972,                 1.3085,                 1.6384,                0.69839,                0.57532,                0.62665,                0.47548,                 1.0942,                 1.2698,                 1.5933,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.0779,                 1.2993,                  1.623,                0.65448,                  0.573,                0.61181,                0.47043,                 1.0781,                 1.2851,                 1.6076,               0.009703,               0.009703,               0.009703
                     17,                 1.0637,                 1.2583,                 1.6123,                0.68291,                0.58163,                0.62577,                0.48873,                 1.0364,                 1.2349,                 1.5653,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0397,                 1.2285,                 1.5816,                0.71795,                0.60249,                0.64981,                0.50703,                 1.0055,                 1.1556,                 1.5157,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0224,                 1.2047,                  1.571,                0.68733,                0.60511,                0.64767,                0.50873,                 0.9904,                 1.1471,                 1.5052,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.0115,                 1.1916,                 1.5601,                0.70953,                0.61163,                0.65047,                0.51502,                0.96604,                 1.1327,                 1.4901,              0.0096238,              0.0096238,              0.0096238
                     21,                 0.9947,                 1.1614,                 1.5348,                0.72092,                0.61915,                0.66236,                0.52917,                0.94676,                 1.0962,                 1.4662,               0.009604,               0.009604,               0.009604
                     22,                0.98129,                  1.143,                 1.5271,                0.71757,                 0.6156,                0.66556,                0.52973,                0.94873,                 1.1025,                 1.4601,              0.0095842,              0.0095842,              0.0095842
                     23,                0.97599,                 1.1347,                 1.5225,                0.73846,                0.63079,                 0.6742,                0.53568,                0.92987,                 1.0706,                 1.4563,              0.0095644,              0.0095644,              0.0095644
                     24,                0.96379,                 1.1114,                  1.514,                 0.7323,                0.63354,                 0.6809,                0.54703,                0.91489,                 1.0486,                  1.442,              0.0095446,              0.0095446,              0.0095446
                     25,                0.94695,                 1.1029,                 1.4994,                 0.7374,                0.63136,                0.67866,                0.54562,                0.91423,                 1.0344,                 1.4375,              0.0095248,              0.0095248,              0.0095248
                     26,                 0.9439,                 1.0909,                 1.4924,                0.70778,                0.63516,                 0.6802,                0.55338,                0.90389,                 1.0246,                 1.4204,               0.009505,               0.009505,               0.009505
                     27,                0.93154,                 1.0657,                 1.4765,                0.71654,                0.63191,                0.67808,                0.54225,                 0.9266,                  1.039,                 1.4226,              0.0094852,              0.0094852,              0.0094852
                     28,                0.92862,                 1.0591,                 1.4811,                0.74483,                0.63502,                0.68617,                0.54642,                0.91743,                 1.0366,                 1.4432,              0.0094654,              0.0094654,              0.0094654
                     29,                0.92107,                 1.0514,                  1.466,                0.72565,                 0.6377,                0.68304,                0.54574,                0.90982,                 1.0502,                 1.4222,              0.0094456,              0.0094456,              0.0094456
                     30,                0.91393,                 1.0339,                 1.4609,                0.75419,                0.63554,                 0.6886,                0.55538,                0.89485,                 1.0086,                 1.4059,              0.0094258,              0.0094258,              0.0094258
                     31,                0.90046,                 1.0259,                 1.4526,                0.73837,                0.63896,                0.68987,                0.55302,                0.89389,                  1.012,                 1.4137,               0.009406,               0.009406,               0.009406
                     32,                0.89194,                 1.0068,                 1.4446,                0.74562,                0.65097,                0.69786,                0.56775,                0.86161,                0.96418,                 1.3775,              0.0093862,              0.0093862,              0.0093862
                     33,                 0.8905,                 1.0019,                 1.4424,                0.74564,                0.65099,                0.70037,                0.56814,                0.87055,                0.95863,                 1.3901,              0.0093664,              0.0093664,              0.0093664
                     34,                0.88238,                 0.9863,                 1.4301,                0.72615,                0.63704,                0.68935,                0.56184,                0.86519,                 0.9711,                 1.3826,              0.0093466,              0.0093466,              0.0093466
                     35,                0.87922,                0.99816,                  1.429,                0.74792,                0.64413,                0.69496,                0.56627,                0.87274,                 0.9861,                 1.3898,              0.0093268,              0.0093268,              0.0093268
                     36,                0.87489,                0.99016,                 1.4268,                 0.7522,                0.64246,                0.69935,                0.56563,                0.88412,                0.98429,                 1.3949,               0.009307,               0.009307,               0.009307
